"feature","mean","median","sd","min","max","q25","q75"
"F1",0.00786495475113122,0.0003,0.0433148185457972,0,1.4345,0,0.0031
"F2",0.0139396832579186,0.0007,0.0733541872458754,0,2.4051,0,0.0066
"F3",0.0176410180995475,0.0008,0.096034661080554,0,3.295,0,0.0079
"F4",0.0248525339366516,0.0016,0.135461966348999,0,4.788,0,0.012025
"F5",0.0308380542986425,0.0026,0.163621762263009,0,5.968,0,0.0172
"F6",0.0348954524886878,0.0037,0.185871034195566,0,6.9024,0,0.0205
"F7",0.0414615610859728,0.0043,0.22771734502148,0,8.8811,0,0.0234
"F8",0.0469138009049774,0.0033,0.287575147740781,0,11.651,0,0.0193
"CLEAR",0.144235294117647,0.01,0.822036685390689,0,30.41,0,0.07
"IR.LIGHT",0.074710407239819,0,0.471403735753341,0,15.35,0,0.02
