"feature","mean","median","sd","min","max","q25","q75"
"norm_415",0.0997010224991789,0.108941751265004,0.148728485252909,-0.316790599164803,0.876543792350849,-0.0122725233212467,0.197032502739603
"norm_445",0.258959899396001,0.269509741721334,0.129382895836235,-0.177734471768077,0.977273191166384,0.182199904510032,0.330240476166615
"norm_480",0.201526655291799,0.217596010625089,0.129718689070503,-0.192073212223973,0.440282811437011,0.0911615099020241,0.317244852997786
"norm_515",0.283170970101381,0.305971183129818,0.107151303740978,-0.146039575290789,0.630871556365027,0.23072631885175,0.360003240474155
"norm_555",0.343674049502112,0.358724734121774,0.133252261813118,-0.312903490991875,0.778927081188348,0.307895911510121,0.400576132102038
"norm_590",0.424142068354986,0.405003317412396,0.16657482213378,-0.329707672257739,0.903674185596526,0.321663027058412,0.541459142678684
"norm_630",0.382934477313432,0.425893955776814,0.278322602603493,-0.826928739452047,0.968557499028206,0.323448081499383,0.548273046762757
"norm_680",0.251079101912025,0.252011893999036,0.165405160541779,-0.47985014111288,0.908437853732158,0.158442737660718,0.314584430130564
"norm_750",0.123236149899486,0.18259711525496,0.248828675050885,-0.68041375700083,0.640392937890854,0.0301551039982931,0.310348690778356
"Intensity",0.0127265577912203,0.00204345126892464,0.0465768613920835,0.00000538956929956084,1.3571801916695,0.000693122401800184,0.00806182161068721
