trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
27,0.9308963603103513,-2.76110076579463,-4.430616816168548,0.7,3,0,152,256,0,37,1
22,0.9297399020164426,-2.88792416780385,-4.2181722662212575,0.5435765433225657,1,0,241,227,80,7,1
33,0.9292773186988793,-2.7483973211045587,-4.8310685904994735,0.17076818405267816,0,2,245,124,15,51,1
26,0.9288778149246198,-3.071156657759304,-3.0864475449862434,0.6888435963228298,2,2,256,246,75,154,1
48,0.9279316217750583,-2.8336290737302603,-5.0,0.5290491556859042,0,0,256,128,63,113,1
42,0.9271221009693222,-2.5399613459577512,-4.9467953517639245,0.1984107315374025,3,3,150,103,3,28,1
31,0.9264177127357598,-2.5804616014606925,-2.526115361264821,0.36744679800081015,3,3,141,116,94,150,1
3,0.9225488340797747,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
44,0.9208877394394331,-2.8188621976498314,-4.960041712130983,0.27941560813883864,0,2,235,194,256,109,1
43,0.9192266447990917,-2.9523666362197343,-4.4037276209148075,0.39282436453729475,0,0,250,229,251,214,1
23,0.9190584326836141,-2.8698506949098457,-4.850299991524467,0.04419943975121751,4,0,256,13,254,234,1
47,0.9181437793057046,-2.8776255197755556,-4.846282324363531,0.4004314556452745,0,2,242,109,139,40,1
18,0.9110578439412098,-3.2631442829701847,-2.877927834018786,0.31803114056946274,2,0,256,131,173,67,1
11,0.9053911983010577,-4.0,-5.0,0.07972364164061045,4,0,102,255,256,95,1
13,0.9009966567842049,-1.1176280542499,-5.0,0.12929532994703663,4,0,256,187,256,148,1
38,0.9002081624929036,-2.6948870334008133,-4.120169722857715,0.2243730387616276,0,1,242,81,7,104,1
45,0.900134569692382,-2.6636982819499035,-3.4917343840407282,0.32290344451082703,3,2,158,141,0,69,1
35,0.8846800815828759,-2.5958867244279467,-2.426617824139807,0.053302474732171895,4,2,159,205,113,182,0
20,0.8790870287432453,-1.7652522098018304,-1.5059315510429334,0.4651168890803375,2,3,127,128,256,218,1
10,0.8748817258563049,-2.1961335649239597,-2.233505868299756,0.47324160971242396,0,1,211,0,22,119,1
25,0.8736937277907443,-3.071056614184751,-1.0,0.7,0,0,118,256,0,0,1
50,0.8736937277907441,-2.6637622499178315,-5.0,0.20101589056149236,4,1,127,256,27,141,1
40,0.8708656615992768,-2.4533621194031054,-3.436379634224693,0.325710401481758,0,1,167,39,188,181,1
24,0.8639689648646943,-4.0,-1.4168859357311412,0.3512805649235378,2,1,249,212,11,217,1
2,0.8581551336234993,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
4,0.8530772303875187,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
49,0.8508799596290921,-3.036178068999633,-1.2516595075077177,0.6457856703343592,1,1,256,168,184,151,1
34,0.8476523896633656,-2.5505823335324456,-1.3806056570418144,0.07802522551995893,0,2,151,211,187,191,0
37,0.8443249437540739,-2.971633695763276,-2.563474833580896,0.5878805784842156,2,1,250,254,8,4,1
14,0.8432683614037302,-0.8781407153906824,-2.47372911592516,0.15897737180511234,2,3,155,167,0,0,0
46,0.8428057780861666,-2.591695460451716,-5.0,0.603770834881032,3,1,51,253,194,70,1
16,0.8335120587060284,-1.960596004233297,-1.0,0.0,1,0,8,256,0,127,1
15,0.8315776193780356,-3.492897815655856,-3.699442441705986,0.4701133736949971,2,3,245,2,254,47,0
1,0.8300216573098679,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
36,0.827004352488488,-2.858239426707633,-1.2266644154940254,0.3749779086334109,2,2,145,115,149,206,1
41,0.8252170987615383,-2.6985737320664045,-2.550610790852182,0.3356190764731419,4,1,254,42,49,176,1
39,0.8235349776067621,-2.946716963031424,-4.417258602573677,0.5455922779120387,0,1,154,241,35,223,1
8,0.8164175024706153,-0.878380335777142,-2.222866290261225,0.0,4,0,252,89,180,0,1
28,0.8159023528669653,-1.549958880612126,-1.5347741452756831,0.4621181965797457,3,0,256,79,91,249,1
7,0.8122752791269792,-3.954996674419444,-4.762148637982864,0.32524215323137207,3,1,121,183,199,0,0
21,0.8054837149645703,-3.4946402461514916,-1.0,0.5644776025700876,4,3,256,190,0,0,1
9,0.7988077966315523,-4.0,-5.0,0.686888204447785,0,3,8,256,0,109,1
32,0.7929519123614879,-3.120886868852182,-4.101196627604233,0.20350460538134157,2,1,239,123,175,142,0
30,0.7872800100927269,-2.547225723212832,-1.6740179178245906,0.5505255615536827,1,1,211,16,255,140,1
19,0.7675045732668896,-3.6287271816440483,-3.7747722315421157,0.34972281048310266,0,1,178,61,256,36,1
12,0.6506812590676843,-1.5538277678379124,-1.0999632936768453,0.6164191001330418,4,3,242,38,232,256,0
17,0.5,-0.3,-1.0,0.0,4,0,256,0,256,111,1
5,0.5,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
6,0.5,-0.3,-5.0,0.0,4,0,256,0,256,256,1
29,0.5,-0.3,-3.23770975937083,0.35864721576782455,4,1,256,218,161,181,0
