trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
40,0.8931164681963404,-2.711759269544457,-5.0,0.0,2,0,123,0,99,125,1
27,0.891857875883435,-2.892302533979418,-5.0,0.0,4,3,256,256,84,226,1
47,0.8898662572783979,-3.3985290985632406,-5.0,0.0,4,0,172,14,75,11,1
14,0.888441696748406,-2.631872420602083,-4.19234106719805,0.0,3,3,96,0,28,256,1
17,0.8877778238800602,-3.3115967802590607,-5.0,0.0,4,2,256,209,0,256,1
33,0.8875841942934595,-2.7399556507720337,-3.0038800777255323,0.0,0,1,8,214,101,223,1
30,0.8870586282726858,-2.6641566916588495,-5.0,0.0,4,3,256,256,0,256,1
48,0.8828541001064962,-2.609915999702091,-5.0,0.0,2,2,8,22,256,202,1
41,0.8816231691631051,-4.0,-5.0,0.0,4,0,122,0,0,256,1
23,0.8810284497185454,-2.3200526170365032,-5.0,0.0,3,3,256,125,236,197,1
31,0.8807241746538871,-2.4112197602428447,-5.0,0.0,2,3,8,67,168,75,1
34,0.8805858678063151,-3.0637779803372562,-5.0,0.05928177882311573,0,2,8,256,0,256,1
15,0.8783867889299198,-4.0,-5.0,0.47037401657310796,4,2,252,0,125,256,1
38,0.8776122705835167,-2.5653018226352495,-5.0,0.5267481082300983,4,3,256,256,256,49,1
3,0.8764919851181833,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
12,0.8753025462290638,-2.7330207720566504,-5.0,0.7,4,0,129,0,256,256,1
11,0.8743482289808169,-2.914771060636269,-5.0,0.38621985449126683,4,0,199,0,0,256,1
32,0.8717688062735987,-3.1577508482405747,-5.0,0.47834793212028076,1,0,19,0,75,256,1
35,0.870254346292685,-2.4202697020475035,-4.9556758184032805,0.0,0,3,8,256,133,256,1
18,0.856313016057425,-2.4922801358507254,-5.0,0.5081477159606027,1,3,8,256,0,116,1
43,0.8496466260044534,-3.3199545418335124,-5.0,0.4906266129472713,4,0,28,10,256,241,1
36,0.8466730287816548,-3.1967089440144356,-5.0,0.4890462730085994,4,0,220,226,256,13,0
9,0.8461336320761241,-4.0,-4.38639530474513,0.07289798053596927,4,3,256,0,256,251,1
28,0.8443356430576878,-3.594098068847315,-4.6800655910940385,0.0,4,1,256,0,256,256,1
37,0.8439207225149717,-0.3,-5.0,0.5633317021663031,4,3,256,256,232,256,1
24,0.8396193795554817,-1.561006947568349,-5.0,0.7,1,1,58,0,256,256,1
25,0.8287899533905924,-2.1180318246716228,-5.0,0.7,2,3,33,0,256,217,0
45,0.8183754477684191,-3.383880214338617,-1.0,0.4070814574654438,0,1,8,256,256,13,1
22,0.8161763688920236,-2.9834183253746924,-1.0,0.0,3,2,256,256,256,121,1
4,0.8107409097824434,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
20,0.8090950582963363,-2.5694566319495546,-1.0,0.6079400416342027,4,3,130,0,81,256,1
29,0.8087769525469206,-3.1628197287754247,-5.0,0.3500238047317308,4,3,244,212,256,86,0
6,0.8005753564858997,-4.0,-1.0,0.0,4,3,256,0,0,256,1
7,0.7915300886546892,-4.0,-1.0,0.0,0,3,256,0,256,0,1
46,0.7868069098101047,-0.3,-5.0,0.0,0,3,8,0,256,256,1
49,0.7866755183049111,-4.0,-5.0,0.7,4,0,256,256,256,200,0
1,0.7816826411075612,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
39,0.7809634455001868,-4.0,-5.0,0.7,4,0,8,0,256,0,0
16,0.770106357965783,-4.0,-5.0,0.6118198869008131,4,3,180,0,0,256,1
2,0.7573959586739138,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
44,0.7296239436814516,-3.2816363194469904,-5.0,0.4827852045958113,1,1,256,24,0,230,1
21,0.72923668450825,-4.0,-5.0,0.3227874683983692,4,3,36,0,0,256,1
8,0.7284898275313612,-0.3,-5.0,0.0,4,0,256,0,0,256,1
10,0.7002199078876395,-0.3,-5.0,0.0,0,0,8,256,256,0,1
19,0.6536105002558676,-4.0,-5.0,0.7,0,1,256,256,0,84,1
13,0.6413565135609864,-0.3,-1.0,0.2320019202155464,1,0,194,0,5,256,1
50,0.6285907915300888,-0.8346141861710299,-5.0,0.0,4,0,256,256,256,256,0
26,0.6119386470824172,-4.0,-1.0,0.0,2,3,256,2,26,73,0
5,0.5,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
42,0.5,-0.3,-5.0,0.6035171634154497,4,1,256,148,256,256,0
