trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
42,0.6506241134751772,-2.2843131107402037,-2.068819701793659,0.7,0,0,41,9,105,196,1
37,0.6296879432624114,-2.9741055984344404,-4.508149083501751,0.08068349019943216,0,0,80,0,90,0,0
35,0.6265673758865249,-3.2096372612993394,-5.0,0.0,0,0,47,180,229,165,0
27,0.6261134751773051,-3.257719883015493,-4.564197666034203,0.0,0,0,52,13,49,0,0
14,0.619872340425532,-1.6019657894026262,-1.0,0.7,0,1,52,256,0,0,1
18,0.6173333333333333,-3.2749042398924444,-4.985845553788926,0.01980575396271502,0,2,151,99,0,0,0
16,0.6067375886524823,-1.1490827682358917,-2.68506369803649,0.407422532757989,4,1,49,57,256,240,1
24,0.6001276595744681,-3.4351839058756926,-1.0001141577308292,0.5426166598100274,0,0,248,80,170,0,1
2,0.5984822695035461,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
1,0.5983687943262411,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
13,0.5978297872340426,-1.6980910732469612,-5.0,0.5951673189175232,0,3,167,140,38,148,1
49,0.5968368794326241,-3.499448451831093,-2.140969056852491,0.5317623426942366,2,0,229,121,256,141,1
36,0.594,-1.7213568313860348,-1.0,0.7,1,1,8,147,151,0,1
28,0.5927375886524823,-3.242880039883931,-3.9894804386218476,0.4860278117734899,0,2,8,0,222,0,1
3,0.5919716312056738,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
23,0.5906524822695034,-4.0,-1.0,0.14594491677588198,3,2,50,163,132,15,1
38,0.5896595744680851,-2.04073858948354,-1.0,0.4878942809862038,4,1,239,78,169,113,1
20,0.5890070921985816,-0.5105104388984234,-4.390640287299889,0.11486627238192612,0,2,165,186,0,201,1
29,0.5877730496453901,-2.0016441328298606,-1.086695271743276,0.7,0,0,53,105,162,0,0
44,0.5871489361702127,-2.654583721367051,-1.4931741127694091,0.7,0,3,43,34,102,234,1
50,0.5867234042553191,-1.349993206457826,-2.015861922193451,0.2582127055925133,0,2,96,0,78,151,1
31,0.586595744680851,-0.4544913223046607,-2.987760018735629,0.7,2,3,19,0,76,0,1
7,0.5853758865248226,-2.4478778310936047,-4.142056207627075,0.0,2,1,146,256,217,49,1
10,0.5853049645390072,-3.877948613626032,-1.079983262000193,0.5981099884251927,0,2,53,240,0,86,0
39,0.5850921985815603,-3.1366544720120784,-1.0,0.01668640877748686,1,0,127,70,101,72,0
12,0.5847801418439715,-2.6295366599385908,-3.582577771948383,0.563289547128502,1,1,88,114,127,33,1
45,0.5829078014184397,-2.1296001000650953,-1.8224578094291113,0.5490043236789814,0,0,224,240,157,30,1
8,0.582468085106383,-0.9820494593319831,-2.831907142540013,0.7,0,0,108,210,53,0,1
22,0.5814751773049645,-4.0,-1.5783245142718,0.03351563849028838,3,2,8,82,147,185,1
4,0.5812482269503546,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
33,0.5806382978723403,-3.0860579163899446,-1.0,0.4823160019692947,0,0,238,82,60,0,0
25,0.5804397163120568,-2.940097970425187,-5.0,0.2840540894941721,0,3,90,248,53,0,1
15,0.5786524822695036,-2.5787791937589297,-1.2959391455931453,0.23935470433778136,2,2,122,206,0,31,0
40,0.5782127659574468,-4.0,-5.0,0.7,0,0,8,0,230,0,0
34,0.5767234042553192,-0.3,-1.5780181100019974,0.7,0,2,76,0,147,0,1
43,0.5747517730496454,-0.3,-3.4079521396397388,0.18784648306613888,3,3,9,192,246,127,1
41,0.5733475177304964,-4.0,-2.6320181749244393,0.26292730705395706,4,0,256,256,178,6,1
48,0.573177304964539,-3.165901423372792,-1.9648085741899282,0.0,4,3,98,229,102,186,0
46,0.572354609929078,-1.776974317896601,-3.4542396169246885,0.44222127782867615,3,3,8,240,191,147,1
47,0.5686950354609929,-4.0,-1.1103498903433167,0.21554761668523068,0,0,226,194,176,226,0
19,0.5667943262411348,-3.8996349569332494,-1.4306613152401253,0.3554047812271273,3,3,163,210,0,256,0
30,0.5659148936170213,-3.2874122863869397,-1.7878702325504898,0.0,0,0,20,176,57,256,1
26,0.5597021276595745,-1.4039702113091739,-1.0,0.49445210527689065,0,1,71,12,207,256,0
11,0.5452624113475177,-1.5735446902490464,-5.0,0.6340670691281782,2,1,33,14,0,0,0
21,0.509177304964539,-4.0,-1.7327264724055884,0.6492710219084454,2,2,141,21,157,0,0
5,0.5,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
6,0.5,-0.3,-5.0,0.7,4,0,8,256,256,256,1
17,0.5,-0.4670186044164155,-3.750589532459834,0.5010626502035812,1,0,85,134,0,84,0
32,0.5,-1.0556698054044031,-4.751991587614926,0.08579842101954485,0,1,96,234,19,117,0
9,0.4569503546099291,-3.7734497283238135,-1.163162379761856,0.7,2,3,224,182,190,29,1
