trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
48,0.6657642239928178,-2.4773379266862925,-3.7903576860560166,0.08782122204705473,1,0,52,256,52,204,1
41,0.6512877342610257,-3.302088679184251,-4.271613292849768,0.2312499706141649,4,0,49,53,256,33,1
2,0.6501094153293683,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
15,0.6474441701268094,-3.8951212324505033,-1.9537474727250976,0.0,4,1,47,174,256,213,1
45,0.6445544832229828,-3.9219261932221454,-3.9024558850026843,0.2813393735388162,4,1,45,31,255,33,1
49,0.6366849960722702,-1.347131875956178,-3.4458949558370886,0.22251029546939124,0,0,60,95,218,169,1
43,0.6327712939064079,-4.0,-4.46155509280012,0.5606683009362439,2,0,115,17,200,0,1
29,0.6327712939064079,-4.0,-1.2135646483524938,0.0,3,0,8,64,254,22,1
16,0.629825496577264,-3.8413868942479015,-2.3248962174547136,0.05860898646790058,0,0,108,101,90,244,0
31,0.625981932443048,-4.0,-2.691102081492367,0.0,2,1,8,220,256,200,1
13,0.6153490068454719,-4.0,-2.7163448901809204,0.6578340890102455,1,2,256,71,181,42,1
27,0.6152508136011671,-3.0638376231590914,-2.638510896137383,0.7,3,2,144,8,3,18,1
42,0.6139602738188756,-4.0,-5.0,0.0,2,0,8,163,166,256,1
17,0.6111407249466951,-2.3217703589721825,-4.621547499426395,0.29934222981621866,4,3,24,242,0,197,0
28,0.6076618785770396,-4.0,-4.50873885592051,0.0,1,2,48,141,254,241,1
34,0.6070727191112109,-3.690212587990429,-1.0,0.0,1,0,29,246,256,18,0
50,0.605978565817529,-3.1372009755244084,-2.7005201267672723,0.0,4,0,71,256,100,256,1
30,0.6045477499719447,-4.0,-1.0,0.7,1,3,159,176,3,215,1
32,0.6041549769947256,-3.0978825608265446,-3.3889951793819684,0.0,0,1,76,116,98,107,1
36,0.603846369655482,-3.755727716575183,-1.0,0.5823591316229327,3,1,157,212,26,232,1
18,0.6022472225339468,-2.226738120918927,-1.2088321901631018,0.012038609111936584,4,1,13,154,256,54,1
33,0.6013775109415329,-4.0,-1.984894717347824,0.0,4,1,47,32,245,80,1
7,0.6006340478060823,-4.0,-3.925404487001655,0.7,0,3,256,256,147,0,1
3,0.5977583885085849,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
47,0.5972393670744024,-4.0,-1.2344521211434647,0.6573335302828804,4,3,105,85,203,61,0
1,0.5965800695769274,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
46,0.5965099315452811,-3.200755065505862,-2.2698005956822174,0.46713869589542106,0,2,125,229,197,107,1
40,0.5956542475591966,-3.8504996666942044,-4.523026606741957,0.7,3,3,160,49,0,123,1
10,0.5912776343844687,-4.0,-3.5007949345320997,0.6098965172385987,3,3,192,41,2,162,1
9,0.5906323644933229,-2.8491050011007277,-2.5858363540725344,0.6300415236541388,1,1,96,188,0,222,1
12,0.5885282235439345,-3.6650978204582407,-3.310881858190486,0.7,3,3,218,114,0,24,0
14,0.5879671192907643,-4.0,-2.079181828514865,0.6587088719563616,1,3,88,233,94,45,0
37,0.5860172820109976,-3.658364828440832,-1.0,0.7,4,1,142,187,0,10,1
44,0.5844041072831332,-4.0,-2.756730612231728,0.47516518699030486,0,3,198,234,0,0,1
26,0.5840674447312311,-4.0,-3.7531976132209834,0.3679983636488363,0,1,139,52,1,36,0
39,0.5829312086185613,-3.8307942166880533,-3.7284652872731714,0.7,3,1,168,84,0,201,1
38,0.5702923353159017,-3.8680362335895406,-1.0,0.0,3,2,8,175,254,239,0
20,0.5657473908652227,-2.5691788761728196,-1.2128637867678629,0.6330589884828516,0,2,68,223,0,225,0
25,0.5653265626753452,-4.0,-1.8110688333387146,0.0,4,1,8,10,153,194,1
35,0.5521546403321738,-3.711872454922672,-1.0,0.6324511330233995,1,3,42,134,15,200,1
22,0.5471608124789586,-2.133029189485841,-4.904016039038352,0.48983624539410525,0,1,227,42,0,46,0
11,0.5384636965548198,-3.63187856122372,-1.4570113950312473,0.7,2,1,48,214,174,79,1
21,0.5048535517899225,-3.058781099876527,-4.150985461362268,0.12555419202632487,1,3,176,238,256,29,0
5,0.5,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
8,0.5,-0.3,-4.7663601257423105,0.7,3,0,8,183,256,76,1
6,0.5,-0.3,-5.0,0.7,4,3,8,0,256,256,0
23,0.5,-2.368493646720142,-2.424756720784502,0.4801011234387787,1,2,240,75,256,221,0
19,0.5,-0.793283945690606,-1.6821559502928514,0.5581058790209823,1,2,245,69,0,207,1
4,0.4961283806531254,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
24,0.43502412748288627,-3.8764338423707816,-1.0,0.7,3,1,212,246,256,164,1
