trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
45,0.8376173999011369,-4.0,-3.632186134391789,0.00014933373936223292,3,0,49,93,11,94,1
38,0.836361014994233,-4.0,-3.3213871153079806,0.012706939856340367,3,0,250,227,60,19,1
50,0.8312324929971988,-4.0,-2.6349856782822334,0.12108299608124452,3,2,256,83,4,63,1
27,0.8311707035755479,-2.8257251149430913,-4.911503698457655,0.5088276133164467,3,2,117,5,248,229,1
24,0.8301202834074806,-2.8842339945241706,-1.4871369427365875,0.07767373432380364,4,0,141,256,10,203,1
44,0.8295435821387378,-4.0,-1.2313753120696482,0.03350179439462108,4,2,251,165,197,0,1
8,0.827659004778382,-2.0080311264749646,-2.1868282391513425,0.29467392074648124,0,0,24,161,256,94,1
36,0.8261863568956995,-3.072983304101503,-4.477832671260698,0.5898316997972259,2,0,250,49,252,208,1
5,0.8255478662053056,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
13,0.8237559729774262,-2.4283962843911193,-4.052127518909298,0.04129895847103243,2,3,241,0,52,228,1
15,0.8210372384247816,-2.0965736508548667,-4.823749351093113,0.14329541166858525,1,3,241,249,118,182,1
3,0.819574888779041,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
16,0.8174637502059647,-2.285604101701483,-2.357090742897884,0.12506893896523805,2,0,256,50,0,155,0
42,0.8148994892074477,-3.1178034153280345,-1.9918147373790274,0.11503663701612223,4,0,248,15,21,39,1
26,0.8147141209424946,-2.854880118458685,-1.429377898812342,0.29255018551995,1,0,181,245,253,111,1
37,0.8121498599439776,-3.062548672621278,-4.953178748445503,0.19512178803521582,0,2,15,18,179,237,1
19,0.8093178447849728,-3.0890900770505283,-1.5744311798232018,0.2530969672923804,0,2,97,170,243,194,1
21,0.808493985829626,-4.0,-4.566221241325843,0.24079462771921745,3,0,58,69,101,172,0
12,0.808432196407975,-2.5733327194201134,-1.013792315500282,0.024946487535053803,3,3,63,21,19,36,1
31,0.8073199868182568,-2.1743132039653696,-1.2000290769848658,0.033114035876795914,1,0,212,236,211,214,1
43,0.8056722689075632,-3.1283956171074565,-4.495276715519145,0.11259284275965026,4,3,14,172,234,60,1
30,0.8034272532542428,-4.0,-4.617161863987901,0.11711701232584659,2,3,201,97,245,99,1
34,0.7989990113692536,-3.016816859312604,-1.0579475667114844,0.6352154437306206,4,0,249,8,105,146,1
1,0.7970011534025375,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
4,0.7970011534025374,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
46,0.7968981710331191,-0.3,-5.0,0.7,4,3,256,0,98,216,1
33,0.7913783160322954,-2.159284011178281,-1.0201487313916586,0.6364266088632391,1,3,248,232,58,146,1
18,0.791028175976273,-0.7606583399501985,-2.9395370452312775,0.09665098645973826,3,3,174,32,96,181,1
49,0.788268248475861,-2.9362089074715554,-4.098535718709203,0.6211864813466779,2,1,256,181,19,183,1
25,0.78781512605042,-4.0,-3.112446476358975,0.4933421513723382,4,0,172,185,250,178,1
35,0.7848286373372879,-1.9824053013926513,-4.886219326939707,0.3804498598569642,0,1,236,48,214,255,1
40,0.779628027681661,-4.0,-3.54918775321114,0.317216653324853,3,0,240,3,44,175,0
28,0.7795147470753008,-2.848498728358615,-4.771832320593339,0.09763819900165381,0,3,30,251,84,91,1
39,0.7786290986983029,-4.0,-4.8812188727016546,0.6785431316854033,1,0,19,243,249,198,1
32,0.7775580820563519,-4.0,-1.5829475515713023,0.2362702566390314,4,2,79,81,150,231,1
20,0.7530894710825506,-0.5589154367085412,-3.489344550199469,0.18963831221923658,2,0,36,66,18,68,1
2,0.7423381117152743,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
23,0.7401857801944307,-2.070196977659199,-4.590477427051304,0.550282752049554,4,1,34,49,7,24,1
47,0.7331314878892734,-2.855822193661357,-4.1181522081499615,0.2106150148387987,3,1,8,184,112,157,0
22,0.7258403361344539,-4.0,-3.0651177751421033,0.2201070635546224,1,2,128,234,12,137,0
29,0.7224625144175317,-3.371664336596554,-1.5637793385016554,0.45378587995346326,4,2,145,55,150,242,0
6,0.6107060471247323,-0.3,-1.8620673454535028,0.48231769233996186,3,0,61,91,216,256,1
10,0.5415636842972482,-1.7390504916614606,-2.529685047212788,0.4590463755693039,0,1,248,59,245,0,0
17,0.5101540616246498,-1.9052389545909039,-1.0,0.0,1,1,241,178,0,89,0
9,0.5071881693854012,-1.3926537665530287,-5.0,0.7,4,0,241,0,151,256,0
7,0.5,-0.3,-2.3856134810121516,0.7,0,2,8,234,0,123,0
11,0.5,-1.2024417876925813,-2.1591498606115116,0.0,3,2,90,121,87,188,0
14,0.5,-0.4571327826721614,-4.3672651322873595,0.16865552790511013,1,1,255,95,4,54,0
41,0.5,-1.680558962436434,-2.270027328882781,0.1441101768731262,4,1,145,99,0,256,0
48,0.5,-0.3114804283284043,-3.611410239225436,0.7,4,2,256,4,195,224,1
