trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
12,0.9104961028017694,-1.1780316386818939,-1.857501512816563,0.023496293467718806,0,2,27,151,179,215,1
30,0.8958816094375395,-2.166944546675534,-5.0,0.0,3,3,223,256,0,0,1
43,0.8872182431009059,-1.279234807112609,-2.409338573336688,0.4302342527864237,2,3,191,256,0,3,1
2,0.8849009900990098,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
20,0.8844006741099641,-1.8944241716931693,-4.403981868406356,0.23368911384758365,2,3,203,121,0,53,1
41,0.8829787234042553,-0.3,-2.573679814116483,0.6359090966390538,3,1,231,256,135,256,1
11,0.8813329471244997,-1.827883543751772,-2.011070361962524,0.5003186735527889,3,2,148,153,216,206,1
19,0.8780150621445123,-1.4882663191334253,-4.15484127201107,0.2454236604121859,4,3,57,209,99,256,1
23,0.8777385717295134,-1.8811549210889216,-5.0,0.32437167619017726,1,1,256,172,48,17,1
16,0.8750263324204761,-2.670710711997049,-4.86427838312506,0.0,3,3,92,0,0,60,1
6,0.8736833789761955,-4.0,-4.6224727659037494,0.02707824736730952,2,2,39,234,8,178,1
44,0.8732225616178639,-2.5555667291891773,-4.558884483269777,0.0,3,2,151,42,0,23,0
15,0.8729987360438172,-0.5253853511975213,-5.0,0.22802156210402844,4,3,166,185,240,97,1
48,0.872722245628818,-1.7297241141782487,-2.301901597257059,0.3240906871144123,0,3,77,256,256,230,1
50,0.8725774173161995,-0.4651176146820166,-3.611899508255288,0.7,0,1,61,0,256,0,1
39,0.8713924583947756,-0.5739932542393422,-5.0,0.0,3,1,256,256,0,256,1
9,0.8713397935538235,-0.31178149616492634,-4.297870088368451,0.5877364322340741,1,1,169,42,256,120,1
32,0.8697466821150199,-2.6036763187303853,-1.8059330016211241,0.0,0,1,60,0,256,206,1
45,0.8676005898462187,-3.9448958531820426,-3.522252052259619,0.7,1,2,234,247,0,108,1
21,0.8676005898462186,-4.0,-5.0,0.0,0,0,88,0,188,4,1
46,0.8666526227090794,-4.0,-3.8459297524789737,0.0,0,1,250,25,256,0,1
5,0.8663366336633663,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
18,0.8642168738150411,-1.8323213517541102,-1.9672765832407295,0.052664359805497836,4,1,15,103,243,165,1
14,0.8641971244996839,-2.8069759577890694,-3.1416258264537955,0.1952517220214843,0,0,224,0,168,67,1
3,0.86274225826838,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
29,0.862729092058142,-2.5144298713893445,-1.994506174314795,0.0,2,0,31,0,0,191,0
1,0.8611228144091004,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
4,0.8594243732883926,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
31,0.8581077522645881,-4.0,-4.819672310594981,0.7,0,2,211,256,0,61,1
24,0.8509058352643775,-3.323576225930322,-5.0,0.0,2,2,29,17,143,166,1
25,0.8499052032862862,-0.7441380662559105,-1.8188516392491145,0.0,3,0,62,0,0,187,0
26,0.8455735201179693,-4.0,-2.934887847188775,0.41925074367441606,2,3,8,0,256,256,1
42,0.8445992205603539,-0.3,-1.6907387608228537,0.044724544878579596,0,3,8,65,0,256,1
49,0.8437960817358332,-4.0,-1.7341443582055032,0.03525539180343136,4,0,256,199,0,0,0
27,0.8432167684853591,-0.3,-1.0,0.0817481822108106,0,3,253,256,0,52,1
35,0.8426769538655993,-0.3,-1.0,0.0,0,3,256,0,0,75,1
33,0.8405308615967979,-2.4847008455445336,-1.4518003076437007,0.0,0,2,176,0,0,178,0
36,0.8354618706551507,-2.6027320981522597,-2.207075211983973,0.0,0,2,8,256,121,191,1
47,0.8292737518432693,-4.0,-3.7006884376905185,0.14172247287100612,4,3,206,238,0,21,1
34,0.8290499262692227,-4.0,-5.0,0.7,0,3,8,256,0,0,1
38,0.8231514640825786,-3.8235218571426923,-3.837722882800728,0.042393239171770444,0,3,200,44,15,27,0
37,0.8145802612176111,-4.0,-1.0,0.0,1,1,256,0,0,0,0
28,0.5718480092690119,-0.8142837038607462,-1.0,0.068625941400424,4,1,193,49,255,77,0
8,0.5362597429955761,-0.3,-3.0320054859788605,0.0,0,0,256,28,0,158,0
22,0.5264114177375184,-2.3765694838859113,-3.0553229456181157,0.26350726052728674,4,1,18,256,7,200,0
13,0.5,-0.3,-4.626415840800312,0.4730864002033411,0,0,256,0,256,256,0
10,0.5,-0.3,-1.0688620807126896,0.632830588402289,4,0,116,254,187,179,1
17,0.5,-1.2041611776270909,-1.5923099095683741,0.321769488964384,2,3,249,241,199,152,0
40,0.5,-0.3,-1.0,0.37858891726724053,1,2,256,56,43,0,1
7,0.42767142405729935,-4.0,-1.0,0.3945264359841879,3,2,143,151,127,138,0
