trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
38,0.69536782061369,-3.3189937827944527,-2.419895398089693,0.032698697527807664,2,1,139,56,153,160,1
14,0.6840332415420928,-2.641812201824036,-1.8909948788797433,0.27801140865525287,4,3,117,124,143,143,1
3,0.6835906766325727,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
25,0.6818450039339103,-0.3,-5.0,0.4026412632195592,4,1,34,131,124,33,1
36,0.6782061369000787,-2.007618556076785,-4.649184833791824,0.46127482418711907,0,3,172,226,0,56,1
42,0.673436270653029,-2.2901027587991245,-5.0,0.0,4,3,147,2,0,0,1
41,0.6728707710464201,-0.9135218514173911,-5.0,0.36857498876803324,4,1,175,14,91,83,1
23,0.6722806845003934,-1.2903443674589106,-5.0,0.5215636570380687,0,2,178,224,231,211,1
18,0.6714939024390243,-0.9009946252085408,-5.0,0.0,4,2,115,244,229,247,1
13,0.6710267505900865,-1.6305638949057015,-4.588411880237957,0.29460309734922807,4,0,170,8,243,124,0
48,0.665912667191188,-2.123867289474777,-4.562787727004319,0.35772579222127765,2,2,183,246,148,81,1
44,0.6651504720692369,-0.3,-2.711944401990824,0.4403905166214993,3,1,75,121,129,19,1
1,0.6644620377655388,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
37,0.6627409520062942,-0.3,-3.8488863053175004,0.6234095702040515,4,1,67,228,218,234,1
7,0.6626180173092053,-4.0,-4.418439398282506,0.0,4,3,146,256,256,179,1
17,0.6618312352478364,-2.4891696728066073,-3.2308710669071408,0.036177066037437734,4,3,130,191,158,69,0
22,0.6614624311565696,-1.3276860216283612,-4.3736101176364865,0.46466110672785216,4,3,123,5,0,226,0
4,0.6585980527143982,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
47,0.6585611723052713,-3.0896012876845464,-2.2555497332051546,0.3181225516443784,3,2,98,119,121,220,1
26,0.6580694335169159,-4.0,-5.0,0.35126911611593953,2,2,174,91,233,217,1
40,0.6578235641227381,-2.3611603022231957,-5.0,0.20057669635342812,2,0,101,31,138,126,1
49,0.6570613690007868,-3.6146645868988907,-2.5617399165793713,0.3304493765418889,3,2,151,128,98,237,1
32,0.6561762391817466,-4.0,-2.642399103727508,0.2541223040452438,1,3,129,120,27,35,1
30,0.6551435877261998,-0.3,-5.0,0.1472423866135974,4,1,149,50,43,238,0
2,0.6501524390243902,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
27,0.6447556058221872,-3.935323066872139,-5.0,0.00042655738881153157,4,2,115,254,246,80,1
21,0.6404160110149489,-2.47441696098947,-2.163089121379371,0.0,1,0,158,118,129,38,0
10,0.6398259244689222,-1.600356951069763,-5.0,0.0,0,0,140,0,9,0,0
6,0.6351298190401259,-2.3651585724323887,-2.1293655754491705,0.5822694444439243,3,3,153,249,254,229,1
15,0.6212873721479151,-4.0,-5.0,0.7,0,2,145,256,220,0,1
20,0.621066089693155,-1.1463171303850395,-2.957605575260454,0.0,2,1,134,67,105,86,1
45,0.6122393784421716,-0.3,-2.124429500293158,0.4853687661908922,4,0,49,253,192,54,1
5,0.6109116837136114,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
43,0.5383064516129032,-3.144339297542431,-5.0,0.6476321754634634,4,2,136,19,199,83,1
12,0.5303156963021244,-4.0,-1.0,0.7,4,3,57,256,256,0,1
24,0.5267751770259638,-3.716629184312414,-1.0,0.32433632985880917,0,1,113,56,230,89,0
34,0.5261973839496459,-1.3400472769817187,-5.0,0.5805353921750601,4,1,8,136,13,110,1
19,0.5032823564122738,-3.0033469844617158,-2.932182217418576,0.02779641062307755,1,1,217,57,29,139,0
33,0.5,-0.3,-5.0,0.6749083685989201,0,2,205,256,256,209,1
31,0.5,-0.3,-5.0,0.533983579534837,0,2,173,10,3,96,0
9,0.5,-0.7839919032590994,-1.0,0.7,2,3,256,256,18,73,0
16,0.5,-0.9792495612115713,-1.0,0.6506656324265957,0,0,89,77,114,64,1
39,0.5,-0.3,-4.561492670995019,0.2929094893462427,1,2,8,101,126,36,1
35,0.5,-0.3,-4.676909637687855,0.04985163920182695,0,0,174,245,192,181,1
28,0.5,-0.3,-1.0,0.10027599140868959,3,2,28,157,131,59,0
29,0.5,-0.3,-5.0,0.2043395269138431,2,0,45,21,0,0,0
46,0.5,-1.3444532824687179,-1.213551711651431,0.12104431369465786,3,0,142,0,227,33,1
50,0.5,-0.805587748378747,-3.7679940030888286,0.1832189104138562,4,0,95,49,191,23,0
8,0.4980084579071597,-4.0,-5.0,0.0,0,3,256,0,0,0,1
11,0.42660798583792287,-3.966795602948847,-4.263138000879734,0.43274930275053103,0,1,8,180,256,256,1
