trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
37,0.6790420928402833,-1.5744843713674563,-4.753849019916391,0.5629839040699101,3,2,153,0,58,142,1
39,0.6701170338316287,-2.405408179683736,-4.6284160482168115,0.6074108805023477,2,2,255,30,168,168,1
17,0.6674124704956728,-0.3,-5.0,0.2820445339625391,4,3,168,203,192,127,1
45,0.6674124704956726,-4.0,-4.640120881381862,0.4338686375901839,3,1,140,0,233,92,1
32,0.6669699055861527,-2.372056939611135,-4.817731785123155,0.18269836301113726,2,3,136,0,162,199,1
50,0.6660110149488592,-0.989370248548374,-4.661010399973385,0.488822396781767,4,3,111,0,159,229,1
13,0.662101691581432,-2.746925914724346,-4.86074024100009,0.31035932802616323,0,2,56,0,231,191,1
38,0.6613886703383163,-2.442936886085074,-4.720248155332437,0.13784805688623142,0,3,26,0,55,147,1
21,0.6576268686073958,-4.0,-4.379155916625849,0.0,4,1,183,256,88,18,1
9,0.6520210464201417,-3.202051679513014,-4.845460885929115,0.5510136213471254,0,0,51,25,247,22,1
44,0.6445712037765539,-1.91036072974327,-5.0,0.1265851855734881,4,2,99,0,20,62,1
35,0.6411290322580645,-0.8437855773599097,-4.853420060664871,0.38090490201621613,2,3,158,0,108,70,1
48,0.64051435877262,-2.0722501608426755,-4.510444671465356,0.3049330394208185,2,2,256,33,256,256,1
33,0.6331628638867034,-1.4422399265942873,-4.329733277990304,0.10590548044677975,3,0,163,256,190,116,1
30,0.6309992132179386,-3.63120478789758,-5.0,0.5472795135889518,2,1,72,256,207,83,1
27,0.6298682140047207,-2.231277998252196,-4.58691908179277,0.0,4,3,169,241,248,95,1
12,0.6276062155782849,-4.0,-5.0,0.11494556314580516,0,3,194,152,140,185,1
46,0.6234756097560976,-2.965071709156064,-4.658528093523488,0.4244762696306898,0,3,256,27,124,184,1
41,0.620500590086546,-1.7469347822150745,-5.0,0.42077919019443194,1,1,139,0,162,198,1
34,0.6195662863886704,-3.0004119132619875,-4.786325228913842,0.46652084769517915,0,2,15,0,249,110,0
19,0.6181894177812746,-0.8970726980307373,-4.948976287050209,0.22318025858254914,1,2,111,171,157,181,1
3,0.6162716365066877,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
2,0.6142800944138473,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
24,0.6139604642014161,-1.7398682310119802,-4.466384341741333,0.6975968668532507,3,3,43,202,112,9,1
47,0.6135670731707317,-3.3378826878459966,-5.0,0.3399384452569108,4,0,254,206,210,109,1
10,0.6128294649881982,-3.4979055472491254,-2.939589203858591,0.4718757689514788,0,0,223,214,209,210,1
22,0.6110837922895358,-4.0,-4.669725211395939,0.0,4,1,152,256,30,87,1
25,0.6108625098347757,-0.3,-5.0,0.2927382876529921,4,3,194,238,79,146,1
28,0.6099896734854445,-0.9597631701058309,-4.841713119460962,0.16352287265457308,0,2,40,125,256,215,1
1,0.6079858379228955,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
4,0.6043715578284815,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
15,0.603978166797797,-4.0,-1.0,0.28139918140471576,4,1,218,10,114,192,0
43,0.5998967348544453,-2.5655886020838987,-3.5845002503010654,0.6683400708784103,0,3,21,34,184,48,1
49,0.599700039339103,-3.932069675187823,-5.0,0.023554960869011838,3,1,128,200,214,218,1
20,0.5987657356412274,-0.3,-2.4905556613337794,0.5638152097708353,1,1,69,166,47,256,1
36,0.5959874114870181,-1.3745870322666986,-4.3224306239366665,0.1833072950037306,4,0,205,256,1,251,0
5,0.5958398898505115,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
26,0.5926435877261998,-3.39510772458691,-4.00199792260485,0.5172370641342774,4,3,256,254,136,57,1
18,0.5900742525570418,-0.5735109175310407,-1.0,0.22588565837341446,4,3,221,59,46,152,0
42,0.5835464201416208,-3.2606194523351033,-4.689521497674865,0.5348480165093737,3,1,31,31,41,92,1
14,0.5794895751376868,-0.3,-5.0,0.21394007251512617,0,0,10,7,1,98,1
16,0.5098839496459481,-4.0,-1.0,0.12407568118696345,0,3,77,231,174,231,0
23,0.5,-1.6155488764377903,-1.9294218157156364,0.7,4,2,177,247,149,49,1
6,0.5,-1.1253654990044022,-4.977462691558403,0.7,0,2,238,17,254,15,0
8,0.5,-0.3,-3.8828267976666724,0.46456344659003124,1,0,66,82,42,183,0
7,0.5,-0.662411693302674,-1.0,0.0,4,0,256,0,256,256,1
40,0.5,-0.5088443878923292,-4.624099400823937,0.3874091770107318,4,0,87,61,29,235,1
31,0.5,-0.8133127076537963,-5.0,0.6860014039522498,3,0,97,61,182,161,0
29,0.4797403619197482,-3.782285953478401,-5.0,0.5415244928203311,4,1,224,10,256,66,1
11,0.458743115656963,-4.0,-3.993863776100879,0.0,4,3,8,0,0,0,1
