trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
44,0.8651080945198593,-1.419365541442576,-5.0,0.7,3,0,256,256,256,256,1
47,0.8649824032176973,-2.209009264589497,-5.0,0.7,4,0,256,256,0,256,1
35,0.8643623261270319,-1.8665123554957952,-4.0306384840426865,0.7,4,0,168,256,101,7,1
2,0.8634154516507458,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
38,0.8614630467571645,-1.484769840817211,-5.0,0.41233250648689834,0,0,8,256,256,0,1
41,0.8607172783643372,-1.3723926924247252,-1.0,0.6255031768806635,4,0,8,256,162,220,1
9,0.8606502430031842,-4.0,-1.0,0.7,0,0,256,256,256,256,1
37,0.8605077928607341,-3.2044771376536527,-5.0,0.0,4,0,256,0,0,0,1
45,0.8604072398190046,-1.7624544401735878,-5.0,0.7,4,2,256,241,256,216,1
21,0.859108429696665,-3.598847931734872,-5.0,0.5267420705639408,0,0,172,237,0,0,1
32,0.8590916708563767,-1.9841148318271697,-5.0,0.7,0,1,8,256,120,87,0
31,0.8584213172448467,-3.7410608946859387,-3.2536810898934654,0.7,3,0,256,141,110,256,1
27,0.8578515166750461,-3.530196108621773,-4.559534702869484,0.7,0,3,251,86,217,225,1
39,0.8575666163901458,-1.5686918975332604,-5.0,0.6151774647905043,1,1,8,256,256,0,0
46,0.8572817161052455,-1.3264654415436357,-5.0,0.7,4,2,256,256,136,0,1
42,0.8570638511814983,-3.2382637778292596,-5.0,0.7,0,0,256,256,256,0,1
1,0.856049941344059,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
19,0.8556644880174292,-3.488753789892286,-1.4297235441174205,0.7,0,0,256,99,256,3,1
40,0.8540556393497569,-4.0,-5.0,0.0,4,0,256,256,0,0,1
3,0.8532428355957768,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
6,0.8524719289425172,-3.8428613357508272,-3.5201340223765216,0.03358165025404524,0,1,186,240,254,47,1
29,0.8510893246187363,-2.3596094036082405,-5.0,0.0,3,0,9,0,256,0,1
22,0.8510139098374392,-1.3756543969421227,-1.0,0.7,1,1,256,199,0,256,1
30,0.8509887715770069,-1.1660311278873823,-4.291677579138984,0.0,4,3,72,192,34,143,1
18,0.8504943857885034,-1.1907408737943417,-1.0,0.7,0,0,256,256,256,256,1
5,0.8500586559410088,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
16,0.8489525724819842,-2.0857024185106203,-4.422457608501158,0.7,0,2,14,11,46,193,1
4,0.8487766046589577,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
15,0.8478297301826714,-1.228184231764084,-4.161527230564216,0.7,0,0,8,256,256,0,0
24,0.8457013574660633,-2.011290469691531,-1.0,0.5938690199967285,3,3,256,110,256,198,1
8,0.8452656276185688,-3.1134178186806616,-1.7977573109427043,0.10557874453170397,1,2,244,118,66,256,0
50,0.8448466566113625,-3.3944864653567803,-5.0,0.2189179976474467,4,3,8,256,8,138,0
14,0.8438746438746438,-3.152751215602377,-1.0,0.7,4,3,65,0,0,256,1
33,0.8425423160717278,-3.8228261858882635,-1.8646116595237432,0.7,0,0,256,0,256,0,1
23,0.8413943355119826,-3.5511995454453853,-2.1567113869935106,0.7,0,3,256,172,256,0,0
25,0.8405228758169935,-1.3993693587299494,-2.8239153566327473,0.7,0,3,126,26,160,95,0
13,0.8403636668342551,-2.3596126866582834,-2.163169175656654,0.7,3,3,112,123,74,13,0
48,0.8386123680241326,-1.8914774715149805,-5.0,0.7,4,0,256,256,256,256,0
34,0.8372213842802079,-2.0455969472017657,-5.0,0.7,0,3,16,0,256,101,0
26,0.8335176805765042,-2.8943196792955725,-4.12926780233998,0.7,4,3,8,144,256,60,1
17,0.8309368191721134,-4.0,-5.0,0.7,4,0,8,0,0,256,1
10,0.825398022456846,-4.0,-1.0,0.0,0,3,256,256,256,256,0
49,0.824459527400704,-1.3430286423467725,-5.0,0.7,3,2,8,256,256,0,1
43,0.8076755488520195,-1.5689512957063334,-1.0,0.0,1,0,8,42,54,0,0
36,0.7981146304675717,-3.710403391972055,-1.0,0.7,1,3,114,256,32,196,1
20,0.7959443606502431,-4.0,-1.0,0.4475094479077246,3,3,8,0,0,256,1
28,0.7880174291938999,-2.725213448549736,-1.0,0.7,0,0,256,251,70,222,0
11,0.66356628121334,-0.3,-1.5878545191549462,0.0,4,0,8,0,256,256,1
12,0.5,-0.3,-2.91346406277228,0.2843597021084741,4,0,189,35,48,256,0
7,0.5,-0.32896751831401927,-4.619922249107754,0.3968438728241549,3,0,70,194,19,8,0
