trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
10,0.8680548240994312,-3.5360195816562845,-1.4137956411012076,0.681464497831667,4,0,56,222,2,106,1
3,0.8669356962291972,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
48,0.8660403939330104,-1.210090777569223,-1.4155821481925477,0.1520165764487176,0,1,8,187,68,10,1
43,0.865658573836107,-3.548719591383095,-3.0670466833399566,0.11681483195043305,0,0,256,173,80,62,1
7,0.8638416368232567,-2.0533736500677624,-1.5744723258326303,0.6514390842733444,1,3,171,235,255,77,1
20,0.8637626395618285,-2.1839728932993108,-1.499664358823075,0.48338735141701544,0,2,256,42,54,37,1
12,0.8624986833789762,-1.0339515243817652,-3.193326258525743,0.058336268164048674,0,0,76,228,255,224,1
25,0.8608792395196967,-4.0,-1.63017719616747,0.2286990576060106,0,0,226,0,0,89,1
8,0.860694912576364,-2.5981591757711664,-4.54678606961025,0.5334473080738923,3,0,252,109,177,115,1
47,0.8601814303770803,-0.3,-3.915062873027188,0.0,1,0,63,142,256,256,1
26,0.8599181061723193,-0.3,-3.4103291686132833,0.5986028114596978,2,3,115,133,0,4,1
37,0.8596416157573205,-1.1464844549316613,-3.717535321844866,0.5028244567247842,1,0,256,256,27,202,0
49,0.8594309563935116,-3.1840602948720775,-4.962643394565646,0.19128505162577744,2,3,256,150,151,238,1
1,0.8584303244154203,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
36,0.8579300084263747,-2.2085463449664697,-4.051430602229587,0.43131936984586694,4,1,76,136,62,207,1
42,0.8576271855908996,-4.0,-2.9042332203423236,0.3802365538180166,0,2,90,256,256,256,1
21,0.8560604065725721,-3.3695375678965327,-4.3678157231213675,0.6132191544814497,2,2,20,69,33,15,1
16,0.8559682431009058,-4.0,-5.0,0.22542002719605703,1,1,50,197,256,44,1
44,0.8551519380661471,-3.7018336887197463,-5.0,0.1946644167252969,3,1,120,5,41,0,1
40,0.8542566357699599,-4.0,-3.4548101154957367,0.25008256953503266,1,0,206,168,97,27,0
23,0.8538748156730567,-3.0940346411685047,-4.6289095420156725,0.6472507469035068,4,1,187,48,93,221,0
29,0.8538089846218665,-2.163461426087677,-2.150368045094372,0.0,3,0,256,0,0,256,0
14,0.8535851590478197,-4.0,-2.3493553286366238,0.7,0,0,99,1,256,256,1
45,0.853387665894249,-4.0,-4.695901273542296,0.7,2,0,239,239,175,175,1
46,0.8529860964819886,-0.3,-5.0,0.7,0,0,256,256,256,105,1
15,0.8524265325468718,-1.9301683669392449,-3.7216718579057604,0.7,2,1,38,131,0,173,1
4,0.8523738677059196,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
34,0.8501092795449758,-4.0,-3.902682227244167,0.41614409902931787,3,0,199,60,178,149,0
27,0.8481738466399832,-4.0,-3.9842793547222204,0.41287284920682377,0,1,151,215,144,237,1
9,0.8481409311143882,-2.037403459532579,-4.724333087291756,0.12038144906757316,3,3,9,94,245,199,1
50,0.8478973562249841,-1.904570868096643,-1.9029100999151813,0.0,2,3,64,133,224,207,0
22,0.846435906888561,-4.0,-3.6401870492112094,0.1583657491115031,0,0,8,109,256,10,1
33,0.8462120813145143,-0.3,-1.9785250432292618,0.7,2,1,51,256,0,144,0
11,0.8459092584790393,-2.722190100149244,-4.949321415099694,0.7,4,2,129,55,256,240,0
13,0.8442239835685698,-0.5127899423382796,-3.045462050655347,0.13980202051284596,3,2,256,223,256,237,1
31,0.8431509374341689,-3.6604161890331683,-1.0,0.7,4,3,8,256,256,256,1
2,0.8423543817147673,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
39,0.8397474720876342,-4.0,-4.6041800009283165,0.376662646924435,2,2,171,65,110,186,0
41,0.839681641036444,-0.3,-1.0,0.3338673706956606,4,3,8,256,256,256,1
6,0.8395499789340636,-3.9095353993528943,-5.0,0.29899115597667003,2,3,256,154,10,72,0
5,0.8353762902886033,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
28,0.8329405413945649,-4.0,-2.8380923461051286,0.7,0,0,15,256,240,256,0
19,0.8312815989045713,-0.3,-3.7723461130507236,0.0,2,0,256,256,256,256,0
32,0.8289445965873182,-4.0,-1.9028433693077478,0.6461695154239153,3,1,115,186,3,77,0
38,0.7548583315778387,-0.3,-3.2733618370280815,0.12312507883027916,4,2,185,227,210,256,0
30,0.5608673899304824,-2.9687215085885867,-1.0,0.6073696777623129,4,0,113,85,21,136,0
17,0.5346797977670108,-0.7262027319819286,-2.1902769740831296,0.7,4,2,109,50,61,0,1
35,0.5070175900568781,-0.3,-4.457655556020018,0.0,1,0,8,256,161,99,0
18,0.5,-0.7755979463133418,-1.0,0.0,2,0,189,70,178,256,0
24,0.5,-1.2910827822200845,-1.093593461163365,0.3413127933973809,0,3,256,229,167,83,0
