trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
39,0.6531274586939417,-3.3992624286831736,-5.0,0.13183130415001124,4,3,130,0,243,117,1
41,0.6435139653815893,-0.3,-5.0,0.21996348524824857,3,3,106,0,187,122,1
45,0.6349822974036191,-1.7431715670525594,-3.8847791091177593,0.13154780009077868,4,2,178,138,160,255,1
46,0.6301140833988985,-1.0176642869447368,-5.0,0.13397749300250103,3,2,184,111,165,241,1
28,0.6289584972462627,-0.8797209737395848,-5.0,0.471263824027192,3,1,96,165,227,210,1
4,0.6287863886703383,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
38,0.6278766719118805,-4.0,-5.0,0.22082113598605893,4,3,16,0,235,236,1
47,0.6241640440597954,-2.3340758422149688,-4.380224770470497,0.12588175823152153,2,2,205,191,240,140,1
23,0.6218774586939417,-2.274292252031623,-5.0,0.5137172735826149,3,2,146,256,256,195,1
34,0.621619295830055,-0.41457414825906724,-5.0,0.5685730761023625,4,1,14,256,143,72,1
10,0.621041502753737,-2.1787984861039895,-2.789474067972897,0.7,0,0,130,256,256,0,1
40,0.6197629819040126,-3.460981328462403,-5.0,0.0,4,3,58,0,63,101,1
36,0.6195171125098348,-2.3680892119831753,-5.0,0.0,4,3,144,199,142,108,1
15,0.6180418961447679,-1.3474607798635003,-5.0,0.66297807564736,3,1,8,210,221,256,1
9,0.6165420928402833,-4.0,-3.147046425461906,0.7,0,0,163,256,0,205,1
7,0.6147103658536586,-3.6829131028434507,-1.0,0.6300155085858475,1,0,92,148,147,126,0
17,0.6141817466561762,-1.7644609964118043,-3.7220871801196123,0.0029057872549832085,4,3,246,167,145,88,1
2,0.6138621164437451,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
1,0.6121164437450827,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
29,0.6114280094413846,-2.155958763203163,-4.7596949969490465,0.3492475154962176,4,2,219,0,15,93,1
50,0.6102232494099133,-1.1380116465554195,-4.2066888725137614,0.35597349700618847,0,2,145,4,101,19,1
48,0.6101003147128243,-3.5425965423063723,-5.0,0.1251296214671548,4,2,87,70,49,7,1
31,0.6095471085759245,-0.3,-5.0,0.6337607732878987,2,3,77,256,137,208,1
22,0.6094610542879622,-1.685912053621597,-4.129945964833865,0.015644994153946344,4,1,14,137,137,79,1
37,0.6071867623918175,-4.0,-1.7814828838694114,0.7,0,1,8,14,10,10,1
18,0.603978166797797,-3.5375765936712305,-3.2216725949183664,0.19486454611427298,4,2,115,10,68,12,1
43,0.6033880802517703,-1.4485200720010156,-5.0,0.2126359681539625,3,3,182,0,36,45,1
30,0.6028471675845791,-0.3,-3.664888705036442,0.0,4,2,234,0,41,74,1
35,0.5997246262785209,-1.2180158874797251,-3.4896018881888438,0.19490534493962988,4,2,211,0,98,210,1
5,0.593651652242329,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
3,0.5934795436664044,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
27,0.574178796223446,-2.8723051266216038,-3.2443658156958195,0.08139283321892538,4,0,8,206,139,43,1
33,0.5722364280094414,-4.0,-1.0,0.7,0,0,190,256,71,251,0
14,0.5681304091266719,-2.749258643450732,-2.90332868689533,0.33152206715313404,3,2,80,119,24,149,1
25,0.5604592840283241,-3.333280788570348,-5.0,0.5819734295773041,2,1,103,256,224,200,1
26,0.5470594020456334,-3.5754013625489907,-3.774309651881614,0.407985065099061,2,1,125,102,25,72,1
8,0.5152316089693155,-0.3,-1.0,0.0,4,3,256,0,0,67,1
16,0.5090111132966169,-1.2303929902277364,-1.0,0.33817072371332235,0,0,193,5,84,45,0
20,0.5054705940204564,-2.616323014371144,-3.5748960417009537,0.7,3,1,256,12,97,28,1
42,0.501008064516129,-0.3,-5.0,0.2554578217283152,4,2,90,24,189,45,1
21,0.5,-1.8800580632930117,-1.0709251534839654,0.5903612836626346,2,2,256,0,19,255,1
13,0.5,-1.217574802593076,-3.6401375115460337,0.0999471494125354,1,2,123,183,138,114,1
32,0.5,-0.3312749024804793,-1.5620284098072128,0.0,4,0,149,140,103,179,0
19,0.5,-0.3,-1.2751369294480521,0.03233056855671182,3,0,8,238,218,25,1
44,0.5,-0.3,-5.0,0.29266674341329296,3,2,81,95,214,114,1
24,0.5,-0.312353343667628,-2.9203319316824357,0.4090670831605257,0,2,142,256,160,55,1
12,0.49864771833202204,-4.0,-1.7438518644499172,0.5816646583678571,3,0,134,256,23,256,0
11,0.4853953579858379,-4.0,-2.1599267937451025,0.0,3,3,8,0,0,99,1
6,0.46797551140833993,-3.973991945889609,-4.863617208586919,0.6626592216200914,1,3,27,79,236,224,0
49,0.4551534225019669,-3.7889831730235635,-5.0,0.13803977683306673,4,1,35,135,233,82,0
