trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
3,0.676362116443745,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
50,0.6691581431943352,-2.6560618306706836,-5.0,0.7,0,0,126,143,236,137,1
44,0.6678550354051928,-3.1035538064923838,-1.8794703227131966,0.7,0,0,131,122,114,91,1
27,0.6621877458693942,-2.569617158029013,-5.0,0.7,4,0,256,222,256,95,0
36,0.6616591266719117,-2.5919893102495166,-4.987568384542309,0.7,3,0,244,141,242,4,1
32,0.6615853658536586,-2.633108482550158,-5.0,0.49951067514787234,0,1,127,0,237,83,1
16,0.6574547600314713,-2.8440326217850083,-3.609562558741484,0.7,0,0,206,256,256,99,1
41,0.6556353265145556,-2.609155916252445,-4.4095759693168635,0.6751780228467907,2,0,256,187,256,52,1
20,0.6542584579071598,-2.323707166288636,-4.1544470679975705,0.6769116433905118,0,0,239,81,218,38,1
35,0.6521685680566482,-2.47055854915334,-4.95647103665122,0.6066792726033355,0,0,182,183,256,36,1
1,0.6496852871754524,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
43,0.646243115656963,-2.778830211489419,-5.0,0.40867517659027,0,2,217,78,48,219,0
13,0.643538552321007,-2.4688234013083576,-2.023989985101625,0.010126368437002705,0,0,106,27,256,0,1
39,0.6349577104642015,-2.5683296381080227,-4.218404626585165,0.4090110899929677,1,0,62,22,256,169,1
34,0.6305320613690008,-2.537807123115911,-3.984489281144225,0.11108093312820623,4,0,20,0,256,152,0
19,0.6268686073957513,-2.7187383648321504,-1.3263003348900648,0.05279296582348078,1,3,167,137,74,47,1
8,0.6240656963021243,-4.0,-1.0,0.7,1,0,256,173,0,256,1
37,0.6235493705743509,-2.885972560060572,-5.0,0.40772307732656815,0,0,40,186,256,52,1
42,0.6213857199055862,-1.3550276392839797,-5.0,0.5778273451330219,1,0,8,84,105,0,0
2,0.6206481117230527,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
40,0.6193204169944926,-1.1386598534818853,-5.0,0.25388866530429877,0,0,8,0,51,256,1
21,0.618140243902439,-0.3273218660844517,-3.046228122517996,0.21715780747749136,0,3,8,3,76,241,1
31,0.6116984657749803,-2.7080201111807485,-4.960103041662579,0.10130031314127631,0,0,255,145,82,176,1
10,0.6087234461054287,-3.362347329441322,-4.905076858737193,0.7,3,2,184,125,240,250,1
49,0.6084284028324155,-2.576365813783382,-5.0,0.7,0,0,256,39,116,100,0
26,0.607346577498033,-2.5114603578568495,-1.290880374052564,0.6283627988121554,3,2,203,0,256,5,1
38,0.6071007081038552,-2.5620509894514556,-4.4726593931543865,0.7,3,2,101,0,244,256,0
11,0.6068794256490951,-2.26625965894919,-3.237810720533658,0.7,0,1,77,241,201,176,1
4,0.6065966758457907,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
48,0.6059451219512195,-2.9177316595098466,-3.3546416397196746,0.548711653621484,1,0,144,215,36,256,0
22,0.6056746656176238,-4.0,-2.918132251721313,0.022604690906704077,3,0,256,40,42,45,0
5,0.6046911880409127,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
28,0.6041502753737213,-1.5440739335915574,-3.3322076527861517,0.531362561835134,3,3,85,81,73,0,0
15,0.6036831235247836,-2.454326306629288,-4.397016395589776,0.7,4,3,122,127,140,166,0
45,0.6033389063729346,-3.2725392703441987,-2.275343097141958,0.7,1,0,256,41,174,149,0
46,0.6032897324940991,-2.6347045537383225,-4.588085492242196,0.11327108829323204,3,0,214,0,256,0,1
12,0.6009539732494099,-2.704305381432225,-4.740871850535944,0.6625247960776827,3,1,59,7,96,152,1
47,0.5963439221085759,-3.242710906072918,-1.0,0.7,0,0,38,235,176,20,1
24,0.596220987411487,-1.9509766822108845,-1.0,0.16958127837103087,4,1,19,196,256,199,0
30,0.5925944138473642,-0.45806570411398395,-5.0,0.4183497872220272,4,2,116,107,108,132,1
7,0.5925206530291109,-4.0,-5.0,0.0,0,3,8,51,0,0,1
25,0.5778176632572777,-1.741285240037803,-5.0,0.42966870051301875,1,0,148,250,256,182,1
17,0.5634343036978757,-1.089982425007459,-1.0999905121912676,0.7,0,0,256,160,224,0,0
23,0.5004917387883556,-4.0,-1.1691500390425795,0.3913005620664024,2,3,8,224,224,118,0
6,0.5,-0.4243076376630852,-5.0,0.7,2,3,96,79,256,194,0
9,0.5,-0.3,-1.0,0.7,4,0,256,256,199,256,1
18,0.5,-0.3,-3.273144312246067,0.5808415976579776,0,2,8,140,4,0,0
14,0.5,-0.3,-1.3484769128351815,0.7,0,1,63,247,51,237,0
33,0.5,-0.976486863783073,-1.0,0.4905219475875319,2,0,37,0,113,26,1
29,0.5,-0.9383680677798871,-2.2950983371248963,0.5130852644759798,1,2,180,256,256,142,0
