trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
44,0.8410759175465057,-1.4976512009888858,-5.0,0.0,3,1,256,256,0,0,1
45,0.8383945031003853,-4.0,-3.3239763080981746,0.0,0,2,256,165,230,256,1
35,0.8349421820010055,-3.172809280198587,-2.2827897699891975,0.16114999930004403,1,0,162,75,251,141,1
25,0.8346740405563935,-3.5445413870491804,-1.0,0.07323949236147925,1,0,256,79,149,256,1
36,0.8334338863750629,-2.897731744075398,-4.4641515009939585,0.04615394317847879,4,1,221,255,53,220,1
49,0.8320596614714262,-3.587489442438672,-1.0,0.16548869566670535,0,2,256,229,13,140,1
41,0.8282218870454165,-2.147749501819417,-3.3667894612793816,0.01545826568883566,3,3,8,147,6,243,1
7,0.827920227920228,-3.4110362929580385,-2.5658811195441893,0.2839605538715856,0,0,170,0,236,247,1
16,0.8264370705547177,-2.3869520082054674,-1.6117330896323416,0.07473363908228048,2,2,153,247,48,247,1
48,0.8249203955086308,-4.0,-2.9901895626022887,0.023224053219317458,0,3,256,256,78,249,1
3,0.8247528071057484,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
6,0.822674710910005,-1.2971778333154917,-4.888112410898564,0.5957929864620994,3,0,145,84,222,112,1
43,0.822205463381934,-4.0,-4.944498181046396,0.0,3,2,56,60,256,139,1
29,0.8214177978883862,-2.853951032638389,-1.0,0.6996915954666776,1,0,256,248,243,0,1
15,0.8213004860063684,-0.3,-4.779231876665143,0.08878040164085094,2,1,8,145,256,256,0
4,0.8210323445617564,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
13,0.8207474442768561,-3.406685064178907,-4.054568938853333,0.09727935868625963,4,3,256,48,256,47,1
31,0.8202446790682085,-0.8783081750550852,-3.558335627587141,0.09273466285873969,3,2,182,0,62,217,1
34,0.8196581196581196,-3.889485265757577,-4.895810354399098,0.29981064582717026,4,2,22,0,34,0,1
37,0.8189207306854366,-4.0,-1.2910636306529741,0.35004404530415995,1,2,161,179,236,236,1
38,0.8186358304005363,-3.8522476015528913,-3.245527028205932,0.25361418233872424,1,0,256,209,212,0,1
33,0.817613541142953,-2.3069149979065884,-5.0,0.29276673992247215,3,3,117,227,12,205,0
42,0.8173118820177643,-4.0,-5.0,0.7,0,0,115,0,256,0,1
32,0.8161806602983075,-2.138435459745149,-2.8636866229337237,0.7,4,2,8,227,144,15,1
14,0.8159879336349924,-1.5380026474974193,-4.857753751376979,0.4447382186586892,2,1,256,168,46,256,0
26,0.8157197921903805,-3.6921134694256814,-1.0,0.0,3,0,36,9,43,256,1
17,0.8153510977040388,-4.0,-5.0,0.7,0,0,135,0,256,256,1
23,0.8149824032176973,-0.3443034531839433,-5.0,0.6604283447104383,2,2,228,146,70,159,1
21,0.8149488855371209,-1.9978579803929892,-4.284022092874922,0.43512200526526384,4,3,191,164,59,207,0
50,0.8148315736551031,-2.5064690030413623,-1.0,0.2916434355234101,4,0,8,100,49,170,1
47,0.8146472264119323,-0.8108991570782553,-1.0,0.1612991606836971,4,1,256,0,240,253,1
39,0.8143874643874643,-0.70496614453445,-5.0,0.5160813260075923,4,1,8,234,216,166,1
40,0.814228255404726,-0.759580598832919,-4.635219748638825,0.3088733672352915,2,3,8,179,83,256,1
24,0.8123177476118653,-2.2249008342731242,-5.0,0.014350192649883645,4,2,99,136,200,0,0
1,0.8119993296463885,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
22,0.8095357801240154,-0.9684733646913775,-1.0,0.0,1,0,256,135,170,187,1
2,0.8087481146304675,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
20,0.8082118317412436,-1.5544225378756056,-1.557899187650674,0.2970015749116416,4,3,188,47,148,6,0
28,0.8072817161052455,-3.406198615043294,-5.0,0.48603478751045814,2,3,256,249,208,127,0
46,0.8035361153008211,-4.0,-1.0,0.23888549702632605,0,1,256,150,248,256,1
10,0.8021116138763198,-4.0,-1.0,0.0,0,0,8,0,0,256,0
5,0.8010893246187365,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
18,0.8007038712921066,-3.8643054269538277,-3.723220911222815,0.24285790514094643,0,0,8,63,226,0,0
8,0.7996145466733702,-1.784430021101306,-1.0444733376454707,0.0,2,3,183,256,256,149,1
11,0.797536450477627,-4.0,-1.0,0.0,0,0,75,0,0,256,0
19,0.7723646723646723,-1.1418453953204866,-2.161320119395261,0.08729935243045124,4,2,204,234,153,170,0
27,0.7285738226914696,-1.1867454834536684,-5.0,0.59163039857785,3,0,8,79,99,128,0
30,0.7049019607843137,-0.41599979738137094,-1.8747990036571753,0.4517013749647418,2,2,8,209,90,69,1
12,0.668015753309871,-2.3847326702004468,-3.419147956653674,0.6470756843429766,1,1,8,151,256,4,0
9,0.5225657784481313,-4.0,-1.9678473882799254,0.6376338147183505,1,1,256,0,24,212,1
