trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
23,0.9340438698125132,-4.0,-5.0,0.7,4,0,8,129,256,256,0
46,0.9330893195702549,-2.881941308341512,-3.173192431882626,0.0,2,3,187,0,0,247,0
12,0.9327601643143039,-1.3489105394964556,-1.0,0.25362374039619734,1,3,78,20,226,219,1
7,0.9325890035812092,-0.8621512108788116,-2.0015674824288543,0.1245020377226174,0,2,8,27,186,248,1
48,0.9320491889614493,-0.3,-1.1301357592898906,0.5107390092538178,0,1,154,148,0,7,1
35,0.9314962081314515,-1.123748903909477,-3.159646754592704,0.32798973088198186,0,3,256,0,35,16,0
34,0.9314567095007373,-4.0,-3.7509340584096487,0.4263297876146273,1,2,123,149,0,88,0
32,0.9312987149778809,-2.440672713287585,-1.0,0.0,1,2,256,0,0,256,0
50,0.9310090583526438,-1.7933757019181948,-1.1582550812576624,0.6967594818334578,0,0,152,80,256,164,1
3,0.9306996524120498,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
41,0.9305482409943122,-1.6305600296328575,-1.864069029415007,0.7,2,3,8,0,228,73,0
2,0.9302454181588372,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
49,0.930192753317885,-3.3744422752057024,-4.2228603849966895,0.348305617315121,1,3,256,126,0,256,0
28,0.9297714345902676,-1.8355509725155734,-1.0,0.0,4,0,8,30,256,140,0
5,0.9294817779650305,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
47,0.9293106172319359,-2.9857471170836076,-1.9564090734211108,0.7,0,1,88,249,0,125,1
30,0.9292842848114599,-3.7624200308564144,-5.0,0.11602531155069085,3,0,256,0,105,7,0
10,0.9285074784074152,-3.9737577340121804,-4.121757449051286,0.3098391081528644,1,2,49,0,239,175,0
22,0.927849167895513,-4.0,-1.0,0.7,2,2,8,176,0,202,1
36,0.9275924267958712,-0.6818570778703137,-1.6873547289681192,0.0,3,3,8,256,126,5,0
16,0.9274475984832525,-4.0,-1.0,0.15298758463794473,3,1,38,207,220,256,0
18,0.9270262797556352,-1.9163022526083529,-1.0,0.7,0,3,250,48,20,256,0
37,0.9268748683378976,-2.2277980050415858,-2.3278812870673384,0.7,4,1,8,256,10,206,1
25,0.9268156203918264,-1.2448317152723276,-1.0,0.6222157210114547,0,0,8,50,256,95,1
26,0.9255582473140931,-4.0,-5.0,0.7,4,3,8,229,0,0,1
8,0.925235675163261,-3.5321643582441595,-3.7472159473488738,5.5038033460630416e-05,3,1,133,84,226,8,0
39,0.9252159258479038,-2.2333301099634246,-2.324606079407978,0.0,3,3,8,256,191,256,0
38,0.9248341057510008,-2.599424657858243,-3.2449611110685304,0.34146617446057537,1,3,8,256,101,222,0
24,0.924649778807668,-2.320399828371068,-5.0,0.4146170890769371,4,0,8,132,256,240,0
40,0.9245576153360017,-3.669887843678193,-2.0803393545214335,0.0,4,3,256,6,52,70,1
20,0.9242547925005267,-4.0,-1.0,0.020966880326566358,0,1,256,121,0,256,0
44,0.9232278281019591,-1.3440913282911704,-4.724267981207295,0.44623066718153076,0,2,256,256,256,256,1
42,0.9221350326522014,-1.2281621670215945,-2.8605658054860257,0.3795786300064405,4,3,8,113,256,256,1
17,0.9221087002317253,-2.7609658969911894,-1.0,0.7,0,3,8,167,256,0,0
21,0.9215557194017274,-0.3,-1.0,0.0,0,3,256,47,256,256,0
1,0.9215557194017274,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
6,0.9204826732673268,-2.969776231231709,-1.6292201598635208,0.7,2,1,17,226,72,98,0
19,0.9204497577417315,-3.7210313541066706,-5.0,0.7,4,3,8,0,177,0,0
9,0.919686117547925,-1.1236100978684775,-4.286944977577381,0.03256185295929895,0,1,256,153,255,182,0
27,0.9181983357910259,-3.0026583371794255,-5.0,0.7,4,0,8,203,256,0,1
31,0.9175136928586476,-1.4022069030520123,-4.613594981379178,0.4307758992870414,1,0,8,256,161,156,1
15,0.9174215293869813,-4.0,-3.609828552326369,0.0,2,3,8,34,256,25,1
14,0.8877053928797135,-4.0,-1.0,0.0,0,0,8,256,256,256,0
4,0.8865994312197177,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
33,0.8766655255951127,-2.055550207736513,-1.0,0.2715617388917937,1,0,256,0,254,61,0
11,0.8375289656625238,-3.354081212190988,-4.7424437411947515,0.0,1,0,204,256,49,225,1
43,0.6820096903307353,-0.8481437433650063,-2.3412018235094374,0.0,4,2,256,0,39,55,0
13,0.5,-0.3831909756331098,-5.0,0.7,4,0,152,247,74,96,0
29,0.5,-0.3,-1.0,0.7,0,3,8,137,256,256,0
45,0.5,-1.1273819126156757,-1.1629918827486603,0.08382467548534756,0,2,8,256,49,220,0
