trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
37,0.9148014535496103,-0.37489377091879117,-5.0,0.006786435556919052,4,3,118,83,86,212,0
6,0.9120299662945018,-3.899174955781984,-3.9078446684550094,0.3672151615710501,4,2,211,55,234,117,0
48,0.9053349483884559,-0.3,-3.226780690997913,0.3913876486593441,3,3,136,50,256,143,1
5,0.9035180113756056,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
8,0.9016879081525173,-1.1509228250312082,-3.963807501478021,0.0,1,3,102,66,35,17,0
22,0.9002922898672846,-4.0,-3.8728871636167685,0.5475045750524425,4,0,172,138,221,249,1
44,0.8982120286496735,-3.125152813408688,-2.680701481565493,0.4127333362605073,1,1,155,180,199,223,1
11,0.8852696439856752,-4.0,-5.0,0.0,4,3,256,0,256,0,0
50,0.8783837160311776,-0.3,-2.569670842677197,0.39810288452836234,4,3,92,86,82,256,1
38,0.878238887718559,-4.0,-1.6279023691721748,0.23174325213945224,4,0,102,26,199,174,1
24,0.8731830629871496,-1.529877129387415,-1.3623961121876387,0.288009314590401,2,3,253,145,100,195,1
18,0.8710106382978724,-2.413754551675308,-2.880407373238149,0.7,4,0,223,31,241,163,1
35,0.8666921213397936,-3.394723988374245,-5.0,0.43897202845573746,4,3,251,105,205,158,0
45,0.8664682957657468,-3.9514894507151475,-3.8751428995824564,0.4142504425729269,4,1,231,25,256,174,0
20,0.865967979776701,-3.569034769346148,-3.886028636107636,0.3010893964848042,0,0,209,79,170,250,1
1,0.8634532336212345,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
12,0.8634269012007583,-2.8619221447216736,-5.0,0.201762322335748,3,3,247,224,164,231,0
31,0.8626632610069517,-2.1486949383401903,-4.579069050661312,0.07869986917491807,1,2,256,93,191,177,0
3,0.8614914682957657,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
30,0.8568306298714978,-2.476806307621386,-4.904144671606238,0.3459383172565269,3,3,77,163,99,209,0
23,0.8559484937855488,-1.271557829293961,-2.6447023550094113,0.7,3,1,67,195,0,256,1
46,0.8549017800716242,-3.3329489893021793,-1.6700794382574053,0.19694075730630112,3,2,248,127,33,137,1
19,0.8529070992205604,-0.5057145879550284,-4.441556618066118,0.3908477556799589,4,0,53,106,235,235,1
16,0.8523936170212766,-4.0,-4.328477482921372,0.0,2,0,256,0,256,256,0
26,0.8514983147250895,-1.7612722248949089,-2.5438476821178226,0.21338590729147747,0,3,256,0,0,256,0
36,0.8512086580998526,-2.4156048917662307,-2.939922624015627,0.0,3,1,211,256,0,117,0
33,0.8506293448493786,-2.858964174309023,-5.0,0.0,4,3,213,256,200,167,0
17,0.8500763640193806,-2.2020846779287053,-2.6123356920181346,0.24635463186423798,4,2,193,163,256,0,0
13,0.8442700653044027,-2.636776384278895,-5.0,0.0,4,3,167,0,253,0,0
27,0.8383716031177586,-0.3,-4.5054856237756,0.0,2,3,161,0,0,0,0
21,0.8287207710132716,-3.433127314446815,-2.3624400492376942,0.10084377996678039,0,3,54,239,231,49,1
29,0.8260480303349484,-0.6797952831366096,-4.4846659213951545,0.24755532087766632,4,2,229,240,229,256,1
47,0.8218480092690119,-4.0,-1.7340430496399546,0.4015956302212197,3,1,200,28,174,143,1
14,0.8163840320202232,-4.0,-5.0,0.0,4,3,256,175,49,0,0
34,0.8135664630292817,-3.844744295043698,-5.0,0.5932296660734502,4,2,123,239,72,179,0
2,0.8119470191700021,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
43,0.7590583526437751,-3.5338801287262025,-3.9314931226130536,0.49708486562147886,3,1,116,49,89,48,0
7,0.7390786286075416,-2.0077878819184436,-1.076642073651763,0.09591817923077464,0,0,99,0,101,119,0
4,0.7211528333684433,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
40,0.5,-1.2977662842828734,-1.0,0.0,3,1,168,0,22,53,0
10,0.5,-0.3,-5.0,0.7,0,3,95,256,256,0,0
15,0.5,-0.3,-3.6653503896602517,0.7,0,2,256,0,136,5,0
49,0.5,-0.3,-4.549857444322664,0.1458610726317027,1,2,66,0,26,58,0
42,0.5,-0.7073310695265427,-1.6188833590221408,0.1410418370223236,2,1,256,118,219,211,0
25,0.5,-0.3,-4.053481048024355,0.0,3,0,8,63,249,111,0
39,0.5,-0.3,-1.9607708523891088,0.04601521368867057,0,1,25,120,51,151,0
28,0.4327338318938277,-4.0,-1.2927279071685844,0.23627487250133133,0,0,256,15,139,256,0
9,0.21695939540762588,-3.9486285351564363,-1.7677740542337337,0.7,2,1,9,64,117,13,0
41,0.20424083631767434,-3.1378826696783206,-3.224551477315604,0.3342311823524672,2,1,199,39,91,158,0
32,0.15796160733094586,-2.46808116720577,-1.181347461897392,0.12675219255152545,2,3,8,247,137,132,0
