trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
19,0.6556107395751377,-3.1605582329438313,-3.6975628200505146,0.05387785699959808,1,2,8,123,55,0,1
31,0.6506687647521637,-3.037205171758747,-3.6512275475608713,0.0861024784331352,0,2,8,68,31,45,1
37,0.6495869394177813,-2.7791423868854026,-5.0,0.041944304390097865,2,3,8,74,256,154,1
40,0.6463660503540518,-3.508288956276425,-4.317918110236663,0.0,0,3,8,196,256,0,1
45,0.6413749016522423,-2.7049916885318734,-4.133693426054138,0.3384912062136204,2,2,54,222,99,0,1
32,0.6410306845003934,-3.642812645490598,-3.826369704053178,0.09515093969780081,1,2,8,8,80,154,1
22,0.6397029897718333,-4.0,-3.9537529289914133,0.07612769806777736,1,2,64,62,18,101,1
43,0.6391866640440598,-1.3666183958578793,-3.6654110848308403,0.0,4,2,22,50,0,0,1
35,0.6350314712824547,-1.7134563102929437,-5.0,0.1489977842164076,4,3,8,69,256,0,1
38,0.6324498426435878,-2.3402539604204606,-3.768107927265948,0.49589949898900015,1,2,69,173,0,0,1
47,0.6245328481510621,-2.9965993754873805,-5.0,4.8572257327350596e-18,4,3,256,145,128,199,1
6,0.6244836742722266,-4.0,-3.2016181743576713,0.11672556063983491,2,2,8,19,63,209,1
49,0.6205005900865459,-2.2824017210596015,-5.0,0.0,2,2,216,121,256,242,1
29,0.6182877655389458,-4.0,-3.6945113179645857,0.0,1,2,60,22,76,121,1
33,0.611059205350118,-0.35500062545130406,-4.4068770770462455,0.16400167439323848,0,3,69,91,134,17,1
10,0.6096577498033046,-3.8458289786531545,-3.225662680997128,0.6697880968260003,2,2,39,0,4,132,1
30,0.6095102281667978,-0.5259481693997783,-3.46843480667933,0.07621949812686721,1,3,8,164,21,71,1
34,0.6088463808025177,-3.398579524294519,-4.867889365258222,0.0,3,2,68,123,145,13,1
25,0.6046174272226594,-2.7113545838697233,-3.7646195418873405,0.09597436524451007,0,2,185,230,40,151,1
42,0.6007818646734855,-1.4767314986062643,-3.1631572686355307,0.07489356803859544,2,2,70,112,27,88,1
14,0.5992328874901653,-0.42017896846361147,-3.635884302715364,0.04712347211903495,3,1,8,188,39,81,1
27,0.5990361919748229,-3.011795039365378,-4.574804728456378,0.022332406868071884,0,2,8,152,43,167,1
1,0.5986428009441384,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
48,0.5973888670338316,-3.114815758570579,-4.1003441872102355,0.0,1,2,63,256,256,149,1
20,0.5951760424862313,-1.8498960651289722,-4.203426123868673,0.24429459093849012,1,2,8,139,37,0,1
23,0.5938237608182533,-3.6551848713566963,-3.82778039397366,0.08107092410006281,1,3,99,122,125,92,1
24,0.5913896538158929,-1.424148053362892,-3.176294242584854,0.030601366831390652,0,2,216,63,42,17,1
50,0.5900619590873328,-1.588369470496993,-5.0,0.0,3,2,256,60,256,98,0
18,0.5899390243902439,-2.5732635306816114,-3.605176202598781,0.28150254538412,2,1,8,208,39,220,1
39,0.5835587136113297,-0.8613828400016756,-5.0,0.0,2,3,15,239,256,0,0
26,0.5807558025177026,-4.0,-3.7414287433768645,0.04463183360606267,3,2,135,77,17,11,1
13,0.5803992918961447,-0.48513437835932605,-4.285205840949701,0.40102627354638654,2,1,70,156,36,186,0
41,0.5759490558615263,-3.746727612821231,-3.6808460353706187,0.7,3,1,75,117,0,0,1
4,0.5757769472856019,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
7,0.5731215578284815,-2.5978811097583536,-4.940552665214253,0.0,3,1,8,9,70,0,0
15,0.5678353658536586,-4.0,-3.6541282976901615,0.32609494208700013,0,3,31,24,63,101,1
5,0.5638031077891423,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
44,0.5618115656963021,-1.206838088992264,-5.0,0.0,0,0,256,236,99,44,1
8,0.5534765932336743,-2.3113175186186066,-2.937182966540633,0.0,2,0,8,256,144,66,1
17,0.5514481707317073,-1.6870154026622406,-3.329945894940489,0.30192557950128857,4,2,8,160,201,180,0
3,0.5496656176239181,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
2,0.5469610542879623,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
16,0.5342741935483871,-4.0,-2.28783025602534,0.1481116425168062,3,1,8,125,5,235,0
36,0.5252016129032258,-0.3,-5.0,0.23575448838766963,4,0,8,95,173,115,1
28,0.5132277734067664,-3.371926738241984,-4.706249479670636,0.6800028228532888,3,2,8,50,0,54,1
11,0.5009097167584579,-2.8933487783923075,-2.6192673200285688,0.6693336223468798,2,2,8,70,243,192,1
12,0.5,-0.4692682578236904,-3.6709294594261737,0.6478904211605654,1,3,197,70,45,187,0
9,0.5,-0.437425811044847,-1.2631792370969195,0.6716066907667704,1,1,33,0,126,202,1
21,0.5,-0.726474062404006,-3.606725648197785,0.6600563989555734,3,2,8,144,71,0,0
46,0.5,-0.3316206726484223,-1.0,0.7,1,0,256,113,105,3,1
