trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
33,0.8542961344006741,-1.6563904418700357,-1.0,0.7,4,0,200,256,0,256,1
24,0.8536509900990099,-4.0,-5.0,0.33378786112107334,0,2,91,0,0,256,0
50,0.8531506741099641,-4.0,-2.888730772256091,0.20813556164738184,0,0,235,96,18,172,0
36,0.8530716768485359,-4.0,-3.2576325376634143,0.7,0,0,93,92,0,0,1
20,0.8522817042342532,-3.1381107582350394,-5.0,0.4890477881778279,0,1,94,0,0,256,1
37,0.8512218243100905,-0.35743780721831797,-1.8572576374556942,0.0,2,1,187,38,120,256,0
18,0.8509650832104487,-2.1636342286752113,-5.0,0.0992953150973154,0,2,13,0,0,256,1
19,0.8508597535285444,-1.1016216671877848,-5.0,0.7,4,0,8,0,0,256,1
9,0.8496484621866442,-2.2031141781028856,-4.9694932064451285,0.6459632129247378,4,1,194,80,28,46,1
4,0.8489638192542659,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
39,0.8471863808721297,-0.3,-1.0,0.0,4,0,256,0,0,0,1
5,0.8470942174004634,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
49,0.8467321466189172,-0.5791653292053711,-5.0,0.0,0,0,139,0,3,3,0
3,0.846672898672846,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
2,0.8463569096271328,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
38,0.8459685064251107,-4.0,-2.4388513997484207,0.0,3,1,53,256,256,92,0
12,0.8447374657678534,-2.689436714055889,-2.9840441875747796,0.6374254761725145,4,0,256,219,125,124,1
22,0.8447242995576153,-4.0,-1.0,0.7,3,0,73,200,0,256,0
1,0.8445136401938067,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
8,0.8443951443016643,-2.9725245932459203,-2.416115114079763,0.3675641033273143,4,0,207,98,0,206,0
25,0.8431180219085738,-2.542511423132082,-5.0,0.7,4,0,8,154,0,256,1
21,0.8420383926690541,-1.0757232334554168,-5.0,0.0,0,1,256,0,256,256,1
13,0.8410509269012008,-0.3,-1.4291470013097793,0.19190528707983823,0,0,68,42,207,256,0
28,0.8397343058773962,-0.3,-1.0,0.7,0,0,253,256,0,0,1
47,0.8384242679587108,-1.4463349426809464,-1.8729661772154356,0.39130932510479527,2,1,49,38,123,256,0
10,0.8374763008215714,-3.797661118290156,-2.0850328556971784,0.6873931709817381,1,3,69,234,256,144,0
29,0.8354289551295556,-0.3,-1.0,0.7,4,2,102,185,0,0,1
7,0.834981303981462,-3.4768834195395617,-1.6868719022831686,0.13321458481927312,4,3,205,9,132,203,1
32,0.8342308299978934,-4.0,-4.5997422769134175,0.0,0,3,196,130,256,256,0
46,0.8338490099009901,-3.230654300771677,-4.980377691290948,0.36617527347854123,3,3,17,154,0,58,0
43,0.8329800400252793,-1.7069016725320934,-1.0,0.55359035057462,2,0,188,33,18,146,0
14,0.8319794080471876,-4.0,-2.9646137774732124,0.1284479716174385,4,1,168,153,75,241,1
34,0.8319201601011166,-1.6121425147668038,-5.0,0.7,0,1,50,74,256,256,0
26,0.8318674952601643,-3.066916837280102,-2.478898450021624,0.49238119904399663,3,1,256,14,172,96,0
11,0.8312157678533811,-3.3081866505650614,-4.742338794076686,0.501712477638065,3,3,210,66,35,200,0
31,0.8305442911312407,-2.10996486941817,-3.258785165812931,0.05481755685991046,2,2,67,63,34,113,1
30,0.8286944385927955,-3.454924030152944,-4.78902109810408,0.5854277661733379,2,1,15,256,43,57,1
15,0.8281677901832736,-3.026798906603263,-1.0,0.42975643316436957,4,0,213,16,125,0,0
48,0.8265680956393511,-2.8303266267456704,-2.530326104565731,0.16800579519430472,0,1,166,116,67,134,0
35,0.8265549294291132,-0.3,-5.0,0.0,0,3,256,0,256,256,0
16,0.8255279650305456,-2.939801656959566,-5.0,0.1405729101389429,3,3,256,224,210,35,1
23,0.8208539603960395,-4.0,-5.0,0.0,0,0,256,256,0,256,1
6,0.8195768380029492,-1.8711850079692423,-4.81718070144565,0.2531745195227684,0,3,233,23,203,192,1
41,0.8119601853802401,-4.0,-4.8730605359029,0.5453643793076374,4,1,111,0,134,207,0
17,0.5,-0.41957154996422297,-2.3093287267742078,0.009048354744420586,3,3,80,236,152,85,0
27,0.5,-1.7494715462333925,-3.087827224873445,0.7,3,2,256,256,115,6,0
42,0.5,-0.7705513378951947,-2.951227537563459,0.11968398791997233,2,0,208,214,101,256,0
40,0.5,-0.3,-2.4003303431007197,0.0,4,3,256,79,0,176,0
45,0.5,-1.347931468878678,-4.946920811928322,0.333306870916553,0,2,225,80,52,46,0
44,0.5,-0.37181356613568406,-1.0,0.0,1,0,8,39,250,247,0
