trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
23,0.8618667052875499,-1.5954830810872385,-2.9140601895699625,0.2827703323293756,0,1,35,9,68,185,1
40,0.8613663892985044,-0.6752158869889398,-4.357227761782174,0.5724405028948908,1,1,66,71,165,117,1
17,0.8599444385927955,-1.1703635125635983,-2.924086782087772,0.16008154149744708,3,2,145,13,222,177,1
36,0.8592663787655361,-1.138973082807067,-3.6726297793121017,0.5743466859444306,2,0,135,165,255,59,1
21,0.8578641773751843,-1.2247391139296786,-3.8709679231426017,0.0569732963045086,3,2,183,109,216,152,1
14,0.8578115125342322,-1.5074725818742118,-2.838085622545307,0.616211985675413,2,2,70,107,218,92,1
27,0.857732515272804,-2.4990381057414863,-4.873147446309337,0.5349964550936314,1,2,195,243,226,49,1
10,0.8576140193806614,-1.5317069474723088,-2.4835929815493656,0.1947295669508837,4,3,36,0,118,256,1
41,0.8570347061301875,-2.0735213302007507,-2.9163581665664022,0.03774483209768889,1,1,158,119,119,117,1
3,0.8567318832947124,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
4,0.8562052348851906,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
46,0.8559945755213819,-2.134300919921233,-1.0,0.4428879453289697,1,2,126,256,250,249,1
16,0.855704918896145,-1.2317182328500875,-3.7536826204114693,0.28302703297401177,4,2,95,149,100,106,1
34,0.8549017800716241,-1.8573133437159646,-1.621440504500749,0.5591519032819648,1,0,127,208,16,35,1
22,0.8547174531282915,-0.6113311728626551,-4.944357271881814,0.6727852975186908,1,2,77,241,187,245,1
25,0.8530716768485358,-1.9734198140573405,-3.354395803469313,0.5536439673651506,3,3,29,213,70,136,1
1,0.8528478512744893,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
12,0.8526371919106804,-2.821737957913499,-2.2673140315928255,0.20839105515618359,2,2,255,127,53,189,0
15,0.8512547398356857,-1.7534758866825868,-2.122542907846941,0.2489767222156921,3,3,170,232,125,239,0
49,0.8501619443859278,-3.041828051500934,-1.0177131766623138,0.11733153529338196,1,1,89,60,50,141,1
29,0.8497011270275963,-2.4309561898894168,-3.867972305202252,0.6655495325595157,4,1,37,83,174,169,1
42,0.849556298714978,-1.9913233500501746,-2.503724882285688,0.5195359952909026,4,3,68,83,211,76,0
30,0.8488453233621235,-2.441699527878219,-2.6831669238228444,0.5954917613868405,4,3,208,256,248,242,0
45,0.8463174109964187,-0.7617015966779821,-4.6031620144644,0.21094384189787208,3,2,189,256,200,187,1
20,0.8460935854223721,-1.3134878932122795,-3.931286807895156,0.7,4,3,190,256,165,222,0
2,0.8459224246892775,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
7,0.8448691278702338,-0.6064445914620387,-3.7189834220931015,0.35364096519392546,1,3,162,256,163,141,0
37,0.8442963977248789,-1.268185563199327,-2.8439271354514077,0.20048420269774325,3,3,90,141,216,108,0
33,0.8438948283126184,-2.447654398539588,-2.3786619578381134,0.3944689844998428,3,1,24,94,14,150,1
18,0.8424860438171476,-2.1212211650577917,-2.0078968652843945,0.11572779862182457,1,2,239,184,8,135,0
31,0.8409455972192964,-3.726748574105226,-5.0,0.7,0,0,8,6,0,216,1
6,0.8407283547503686,-1.8278475706947006,-1.1230375698524009,0.08170738828752994,1,0,153,256,203,67,1
35,0.8397145565620392,-1.8970467449230717,-1.0174419794421028,0.2748551049995852,3,2,162,216,237,224,1
44,0.838483515904782,-2.023170613283067,-3.2745778066669953,0.0,3,3,68,125,8,256,1
43,0.8350603012428901,-3.63226935629578,-1.0222784102369014,0.47430871229196053,1,2,239,40,0,231,0
5,0.8311170212765958,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
39,0.8276938066147039,-1.3957382229639235,-2.9261529699875903,0.4175144159314626,1,0,28,23,14,108,0
50,0.8275687276174425,-4.0,-1.0,0.7,4,3,107,0,149,256,0
19,0.8231119654518643,-0.49588037196498647,-4.280490737490812,0.47399745093200807,1,3,204,256,228,198,0
24,0.822117916578892,-3.0023142981884785,-1.3758215790330959,0.14223417485944348,2,3,78,79,21,232,0
38,0.8205116389298504,-1.1460879941908781,-4.5565989466202685,0.655424860825556,3,0,144,212,138,31,0
26,0.8168843480092689,-4.0,-1.0,0.41876631253058627,3,3,8,0,0,216,0
28,0.7039709290077943,-0.4555643973429957,-2.707209951870741,0.15231258928466895,1,2,235,39,256,180,1
13,0.5,-1.0237438656534037,-2.1523429650833226,0.09016035827429288,1,2,111,233,78,256,0
8,0.5,-1.7344323075486239,-1.085609794159431,0.03399918831992322,0,0,143,0,238,9,0
9,0.5,-0.3,-5.0,0.7,0,3,8,256,256,256,0
11,0.5,-0.30607820856377854,-4.823575819716448,0.6518857698872202,3,3,219,236,122,7,0
32,0.5,-1.5211637608949298,-4.651478041314298,0.5414708847129478,2,2,256,168,226,191,0
48,0.5,-0.9302869203062389,-4.151239318162771,0.5677867168301229,4,0,116,228,244,168,0
47,0.5,-0.5000065303981112,-5.0,0.7,4,0,166,256,29,46,0
