trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
17,0.6308271046420142,-3.806059950967757,-5.0,0.49552583118906157,3,2,84,83,0,66,1
41,0.6295239968528717,-3.8352866905474716,-4.799434332762479,0.7,4,2,70,123,0,0,1
1,0.6287863886703384,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
19,0.6270653029110935,-0.8967902347274017,-5.0,0.7,2,1,239,195,41,52,1
40,0.6256023800157356,-1.8086100865458543,-2.7717628307673206,0.1996182249409354,3,1,45,0,71,11,1
43,0.6227380015735641,-2.2590477378448703,-1.8652009449313254,0.6001338344856414,2,3,43,22,218,45,1
29,0.6205989378442173,-3.497878822066509,-4.032480062684687,0.7,2,2,92,216,0,256,1
27,0.6199842643587726,-0.8306033925268035,-5.0,0.7,0,1,168,119,233,0,1
32,0.6159765932336743,-2.622719890099055,-4.48912037256015,0.7,1,1,25,81,2,0,1
7,0.6153619197482297,-1.8287985737902117,-1.3470682981936162,0.3358623412401216,3,1,12,148,86,0,1
2,0.612632769472856,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
48,0.6091660110149488,-0.44771942253679287,-4.098949023908139,0.0,1,1,137,40,54,0,0
34,0.6085021636506688,-3.686304146147482,-1.6137746934621524,0.0,2,3,256,128,0,256,0
49,0.6082808811959086,-3.9105215452940203,-4.549103348827956,0.7,2,3,165,17,158,256,1
13,0.6060803501180173,-2.2162913839249976,-2.4856190743689734,0.7,1,1,152,242,50,100,0
50,0.605330448465775,-3.3390441490107876,-2.834997927964169,0.7,2,3,18,76,202,256,1
20,0.6048387096774194,-4.0,-4.192384752880647,0.7,0,2,8,0,103,44,1
11,0.6048387096774194,-2.876073168774636,-3.0179639056780694,0.7,2,0,25,200,224,0,1
18,0.6042240361919748,-1.731257654699161,-5.0,0.14233017229995518,2,1,35,147,0,112,1
25,0.6040888080251771,-4.0,-5.0,0.7,1,1,256,0,11,0,1
3,0.6030930369787568,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
46,0.6029823957513769,-1.8102513843242583,-1.2305478280367543,0.7,4,2,148,26,3,256,1
12,0.6026012981904013,-0.3,-2.6821261778359786,0.03529235745676971,3,1,122,256,32,71,1
21,0.6021095594020456,-0.3,-5.0,0.5056880082765376,2,0,256,0,0,38,1
5,0.6014702989771833,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
16,0.6012736034618412,-3.436547753626997,-1.0,0.3427415529651233,4,3,8,179,100,30,1
45,0.6006835169158143,-3.816039341586121,-4.193162313750121,0.0,1,3,203,220,99,256,0
28,0.600609756097561,-3.1409348391474765,-5.0,0.24999425242649906,4,2,253,96,63,66,1
15,0.6004622344610542,-1.381001675901182,-2.2592348518351932,0.0,1,0,168,0,0,8,1
38,0.5996631589299763,-3.796823496573219,-1.5075438400217989,0.10463274611883329,4,1,189,213,182,237,1
39,0.599478756884343,-0.8728434368621922,-3.999181186493261,0.7,1,2,149,250,71,0,1
42,0.5992943548387097,-1.0895090996450287,-2.590554624662401,0.5328572506885475,1,1,100,190,230,23,0
9,0.5988763768686074,-3.3921102712115703,-2.644585823175764,0.0,2,3,226,41,46,74,0
33,0.5987042682926829,-2.3215199728658193,-2.412219810919205,0.12529654657856656,0,1,72,152,150,227,0
14,0.5983477576711251,-0.3,-5.0,0.7,3,0,8,256,77,0,1
4,0.5980773013375296,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
47,0.5972905192761605,-1.5586731057501026,-3.9804890814999894,0.0,0,0,55,25,175,0,1
23,0.5963562155782848,-4.0,-5.0,0.45803844973133473,1,1,30,0,223,119,0
22,0.5953481510621557,-4.0,-1.2946442534456475,0.7,3,0,153,9,0,80,1
24,0.5924468922108576,-4.0,-5.0,0.49335224926867083,1,3,33,128,43,83,1
35,0.5902586546026751,-0.3,-5.0,0.2877412628433943,3,0,156,256,0,100,1
44,0.5894472856018883,-3.7278424134995243,-4.139236010732503,0.4583573909543397,3,3,43,65,0,0,1
37,0.5744738394964596,-0.3,-5.0,0.7,0,0,206,137,138,175,1
8,0.5484608575924469,-0.47955994442626393,-1.4986123364952788,0.03731264767350249,2,1,181,71,246,42,0
10,0.5364378442171518,-0.9116595991580292,-4.046932101456337,0.0,1,3,10,187,256,205,1
30,0.501008064516129,-0.7037821861861255,-4.4916267191463835,0.3998223041590112,3,3,109,19,227,43,0
6,0.5,-0.4207817225558612,-4.804712009309905,0.7,2,2,146,148,114,251,0
31,0.5,-2.072724196177446,-1.0,0.23318609268430582,4,0,136,43,62,76,0
36,0.5,-2.7737709972307583,-2.2404221260931565,0.7,0,0,124,156,138,82,0
26,0.4323736231313926,-1.329886418656939,-1.1670611518546892,0.7,2,2,208,211,0,39,0
