trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
43,0.8319591084296967,-0.6381475405112189,-4.930802265569992,0.1802621658243643,4,1,233,10,39,50,1
27,0.8308195072900956,-2.832956416836403,-5.0,0.4277435563927335,4,0,256,0,0,0,1
36,0.8304843304843307,-2.314844767563636,-1.0,0.3518532841720601,3,3,256,256,0,70,1
3,0.8272163566281213,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
39,0.8242332830568124,-0.3,-5.0,0.6145608008673328,4,3,256,24,256,256,1
26,0.8241327300150829,-0.3,-3.113601618129701,0.0,4,3,256,0,143,0,1
44,0.8239651416122005,-1.2630924143029811,-5.0,0.1975950311028633,0,0,128,85,256,22,1
34,0.8232277526395174,-0.3,-5.0,0.241553710107975,4,3,256,0,0,53,1
41,0.8212166918049272,-0.7328652026078126,-4.968540360494066,0.4754735378807397,4,2,236,112,51,237,1
28,0.8206636500754148,-3.595776903350983,-1.0,0.4343914619775518,4,0,165,104,256,0,1
17,0.8205630970336852,-4.0,-5.0,0.0,0,1,256,0,99,256,1
25,0.8205295793531087,-0.3,-5.0,0.0,0,3,8,0,122,0,1
13,0.820412267471091,-4.0,-5.0,0.35425727338119695,0,0,256,0,190,0,1
21,0.820345232109938,-4.0,-5.0,0.7,0,0,256,0,256,0,1
40,0.8202279202279201,-2.5780022064890153,-1.0,0.38625012808860737,4,1,256,150,91,256,1
12,0.8200938495056143,-4.0,-3.9649390558942814,0.5984017762732469,0,0,256,247,256,0,1
1,0.819473772414949,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
29,0.8191553544494721,-0.3,-5.0,0.4229588203252828,0,3,194,256,256,256,1
47,0.8185687950393832,-0.3,-5.0,0.14165238485905052,4,2,256,218,246,24,1
33,0.8184095860566448,-0.3,-5.0,0.3033751523970223,4,0,256,256,256,256,1
19,0.8172616054968995,-0.3,-5.0,0.7,0,0,256,154,227,0,1
42,0.8166415284062343,-0.8306934687063059,-4.901062721133736,0.14467604502935305,0,1,133,1,153,23,0
18,0.8163398692810457,-0.5920008369724785,-1.0,0.6512787790473065,2,0,256,246,111,0,1
14,0.8153846153846154,-1.4405340522753374,-5.0,0.7,0,2,8,23,231,256,1
46,0.8145466733702028,-0.3,-1.0,0.1971413346345796,4,3,256,256,256,256,1
4,0.8139265962795375,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
10,0.8135243841126194,-3.8123023668177054,-5.0,0.7,0,0,256,153,178,0,1
38,0.813239483827719,-0.3,-1.0,0.28622265508083333,4,2,256,0,0,91,1
49,0.8126194067370538,-0.7991272822534112,-4.855164369295913,0.4187767310266635,4,1,54,95,33,202,0
37,0.8116473940003351,-4.0,-1.0,0.49919749069933256,1,3,256,256,0,0,1
35,0.810373722138428,-2.8088953809975585,-5.0,0.17810102459346697,4,2,8,0,0,54,0
31,0.8102899279369868,-2.428570870187296,-5.0,0.3638681767106415,0,3,8,0,0,0,1
11,0.8096195743254566,-0.3,-5.0,0.7,4,0,8,0,256,256,1
48,0.8091000502765209,-2.608283271917261,-5.0,0.6999999999999998,0,3,256,88,256,203,0
2,0.8088319088319087,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
16,0.8080945198592258,-1.8840424915594385,-5.0,0.015301841785425438,0,0,23,256,44,256,1
24,0.8079436902966315,-4.0,-5.0,0.0,0,3,256,0,0,0,1
22,0.8067370537958773,-2.610971514662534,-1.0,0.0,3,0,49,256,143,0,1
20,0.8056142114965643,-0.3,-5.0,0.7,4,0,8,0,0,0,1
5,0.8022289257583377,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
15,0.8019440254734373,-3.6807905056723995,-5.0,0.25681191384095187,1,2,57,234,63,131,0
32,0.7948382771912184,-2.7047216339709146,-1.0,0.22688198720465086,2,1,256,0,0,123,0
50,0.794603653427183,-1.840949081832977,-4.876200279516542,0.14772863821322543,1,0,230,53,149,9,1
30,0.7901458019105079,-3.523575169023968,-1.0,0.1996602211949955,4,1,64,0,256,201,0
23,0.7895005865594102,-4.0,-1.0,0.7,1,0,256,13,56,256,1
8,0.7772414948885538,-2.396408511912595,-1.0,0.046753130782623886,4,2,8,237,256,256,1
7,0.7430031841796547,-4.0,-1.0,0.0,4,0,8,256,0,256,0
9,0.5,-0.33235567107287967,-2.505439988580457,0.6473318511022182,1,3,212,80,235,239,0
6,0.5,-1.1253663726604946,-4.977520993908734,0.6982208390417263,0,2,238,17,254,15,0
45,0.5,-0.6856752466460061,-4.964230297196242,0.36639361559966066,4,0,134,66,196,183,0
