trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
23,0.6191601825404642,-1.1538456534049844,-4.874213658656272,0.5541077070977796,2,2,164,34,120,222,1
40,0.5942086082931154,-3.5411274188398627,-4.584105046738568,0.020946344169004077,3,0,255,209,149,165,1
10,0.590203224006041,-0.5028181403087957,-4.8148751486021455,0.09997712241012001,2,3,129,61,32,173,1
27,0.5861978397189664,-2.014423688362257,-4.3254817814432975,0.6149095784749818,2,2,163,147,78,237,1
30,0.5838011753504712,-1.7769745819896134,-4.997724792215919,0.620193211394196,2,2,221,44,204,91,1
3,0.5822581174693852,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
25,0.5804852424570734,-1.8272264130877915,-3.188065982543027,0.5946947668824734,2,1,185,86,108,74,1
11,0.5801897632883548,-2.8983781580708596,-5.0,0.3510105410434273,4,1,252,63,90,153,1
4,0.5795659739321711,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
28,0.5794674808759315,-1.270079861997187,-5.0,0.5586502632261574,2,1,168,1,230,185,1
21,0.5781542401260711,-1.6717109486327533,-4.849189969262449,0.4288757661809015,1,1,79,58,102,178,1
32,0.5727699530516431,-1.2659059188689015,-5.0,0.6264309172023224,3,3,235,151,135,217,1
35,0.5717521914705014,-1.244338698650969,-4.323390971847299,0.6141604478822056,1,2,128,18,123,255,1
1,0.5689287238583013,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
34,0.5637414228963524,-1.8982628415468548,-1.0189731694181727,0.6899194101909973,4,1,252,196,194,196,1
41,0.5620013789027873,-3.934657396331086,-4.816392504716137,0.08372668099926829,3,2,108,41,166,15,1
13,0.561082110377885,-1.986958203157633,-4.06834776093282,0.4123617355031405,0,1,8,51,186,256,1
33,0.5585541219344037,-0.9810366345604962,-2.06950206487681,0.06335306324474496,4,1,252,110,48,72,1
26,0.5572408811845432,-0.5064794682846245,-3.773394229679094,0.4702015174602055,2,1,148,203,121,122,1
39,0.5558948094159362,-3.875819569875865,-4.66228337218091,0.22160139728397418,1,3,251,214,103,157,1
2,0.5526445385600315,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
8,0.5502150431727896,-1.1675865338071318,-2.2663253679970086,0.00890203279191485,1,2,212,21,50,256,1
47,0.5501822121540431,-3.971576933658238,-1.2536129794187456,0.0995787103453342,4,2,56,143,134,68,1
29,0.5501493811352967,-0.9589046454271974,-2.02799152155762,0.5385259677989096,2,2,177,77,63,115,1
15,0.5492301126103942,-2.4990858008649406,-4.655733691382631,0.5643035341014558,1,1,58,0,233,38,1
5,0.5487376473291967,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
16,0.5480810269542663,-0.3,-5.0,0.21232276828939953,0,3,50,92,186,15,1
31,0.5475228996355757,-3.0970510240563556,-5.0,0.568997529596094,2,3,161,38,130,29,0
6,0.5474244065793361,-2.2700690777995263,-3.9363434452695714,0.3795868114434422,1,1,162,1,161,229,0
50,0.5473915755605896,-3.9771572139405293,-1.087154161358499,0.08382344310335511,3,2,251,87,213,203,1
24,0.5470632653731244,-0.5113497041268515,-4.919956622319262,0.058375847235444873,2,1,198,20,136,244,1
7,0.5470632653731244,-0.6547365031561432,-2.480796087582181,0.005081614428703486,4,3,30,187,255,183,0
43,0.5460126727732361,-1.2457685220461885,-4.734728084932716,0.011142105564420492,2,3,11,126,172,1,0
20,0.5446994320233757,-0.520228699397058,-3.668492097450221,0.16852253853737825,2,1,104,59,75,237,1
48,0.544403952854657,-3.8211722394809935,-4.5516468855089,0.6938342465345136,2,2,78,52,182,99,1
17,0.5420729505236548,-0.5394688129862679,-4.392369692780434,0.3604362541650353,1,2,183,99,20,160,1
14,0.5404970616238223,-0.3,-5.0,0.3409447838914416,1,1,208,256,31,191,1
37,0.5404970616238222,-3.762630933458318,-1.3839357180330252,0.6968218527424529,3,0,245,12,34,197,0
45,0.5399389343051315,-1.6369408440707542,-4.759129548248902,0.000658746754582977,4,0,252,40,167,159,1
19,0.5363931842805082,-1.4821918169913193,-4.755453274534017,0.023385088546004126,4,2,210,117,45,123,0
22,0.5324862930496733,-2.680586736080972,-4.83696041291576,0.5561704264926318,4,1,102,65,188,193,1
46,0.5260842443941036,-1.3696006860677397,-5.0,0.534530406892103,3,2,195,136,126,235,1
42,0.5214550707508454,-2.2623050243311287,-4.748753096498002,0.03740315684277932,2,2,255,194,122,63,1
9,0.5053022095275617,-3.6957898079595273,-3.806036023242469,0.6665348722341451,4,1,45,235,201,0,0
18,0.5,-0.5518410879777629,-5.0,0.6028151834552814,4,2,31,41,13,179,1
12,0.5,-0.3,-1.1029261126610064,0.0,2,3,62,91,101,127,1
36,0.5,-1.5473690768086534,-1.0691382526101694,0.6743741450665299,0,1,34,146,40,132,0
38,0.5,-0.37800706550768615,-1.3060490899675985,0.02106574859294828,0,3,254,231,192,64,0
44,0.5,-2.3065487377690084,-1.1529042877447742,0.042371198277004515,4,2,250,179,28,112,0
49,0.5,-1.160260678226857,-2.262457476980166,0.5615552648195652,4,2,234,18,129,256,0
