trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
17,0.9242679587107646,-1.5750656732486208,-1.0,0.5216626307001685,3,1,37,0,256,72,1
9,0.9212002317253002,-2.0184951464204883,-2.708531591469906,0.06364757832568757,0,1,125,145,32,47,0
31,0.9185669896776911,-0.9118269659362106,-1.738743216450155,0.564120453784634,0,1,8,49,11,50,0
42,0.918501158626501,-3.0679544034493578,-1.0,0.7,1,0,237,61,0,23,1
27,0.9179481777965031,-0.582798937349351,-3.8556071394437033,0.7,1,1,43,236,50,6,0
24,0.9178165156941227,-1.5904273691956732,-3.9900548530158138,0.452696468149662,0,1,171,153,0,8,0
11,0.9175400252791237,-1.2116094873642012,-2.671097472609717,0.6758012796535453,4,0,8,163,0,52,0
5,0.9169212133979355,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
40,0.9168158837160313,-1.5431374914499822,-1.9509369103227123,0.31433528214164314,4,1,148,0,17,82,0
35,0.9155519275331788,-1.5793053871681288,-1.436905741748637,0.09407547306134732,1,1,60,77,21,0,0
43,0.9153676005898461,-2.8191986378294716,-2.20701294483093,0.7,1,1,133,59,0,0,1
47,0.9148607014956815,-0.3,-5.0,0.7,1,0,209,73,75,0,1
1,0.9131030124289026,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
8,0.9129976827469981,-1.6729080883946277,-3.872301213291755,0.3409200109531944,2,1,237,226,57,110,0
28,0.9122208763429535,-1.0213182378925216,-2.6639781492115535,0.7,1,1,224,106,194,29,1
33,0.9111544133136718,-3.031766858647228,-3.8927668298832834,0.7,2,1,158,47,256,118,1
48,0.9110885822624816,-0.3,-5.0,0.7,1,3,148,5,222,0,1
10,0.9109964187908152,-0.3,-4.6935253709844575,0.34513341155816496,0,0,99,252,135,92,1
19,0.9090346534653465,-3.858479093013067,-1.0270513709377846,0.1830533208718998,3,0,109,145,238,74,1
49,0.9088503265220139,-2.424481489212395,-1.839369095608601,0.4490831681553246,4,0,108,0,0,0,1
45,0.9084026753739204,-0.3,-5.0,0.7,3,1,95,21,0,93,1
14,0.908323678112492,-4.0,-1.0,0.0,1,0,256,3,0,148,0
2,0.9040841584158417,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
3,0.9040709922056036,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
16,0.9030045291763218,-3.3281367642811137,-1.0,0.0,0,2,231,10,0,0,0
39,0.9026753739203708,-2.015960370157876,-1.3020475867954118,0.3600261792654977,1,1,40,196,0,81,0
29,0.9024515483463239,-0.3,-4.379328587674652,0.3866431294675368,1,3,91,251,194,125,1
20,0.9012139245839478,-0.3464235039801129,-2.6930212085200083,0.042322179790465646,1,1,122,219,49,68,0
4,0.8952759637665895,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
15,0.8943938276806405,-4.0,-1.0,0.0,0,0,256,256,40,0,0
18,0.8892195070570887,-1.401998715134944,-4.265773442348593,0.6565915724851138,1,0,111,100,35,196,1
37,0.8852564777754371,-1.8271625624480548,-5.0,0.0,0,3,256,256,0,0,0
44,0.8844401727406784,-4.0,-5.0,0.7,4,3,97,52,256,0,0
50,0.8840451864335369,-3.8452662226578678,-3.465190129956168,0.6613238188061833,1,1,223,33,256,54,1
46,0.8809247946071203,-2.3671185324853603,-1.0,0.7,3,0,135,189,0,88,0
41,0.8803718137771224,-1.8458454337589836,-1.7182505088909705,0.1963033511950876,2,1,80,136,256,101,1
25,0.8771987571097536,-2.289984959370387,-2.979906787284407,0.17197475662533965,0,0,256,127,29,70,0
30,0.874104697703813,-4.0,-2.638484996884221,0.2029602116174787,1,1,94,88,0,131,0
32,0.8710501369285863,-0.9977021149570602,-1.0277680519820063,0.0,1,1,47,155,234,185,1
23,0.8619917842848115,-1.9005627248992494,-4.606635865428871,0.013281572479463204,2,0,139,256,0,36,0
34,0.8609779860964819,-4.0,-4.756272298744903,0.7,3,0,105,29,0,112,0
26,0.8582789129976828,-1.5722952967352954,-2.6553699040946954,0.16840595634975322,2,2,223,120,192,113,0
21,0.8580419212133978,-4.0,-3.068104541694888,0.02044771797337732,0,1,8,0,0,69,0
7,0.855435011586265,-2.872253568042777,-3.840440204553686,0.11209271581594656,3,2,60,256,111,164,1
12,0.8483976722140298,-3.2755179227557534,-1.0,0.5576627090084557,3,3,187,89,20,86,0
6,0.8397277227722773,-1.8171631805907462,-3.4872212676756784,0.13036254333494973,1,0,221,87,193,251,0
38,0.8313935116915946,-0.3,-1.0,0.6619001712239684,2,1,119,41,202,0,0
22,0.8087607962923953,-0.3,-1.0,0.6398053658794368,4,2,68,256,256,47,0
13,0.7729157889193176,-0.702499817992718,-1.0,0.49023283542955665,1,1,90,233,148,256,0
36,0.7375842637455234,-1.394661143373133,-1.1516647042030224,0.7,1,2,8,36,256,163,1
