trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
48,0.9014706656835897,-2.3871962485648273,-1.0,0.7,4,2,8,256,222,196,1
34,0.8748156730566674,-1.3391149551794146,-1.4041043746846378,0.662538873759753,3,2,193,0,31,143,1
2,0.8722087634295345,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
10,0.8705695702548979,-3.728929653128074,-2.9932054351168853,0.5081218515171668,3,1,166,172,113,160,1
21,0.8666657889193174,-3.783271953047004,-2.3571138361609716,0.5907480819463827,4,1,225,165,22,59,1
38,0.8649673477986096,-0.3,-2.972885242872058,0.7,4,0,239,0,26,0,1
40,0.8641642089740889,-4.0,-5.0,0.6436158619685856,0,0,256,256,0,0,0
26,0.8640062144512324,-3.5261900693895516,-2.5402418305239394,0.36803319119303146,2,2,144,161,69,76,0
28,0.8635058984621866,-3.8120946706285457,-1.2767982721892133,0.6510551473711831,1,2,211,234,35,0,1
50,0.8629792500526647,-3.969703360750478,-1.9559456668846358,0.0,0,0,256,256,0,0,0
5,0.8616889614493365,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
47,0.8616626290288603,-1.5376669401806486,-5.0,0.7,4,3,63,241,207,0,1
4,0.8615046345060038,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
33,0.8608068253633875,-1.2700780003734096,-1.2047310575348344,0.5118274944327421,3,1,233,243,81,168,1
7,0.8598588582262481,-0.3,-4.491067815636311,0.4573934152784089,1,1,104,97,0,107,1
1,0.8596745312829155,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
37,0.8595955340214873,-0.5756002476182358,-1.9958372185217184,0.0,4,0,198,256,105,0,0
39,0.8590557194017273,-3.261172208101834,-4.191267445545178,0.7,0,3,256,0,165,0,1
29,0.8585159047819675,-1.3955375215229142,-4.3679799549312435,0.5194883398933774,3,1,117,227,85,103,1
32,0.8584105751000631,-2.2457717339849843,-3.7830750696697635,0.49219471545321003,3,1,158,169,80,153,1
24,0.8582789129976827,-3.797615864509772,-3.1437662684096193,0.22978079434670098,0,2,37,160,126,177,1
3,0.8581999157362544,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
45,0.8581735833157784,-0.3,-4.295316239066741,0.5886827600483056,4,2,134,256,37,136,1
11,0.8580814198441121,-2.6408078016092706,-4.739247643867727,0.2453924029921905,0,3,19,157,174,197,1
22,0.8579892563724458,-3.254748887950326,-2.021271442865922,0.6392987788483079,1,2,147,256,0,37,0
16,0.8579234253212555,-3.459944861176121,-4.129898113156637,0.7,4,0,34,228,253,159,1
46,0.8567384663998315,-1.3833726636944466,-4.788334474022103,0.7,4,1,126,133,30,32,1
31,0.8561064883084054,-3.126757444206755,-4.270595993739336,0.6508051725612788,2,0,100,97,39,0,1
43,0.8560011586265008,-1.226910029022107,-3.4079755111494787,0.49956622473538387,4,0,169,256,8,212,1
49,0.8540130608805562,-2.3646808520687825,-4.907591123114642,0.7,3,2,21,256,38,240,1
17,0.8531309247946072,-0.3,-2.147155542262154,0.0,1,1,185,47,196,214,0
13,0.8522356224984201,-3.7295817552630894,-1.435272234175585,0.1937808398789765,3,2,148,172,85,142,1
12,0.851353486412471,-3.9910970808024175,-1.52350720973786,0.40738807011016764,3,1,179,217,41,178,0
14,0.8508005055824732,-3.546992610253119,-1.6488376664823705,0.6695680452996917,0,2,161,125,135,61,0
23,0.8500105329681905,-4.0,-2.2446409088889743,0.6548549123705811,2,0,66,63,0,228,1
36,0.8486741626290288,-0.3,-1.0,0.7,0,3,112,0,160,256,1
8,0.8483515904781966,-0.30645481921326345,-3.960424591018933,0.43775332272041717,0,1,91,220,254,226,1
44,0.846732146618917,-0.3,-3.4547691777660567,0.0,1,0,250,0,116,46,1
18,0.8447177164524964,-2.897443456282698,-3.51286172663494,0.7,1,1,245,168,3,37,1
25,0.8420844744048872,-4.0,-2.9807010064911497,0.596124103921983,2,1,49,148,28,28,1
30,0.8407415209606067,-2.7210997381935904,-3.8495771934198313,0.6571981755995904,0,1,185,124,0,116,0
6,0.8393195702548979,-3.9721228564039235,-2.1515277746634585,0.12935168055189822,3,1,138,76,160,0,1
42,0.8384900990099009,-3.4832941922695073,-1.0,0.5193527832048095,0,3,256,0,26,0,1
41,0.8360280176953865,-2.884902463028051,-5.0,0.0,0,0,256,256,0,0,0
15,0.8357778597008637,-3.8260431670218735,-1.5872615111705604,0.3942198783929373,0,0,168,9,81,186,1
9,0.8356988624394353,-3.9996878337945683,-1.2095773095225666,0.44397081641598873,1,2,143,89,48,146,0
19,0.8298004002527911,-3.7524490181354597,-3.421630729037146,0.7,2,3,171,204,81,126,1
27,0.8266273435854223,-3.571717063379405,-2.782507427268425,0.4310817256698307,3,3,72,188,129,189,0
20,0.817766484095218,-3.5898193977881485,-1.12598879690628,0.42948750194193663,4,1,65,85,140,167,0
35,0.6198125131662101,-1.0493514196072682,-1.460692524041677,0.6647431800661535,1,3,175,173,60,192,0
