trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
28,0.6504966561762391,-1.107006507379766,-5.0,0.07669932759420862,4,1,33,206,83,0,0
36,0.6460464201416207,-1.0939085502899362,-4.647244382765602,0.2684729848911737,4,1,45,22,79,153,0
1,0.6429484657749803,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
41,0.6426042486231314,-1.0999368443698447,-5.0,0.2276975340695561,2,1,227,117,242,0,0
50,0.642198564122738,-0.7907708014529944,-5.0,0.6555634571079318,0,1,8,16,46,209,0
22,0.6403422501966954,-0.9930249455863747,-3.583484543896744,0.2159641631217497,3,1,8,4,56,41,0
27,0.6400717938630999,-1.0419989160958605,-5.0,0.5692800377051583,4,1,34,0,69,62,0
45,0.638707218725413,-2.3353358872073238,-5.0,0.7,2,0,248,46,175,126,0
3,0.6377114476789929,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
30,0.6346134933123524,-1.008442139088741,-5.0,0.0,0,1,46,184,92,2,0
33,0.6340479937057436,-1.033594788259335,-5.0,0.26800831329053465,3,1,83,122,28,213,0
38,0.6337775373721479,-1.2321246631806582,-5.0,0.3924293549801028,2,1,58,220,157,63,1
9,0.6305197678992919,-0.3,-4.6658365372522885,0.530361484472468,1,0,217,207,139,142,1
32,0.6247541306058222,-1.080197923297566,-4.030989047491671,0.0,3,1,8,20,66,0,0
23,0.6227871754523997,-2.4120753310203744,-4.655540114176091,0.5222875885596232,3,1,8,25,214,247,1
13,0.6219266325727774,-0.3,-1.0,0.5755808820483078,3,3,35,95,95,88,1
42,0.6171936467348544,-1.0942907908998794,-5.0,0.1707090282054457,3,0,26,195,180,111,1
4,0.6154233870967742,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
26,0.6110960857592447,-0.9104213930838863,-1.6143913150548115,0.7,3,1,8,230,60,33,1
2,0.6101494885916602,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
8,0.6092889457120377,-4.0,-5.0,0.7,0,0,8,0,256,0,1
21,0.6083423485444531,-1.267965606192424,-3.266420150671177,0.6675933197163199,0,1,151,153,104,211,0
16,0.6066335562549173,-1.7944597711464478,-2.9519571412076067,0.44932215015672883,0,0,193,0,190,31,1
14,0.605994295830055,-2.025164038015697,-3.343887051219288,0.35963677290949775,4,0,220,201,256,38,0
20,0.6052812745869394,-0.768546776863507,-3.50784744265791,0.2181663346267355,3,0,151,100,101,60,1
43,0.6045313729346972,-2.6079296832852172,-5.0,0.7,1,1,194,107,201,89,0
44,0.604310090479937,-1.0975205011815494,-5.0,0.7,1,2,54,170,45,63,1
5,0.6041256884343037,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
46,0.6039166994492525,-2.2316646760072225,-5.0,0.7,1,1,118,219,228,223,1
29,0.6030192761605035,-1.2741822399895795,-2.9581158531912286,0.36846647055730036,1,1,8,14,76,116,1
37,0.6005114083398899,-1.1806002146124093,-1.4529474183494537,0.022828569485552806,4,1,78,205,103,0,0
24,0.5999704956726986,-2.4833546403673563,-1.347267280758503,0.4688293084955274,0,0,256,57,218,186,1
6,0.5986182140047206,-1.3202075746417345,-4.404851979127813,0.2600125248859647,4,3,244,247,38,201,1
15,0.5944384343036979,-3.2640828966381767,-1.2647619217773287,0.44284281633978456,2,3,170,222,40,70,1
17,0.594315499606609,-1.307661147081927,-1.7358309841485586,0.4232672449984855,1,0,12,41,245,113,1
11,0.5941433910306846,-0.48421958761070627,-4.357936233837476,0.7,0,2,8,256,164,72,1
49,0.5938237608182533,-1.20735322245238,-5.0,0.08653159944643632,4,1,110,160,121,172,1
19,0.593405782848151,-2.959069221195186,-3.231072509993206,0.3130221463673435,2,2,146,219,247,114,1
34,0.5929878048780488,-2.515669838291406,-5.0,0.3704197774599668,0,0,87,33,175,243,1
39,0.591832218725413,-2.5477644523809424,-5.0,0.24005643595322773,3,0,231,144,44,56,0
25,0.5905782848151062,-2.4264272616924916,-3.473945143653647,0.08772117193056757,0,1,8,175,256,21,0
12,0.5897669158143195,-2.448447585226985,-3.1300289683225686,0.3546585698831435,4,2,9,112,0,0,1
31,0.5885498623131393,-1.0637448979944906,-4.9646282443874235,0.0,4,2,10,88,110,0,0
10,0.5187475413060583,-0.484871247540843,-1.0,0.30402050187313956,1,1,25,234,208,256,1
47,0.5175796616837136,-0.8980298658634216,-1.1561188819775423,0.0,3,0,125,108,39,143,0
7,0.5,-0.7390749835927672,-4.991217130182441,0.7,1,0,8,17,208,235,0
18,0.5,-0.6343301375894201,-4.04434672295116,0.7,0,0,71,65,256,32,1
35,0.5,-0.6858030559088055,-5.0,0.6213152207133726,1,0,68,123,63,8,0
40,0.5,-0.527361907307049,-3.9402115988044466,0.679040258369906,2,0,256,118,44,66,1
48,0.5,-0.3,-4.938834567153433,0.4396671807278658,4,0,117,256,77,18,0
