trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
49,0.9114295290765879,-2.1214272443279856,-5.0,0.0,2,3,139,256,101,0,1
50,0.9078934137757667,-2.156226175931776,-3.120308777900232,0.0,0,0,107,256,256,0,1
3,0.9050444109267638,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
45,0.901860231271996,-2.034892272245279,-5.0,0.0,0,3,249,0,0,256,1
48,0.9013574660633484,-3.5354337089071373,-2.8648024177625495,0.0,4,2,181,0,0,256,0
43,0.9007709066532595,-2.1596139454058743,-1.0,0.0059491062359255924,0,3,148,4,86,0,1
17,0.9007206301323949,-4.0,-1.782336191196797,0.15132619295456026,4,0,256,68,0,0,1
33,0.898139768728004,-1.5552159442800226,-5.0,0.0,4,0,8,0,210,12,1
18,0.8977710742416626,-1.2655253713532115,-5.0,0.7,1,3,256,36,0,0,1
39,0.8967320261437909,-2.929407191923846,-3.6900810553338195,0.6575477030613174,4,0,167,0,226,256,0
11,0.8958940841293783,-2.258888496953321,-1.0,0.3790669806597751,3,0,86,5,221,212,1
4,0.8950896597955422,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
26,0.8945701357466063,-3.1450347271230714,-1.0,0.0,0,0,8,0,256,194,1
8,0.8943355119825708,-1.3078599804059565,-4.332689101357109,0.49195372774614327,0,1,91,81,256,49,1
23,0.8936651583710407,-0.3,-5.0,0.7,0,3,256,256,0,252,1
1,0.8935981230098878,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
10,0.8916708563767387,-2.0571433704776103,-1.9235496031451969,0.1712329356665975,2,3,211,180,56,0,0
47,0.8914194737724149,-0.8569984987359267,-1.0,0.0,4,3,153,256,0,0,1
36,0.8906653259594437,-3.436950692793555,-5.0,0.7,4,0,256,0,0,256,0
22,0.889961454667337,-0.7386214752958455,-1.0,0.3300602162896638,4,3,8,0,57,214,1
31,0.8897603485838779,-4.0,-1.0,0.0,4,0,256,0,0,0,1
9,0.8896597955421486,-3.58961780783534,-2.4048343416295377,0.3195613441496458,1,2,108,61,24,160,0
16,0.8895089659795542,-1.8500659848198473,-1.0,0.7,4,3,8,105,0,186,1
34,0.8893748952572482,-0.3,-5.0,0.7,3,3,8,256,121,103,1
32,0.8889056477291771,-4.0,-5.0,0.0,4,2,8,256,122,256,1
14,0.8887213004860063,-2.8553344341675846,-4.740112360054823,0.6554032514733547,3,2,8,144,199,4,0
13,0.8878163231104408,-0.3,-1.0,0.0,4,3,256,43,0,183,1
44,0.887497905144964,-3.495177798863613,-2.7697919018803674,0.7,1,0,142,165,0,256,0
5,0.8863583040053628,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
40,0.8836433718786659,-2.6264312786766473,-1.7112684991781708,0.5577671936797206,2,0,118,0,0,256,0
38,0.8823529411764706,-2.426961819218045,-1.7109531058845242,0.7,0,0,207,0,42,256,0
42,0.8809787162728339,-4.0,-3.9682028192650414,0.0,4,3,8,0,256,254,1
46,0.8782805429864253,-0.3,-1.0,0.5151607808058601,0,1,246,0,204,180,1
20,0.8766214177978884,-2.6836724132343477,-1.700345370594457,0.7,4,1,256,80,0,0,1
41,0.8694821518350931,-2.493598024010903,-5.0,0.7,0,3,8,142,221,132,0
25,0.8681246857717446,-4.0,-1.0,0.31973649822937716,2,3,167,149,256,256,1
30,0.8662812133400369,-4.0,-3.8384059940188053,0.7,4,0,8,0,256,256,0
2,0.8638176638176638,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
35,0.858446455505279,-3.0179640411475486,-3.375500889598822,0.0,4,0,8,256,199,251,1
21,0.8567286743757333,-4.0,-5.0,0.3682426868502436,0,3,8,0,256,256,1
28,0.8560415619239148,-4.0,-1.0,0.0732609201418219,2,1,109,0,109,256,0
24,0.8510474275180159,-4.0,-5.0,0.7,0,3,256,0,256,256,1
12,0.8499748617395677,-2.5025308599721243,-1.0,0.0,4,0,256,0,171,256,0
19,0.8174794704206468,-4.0,-1.0,0.0,0,3,256,256,0,256,0
29,0.8114462879168762,-2.974078246756002,-1.0,0.0,4,2,147,124,256,22,0
15,0.7987430869783811,-4.0,-5.0,0.7,0,3,8,256,0,0,1
27,0.6924752807105747,-4.0,-5.0,0.7,0,3,8,0,0,0,0
6,0.6899614546673372,-0.3,-1.0,0.0,4,0,248,76,256,256,0
7,0.5,-0.3,-5.0,0.5534080178711629,0,0,8,256,0,110,0
37,0.5,-0.3,-4.293177218419563,0.2792707431088659,1,2,99,256,115,60,0
