trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
18,0.645898898505114,-2.632051073379883,-4.027214812363955,0.7,4,0,133,0,33,0,1
21,0.6414240755310778,-1.5760364512309555,-1.0,0.7,3,3,256,170,44,246,1
33,0.6369246656176238,-3.191581316776908,-2.990909822095448,0.675921875898319,3,0,177,85,45,253,1
46,0.6319335169158143,-1.1609395228559465,-5.0,0.7,3,2,256,109,200,246,1
44,0.631736821400472,-0.3,-5.0,0.7,4,3,256,8,85,97,1
1,0.6289830841856805,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
3,0.6278766719118805,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
17,0.6277783241542092,-4.0,-2.4257135816486315,0.7,4,0,256,0,0,0,1
40,0.6273849331235247,-4.0,-1.0,0.5592055953149654,4,0,200,48,53,44,1
25,0.6263645751376868,-0.9435513353473226,-1.9578298973075778,0.7,0,3,256,116,216,70,1
15,0.6248524783634933,-2.5499592107843005,-3.087448588135156,0.5361285790776974,1,2,164,256,137,132,1
49,0.6176730920535011,-0.3,-1.0,0.0,2,1,256,148,247,46,0
2,0.6154848544453186,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
47,0.6144030291109362,-0.5753966644907322,-5.0,0.7,1,0,185,244,3,132,1
37,0.6141571597167585,-1.6222201318603298,-2.034848525300545,0.7,3,0,256,26,28,35,1
32,0.6137883556254917,-1.3986401521370952,-1.0,0.5616376017913915,1,3,210,0,158,185,1
43,0.6117476396538158,-2.6339627550452613,-3.031953649800239,0.6077877881339767,4,1,144,62,45,0,1
31,0.6115017702596381,-2.0850781285957245,-3.9311875341095006,0.7,3,1,123,157,162,0,1
20,0.611280487804878,-3.989984826771657,-3.1733121421923522,0.0,1,2,168,174,75,0,1
27,0.6090184893784422,-1.1702094114108337,-2.878002444791419,0.7,1,0,171,71,38,110,1
45,0.6078997836349331,-4.0,-5.0,0.0,3,3,127,212,20,41,0
41,0.6076416207710464,-4.0,-1.0,0.5977472397176198,0,0,8,109,46,212,0
19,0.6039535798583793,-1.7265656849407116,-5.0,0.0,4,0,88,138,172,0,1
50,0.6037077104642015,-4.0,-2.9471160426036196,0.0,3,2,8,115,57,45,0
5,0.6035847757671124,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
42,0.6030684500393392,-4.0,-5.0,0.5462357204524398,1,0,8,97,233,111,0
24,0.602404602675059,-2.212701185937031,-1.0,0.0,1,0,256,181,217,8,1
29,0.6015194728560187,-2.3097697341078387,-3.971964402092054,0.3777341717210838,3,0,199,0,52,0,1
36,0.6013719512195123,-2.6394798838333493,-2.721246699207848,0.17288231555677908,3,0,124,63,214,25,1
26,0.6008064516129032,-1.7294143345425033,-5.0,0.7,1,0,8,52,14,32,1
48,0.5995525177025963,-0.6746897588512684,-3.735626286470711,0.7,0,2,256,121,39,208,1
38,0.5995033438237607,-4.0,-5.0,0.7,4,0,256,19,59,114,0
8,0.5991714201416207,-1.7344323075486239,-1.085609794159431,0.03399918831992322,0,0,143,0,238,9,0
35,0.5987657356412274,-3.647856796232265,-2.3966792358506384,0.0,0,2,256,20,3,2,1
11,0.5976101494885917,-2.649845740766874,-4.490921433742864,0.08397808596252387,3,2,125,73,145,231,1
39,0.5973888670338315,-4.0,-3.772145489497881,0.7,2,1,256,59,55,230,1
4,0.5970200629425649,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
7,0.5918322187254131,-3.093574342276911,-5.0,0.33344043796133227,1,2,220,226,184,205,1
12,0.5881564712824547,-1.2162434768759631,-1.9560888210863396,0.7,4,2,207,229,199,96,0
10,0.5842840283241543,-2.174390622649213,-1.2815001427864696,0.7,1,3,174,184,43,152,0
14,0.5811123131392604,-1.0803289863053136,-3.8641958184908862,0.002142656233476507,1,3,101,104,134,179,1
30,0.5782356412273799,-0.3,-5.0,0.09411106326739099,0,1,15,156,140,0,1
34,0.5679705940204564,-0.3,-1.0,0.35883352735992075,1,0,256,119,136,140,1
13,0.5,-0.9657920641361382,-3.424015651522283,0.47084090377102494,3,2,205,96,36,65,0
6,0.5,-0.3,-4.801929348300281,0.7,2,0,30,215,215,236,0
9,0.5,-0.3,-1.0,0.7,4,2,55,18,0,102,1
16,0.5,-1.1635668260976186,-2.3323293410501518,0.5031620005765973,1,2,8,170,229,14,1
22,0.5,-3.006947006755379,-1.0,0.7,4,0,256,29,187,217,0
23,0.5,-1.1017731589358983,-1.669048283115484,0.0,4,3,8,150,148,234,0
28,0.47403619197482294,-4.0,-4.242619207155708,0.7,3,1,84,216,45,66,1
