trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
11,0.6039265898420828,-2.887696236427737,-3.793173183128176,0.6468821727736214,2,2,256,38,23,0,1
27,0.6000525296299943,-2.80723380706537,-4.227744119440827,0.20583131074325406,0,3,256,208,0,103,0
39,0.5994944023113038,-1.388171184055465,-4.107693120905941,0.54309939707515,4,2,182,78,0,161,0
15,0.598804950917627,-2.6343269373140474,-3.5466362433325975,0.14582206063078035,1,2,216,228,0,241,0
21,0.5987721198988805,-1.1215486657753453,-1.5764296541853038,0.28666047732551964,3,1,185,17,25,254,1
19,0.5964739485866247,-3.560502030761681,-4.380115939741956,0.22294485885987786,1,0,106,87,0,11,1
20,0.5934534948619455,-0.8258199307835001,-2.9738290538956567,0.32474303827690826,3,1,82,254,0,25,0
40,0.5931908467119734,-1.842158179552785,-3.7059783884800943,0.40152046181592466,3,2,246,138,3,115,0
37,0.5925342263370432,-3.7886406730186,-3.165662556829412,0.020252354786147262,4,1,209,106,24,48,1
48,0.5924029022620572,-3.19632002144527,-4.911680761764004,0.27573792995789054,3,1,119,9,0,155,1
22,0.5923372402245641,-1.6811085017957277,-2.915643595137124,0.04298145837528651,1,2,102,221,23,208,1
34,0.5921730851308316,-4.0,-3.6828264063910536,0.5618330563422884,3,2,256,181,0,172,1
8,0.5912866476246758,-2.0700591457347497,-3.935215015454353,0.3461592190503707,2,3,209,94,74,56,1
44,0.5911553235496898,-3.4026422034778268,-3.961200611381215,0.6563640335699815,3,3,210,36,0,56,1
14,0.586033684625234,-2.2866078116784747,-5.0,0.7,3,3,214,0,0,0,1
10,0.5849830920253455,-2.5148285435655544,-2.7039422567899747,0.280435231216149,0,3,256,135,19,37,1
17,0.5845398732722676,-0.628811019041104,-2.7720679518459432,0.5893872681144203,4,0,8,48,0,89,0
36,0.5835056961817525,-3.0922356742002983,-3.4496589699572477,0.35976580138415953,0,2,179,256,0,141,0
9,0.5791391706884664,-2.070981026344393,-2.029808963743909,0.2930178524214746,2,3,174,148,94,235,0
2,0.5787451984635084,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
47,0.5785810433697758,-2.1605853736183276,-3.5438722006407506,0.20401939359701812,2,2,242,55,69,67,1
16,0.5756262516825896,-0.3223436401159767,-1.7886598618845517,0.5370254159692726,2,1,256,59,0,195,1
31,0.5752979414951246,-1.0432085002360512,-4.277208094092418,0.30649674026686197,4,3,123,172,54,74,1
26,0.5695196821957385,-0.6604071286385542,-5.0,0.2224571622092791,1,1,146,171,0,103,1
30,0.5692570340457666,-2.146826277237565,-4.108328333627574,0.026736520029834312,4,1,249,192,24,0,0
33,0.5682064414458781,-1.137479511039802,-3.586048109507832,0.17273094944388404,4,2,21,256,23,76,1
43,0.5664992284710595,-0.739806177651309,-2.9053147724923667,0.0,4,0,256,239,1,99,1
38,0.5662037493023407,-1.7560677653544565,-3.7308832875547333,0.4881275921688022,2,3,81,194,0,249,1
28,0.5623953511277455,-1.7747259029461167,-2.420089179982151,0.5505223931581957,3,3,219,49,23,69,0
41,0.5616730687153222,-1.8495003926532285,-1.8957898877633017,0.5440744114568868,1,2,111,0,30,171,1
32,0.5595554680061723,-1.64471435991645,-2.4187369307228073,0.0,2,2,236,162,13,256,1
13,0.5563544436783874,-2.9232257008717166,-5.0,0.246432391698786,1,2,256,228,93,117,1
18,0.5542696739879838,-2.3831449427283706,-1.073414108623016,0.5559161313885432,4,0,8,196,256,77,0
5,0.5541219344036246,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
49,0.5538264552349059,-0.8602530748853017,-4.088011942833593,0.05696582567677715,2,3,129,51,0,214,1
24,0.5535473915755607,-2.3881995572725945,-1.040112337527388,0.593302319518252,4,2,163,60,8,208,1
25,0.5518237630913687,-0.6987973523864763,-1.815655184180657,0.33291547540437966,1,0,84,40,0,216,0
50,0.5492957746478873,-3.5009163660582105,-4.11818182999119,0.45984225463926276,3,1,256,40,0,0,1
4,0.5489018024229291,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
35,0.5433041137266489,-0.3,-1.5216909105761025,0.1756772804310898,0,2,256,73,0,4,0
23,0.5432712827079025,-2.6326359453205006,-3.132310960241518,0.5714494674036542,1,0,256,24,14,239,1
1,0.5423355986736269,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
3,0.539840441248892,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
6,0.5381660592928198,-4.0,-1.0,0.6542439818913086,1,0,156,253,98,177,1
42,0.5313372073935454,-0.5205794139725524,-1.0163467030761821,0.5369673315891229,3,3,233,228,21,20,1
29,0.5210282675071407,-1.9774271644941743,-4.690847816367435,0.454589084642027,1,3,205,19,23,246,1
45,0.5,-0.3,-2.063545218739367,0.0069960954117937344,1,0,104,214,34,256,1
12,0.5,-0.3,-5.0,0.7,4,2,214,204,256,13,0
46,0.4847499917922453,-3.3621928086442843,-3.357868051467733,0.6691161165850015,1,2,128,64,22,24,1
7,0.4608161791260383,-3.7572496555132915,-2.984055476714091,0.3962602639178491,1,3,9,86,88,47,1
