trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
47,0.9242021276595744,-1.2775229490983722,-1.0,0.7,0,3,256,0,157,146,1
14,0.9208579102591111,-2.9512890372910263,-1.2552673867357416,0.3392989610632452,4,1,8,108,93,178,1
39,0.9197190330735201,-1.809042727362752,-1.0,0.7,2,3,8,0,0,256,1
34,0.9191331367179271,-2.1608670944577666,-1.0,0.37423036922293706,0,1,176,30,0,256,1
27,0.9190738887718558,-1.981664712001943,-1.0,0.7,4,3,8,0,0,167,1
31,0.9182904992626924,-0.7613896934156128,-1.7286988317284333,0.2013261208401164,1,3,43,23,42,0,1
23,0.9171187065515063,-2.382961762197871,-1.43780590420677,0.5985835460429559,2,1,256,84,256,167,1
30,0.9169343796081736,-1.5395064444165731,-1.0,0.0,0,1,256,0,0,207,1
6,0.9162234042553191,-2.500752278908756,-4.420588690927024,0.3202830603764748,4,1,32,86,81,59,1
26,0.914682957657468,-4.0,-1.0,0.0,4,1,100,0,243,256,1
21,0.9146368759216347,-1.1435136461666477,-1.008288878977488,0.7,4,3,8,30,84,211,1
50,0.9137020749947335,-1.274202180769413,-4.653411121585109,0.43290231581550376,4,0,8,0,23,132,1
1,0.9135638297872338,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
45,0.9126158626500948,-1.3900842638101496,-1.5652346999371294,0.7,4,3,90,0,0,256,1
49,0.9116020644617653,-1.9551040847653147,-1.0,0.7,0,3,256,212,221,256,1
9,0.9110622498420055,-2.5686111583881317,-3.874449122107772,0.3261817473065343,1,3,23,12,253,235,1
7,0.9105224352222455,-1.8493039782394303,-1.439476413416299,0.22170517656846983,2,3,9,238,228,248,0
16,0.9093243100905836,-4.0,-1.0,0.44398312491153613,2,2,100,0,251,256,1
5,0.9086923319991573,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
15,0.9086791657889193,-3.717562965995125,-2.555103570493752,0.18752333073260952,4,1,8,40,191,256,1
13,0.9084948388455867,-3.484296916881946,-2.4511783085818517,0.27033787717187474,4,1,8,226,4,201,1
36,0.9083763429534443,-1.6859276458872685,-3.7947013860630876,0.3102628926199494,1,1,8,256,0,256,1
3,0.9069017274067832,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
44,0.9061775858436908,-1.6923097535821903,-1.4814413474343047,0.7,0,3,8,256,161,256,0
25,0.9047556351379819,-3.861704867410538,-5.0,0.0,4,1,194,238,255,253,1
2,0.9033600168527491,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
4,0.9006477775437118,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
46,0.8996603117758584,-0.4719458704325472,-5.0,0.6795064777158086,4,3,100,0,7,0,1
33,0.8994233199915735,-4.0,-1.0,0.0,4,2,8,0,171,112,1
11,0.8978960396039604,-3.6090211638671397,-4.216261512834047,0.14282942698922046,0,1,256,65,103,102,0
40,0.8977907099220561,-1.588604899876858,-1.0,0.0,2,1,8,95,0,214,1
17,0.8970007373077733,-0.6514821387822969,-3.700315575951535,0.013306122749357665,1,3,247,83,253,9,0
41,0.8962436802190858,-2.8877115915062674,-1.0,0.0,1,0,28,256,63,172,1
37,0.8958157783863493,-4.0,-1.0,0.0,4,0,66,0,256,0,0
18,0.8940515062144512,-2.2240053528211057,-1.0,0.6649250392378125,0,0,103,183,5,139,0
43,0.8930772066568359,-1.8774734021571815,-1.0,0.0,1,3,100,0,0,256,0
10,0.8929587107646935,-2.4290477378378315,-3.8506182727614933,0.05022177555554606,4,3,60,252,69,207,0
42,0.890193806614704,-0.9900885173850225,-5.0,0.33797688474046306,0,3,256,0,0,0,1
12,0.8853354750368653,-2.059769902275554,-5.0,0.6275768333114571,4,0,149,80,47,151,0
22,0.8842887613229409,-2.323138887506819,-1.2939101153675252,0.15260484391205856,0,1,8,35,112,14,0
28,0.8765799452285653,-4.0,-1.0,0.7,0,0,8,256,0,256,0
8,0.871208131451443,-2.9538415347856457,-3.016714900771713,0.13620243609218877,4,0,256,90,35,18,1
48,0.8661259742995576,-3.4871598326039517,-1.8201319550767958,0.4659825915812296,4,3,8,0,199,109,1
32,0.8655993258900359,-3.0921041257499207,-1.0,0.0,4,0,256,83,137,256,1
38,0.8605829997893408,-1.7126610659718575,-4.1978678516311465,0.0,3,0,57,256,0,161,1
35,0.8403531177585843,-3.034411417356116,-1.0,0.39620693801733853,4,2,8,0,41,133,0
20,0.8044291131240784,-1.2198619719492734,-3.1801855588605497,0.4443114858658854,4,2,8,240,215,90,0
19,0.7680245418158838,-1.9261995377600343,-1.6408809592318083,0.4135379024005947,3,2,251,23,239,21,0
24,0.55024225826838,-0.3,-2.7804176644433873,0.0,2,2,8,14,233,256,1
29,0.5,-0.3,-1.0,0.0,0,0,133,206,40,256,0
