trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
39,0.8931957025489782,-2.2785322594190607,-4.457562435211869,0.3339145327334449,2,0,8,9,152,219,1
26,0.8836107014956815,-4.0,-5.0,0.7,1,3,256,0,33,21,0
24,0.877317253001896,-0.6420958655205959,-1.5864328670696293,0.06760698484483138,2,2,256,182,256,45,1
47,0.8755266484095217,-1.9936673164564094,-4.164946652557273,0.7,2,2,8,256,14,0,0
8,0.8676269222666948,-1.9085988103817186,-3.4127937587001678,0.45412184447181003,1,2,235,107,159,189,1
35,0.866823783442174,-2.242219337667858,-1.0,0.7,3,0,256,55,41,0,0
5,0.8647698546450391,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
49,0.8634005687802824,-1.9729654644335928,-1.0,0.7,2,3,256,0,256,239,1
45,0.8629002527912365,-1.8374013997141265,-1.0,0.0,4,3,8,95,72,24,1
9,0.8603591742152937,-1.9670431681160925,-2.9160866785609234,0.3960041007312192,3,3,95,256,230,206,0
46,0.8600300189593428,-4.0,-5.0,0.6347494581526915,2,3,256,102,137,198,0
32,0.8595955340214871,-2.485443193659517,-4.8030620314678965,0.5523150650614214,4,1,256,155,131,219,1
25,0.8595560353907732,-4.0,-4.2232742754224795,0.7,2,2,256,180,80,254,0
20,0.8594507057088687,-3.5412741302450597,-2.411071282898696,0.5204659580028094,1,2,242,126,197,252,1
1,0.8587792289867284,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
17,0.8578839266905414,-1.651926718495461,-5.0,0.7,1,1,75,216,82,84,0
3,0.8575811038550665,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
40,0.8574231093322098,-4.0,-2.9509357834549403,0.5820129338090765,0,0,8,193,161,175,0
14,0.8570149568148303,-3.488913077894921,-4.7208873086763194,0.09005060833651958,2,1,99,220,48,240,0
18,0.8565607225616179,-2.2018881465992193,-5.0,0.17449626763473797,3,2,116,177,0,58,1
7,0.8564093111438804,-1.4331465389283902,-1.380946926061768,0.04301685033503563,2,1,195,63,66,105,0
36,0.8548688645460291,-4.0,-1.583517923504282,0.6802107278310583,0,1,256,112,222,199,1
41,0.8536575732041289,-2.80714771859736,-3.7473671424887707,0.645325181379093,2,0,8,72,216,142,0
4,0.8530914261638929,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
42,0.8530519275331788,-3.1165503206875718,-2.3706742119989554,0.4632214605703759,1,3,8,251,147,105,0
27,0.8525647777543711,-2.4617850054301362,-5.0,0.7,0,3,8,225,256,244,0
38,0.8518801348219929,-3.2028501065881625,-5.0,0.7,4,3,256,115,66,0,0
2,0.8512349905203286,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
29,0.849312723825574,-4.0,-1.4011864367884996,0.0,1,1,256,158,86,237,1
43,0.8491020644617653,-1.0652978325141862,-4.277233397570739,0.17966411456553147,2,0,256,256,95,0,1
28,0.8480487676427216,-2.7989616697068915,-5.0,0.48181526870626123,3,0,256,176,0,194,1
6,0.8472719612386771,-3.938001673378185,-4.588719104780704,0.15773518815470242,3,1,193,23,251,249,0
15,0.8469559721929638,-1.2275195878351397,-3.51063153434945,0.21214140517565863,3,3,70,39,249,175,1
48,0.846679481777965,-0.3,-1.0,0.7,3,3,8,256,256,0,1
23,0.8428217821782179,-2.9792598734968427,-4.924921401566942,0.13668175543659003,1,0,256,47,256,156,1
44,0.8400305456077521,-3.52777312596715,-2.3617988345131127,0.629913289630368,4,3,256,222,33,256,0
11,0.8372129766168106,-3.123228775156229,-1.1326487278352624,0.2813381123682666,1,1,256,139,184,234,0
12,0.8366863282072888,-2.225479554010228,-1.3731403082538027,0.17488889401875912,0,0,256,30,233,2,1
34,0.835896355593006,-2.0151916776736223,-4.698497605040247,0.7,1,1,8,256,256,63,1
13,0.8338885085317042,-2.752591482087639,-3.7909457365337715,0.4447233590535471,4,0,15,13,11,10,1
31,0.8338424267958711,-1.318951908647091,-3.5823600486552376,0.12163529862215368,4,1,8,69,136,222,1
50,0.8261270275963767,-1.8902161179753518,-5.0,0.7,2,1,8,59,143,114,0
10,0.805186170212766,-0.36988061118657134,-3.557748869969201,0.687932848980061,1,0,12,201,119,22,1
21,0.7926453549610281,-1.9160101980550768,-1.0,0.36722846953708976,4,3,256,256,186,163,0
37,0.7879186854855699,-4.0,-1.966862979590001,0.6407685722423729,1,1,8,73,50,247,1
16,0.785910838424268,-0.8544239876284387,-1.0,0.6406330982229552,3,2,204,255,81,114,0
22,0.7648251527280387,-4.0,-5.0,0.0,3,3,8,0,256,256,0
33,0.6640509795660415,-0.3,-3.880997276734838,0.46333400179442075,1,0,8,55,222,193,1
30,0.5,-0.4791353870219077,-3.5274494432167343,0.6135357484187398,1,0,13,71,43,93,0
19,0.5,-1.1748675885914959,-5.0,0.08294439749450197,0,2,222,131,10,144,0
