trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
8,0.691089693154996,-1.4452915809090312,-2.9372319593772285,0.6861598104862665,3,2,49,246,6,0,0
46,0.6834431549960661,-3.5373062891226468,-3.1059144931078664,0.4524188740377688,1,2,160,140,50,109,0
40,0.6811565696302124,-1.942026110467022,-3.0017636720068186,0.49307640784923384,4,0,8,52,239,0,0
39,0.6793617230527145,-3.0960188041107712,-4.143406515389847,0.5405175247838145,1,0,179,68,165,0,0
16,0.6776898111723053,-3.1925268519257837,-3.014705577731445,0.6951104378887376,3,0,124,104,0,196,0
48,0.6753048780487805,-2.304058929751162,-3.569260498103409,0.4991335045329635,3,0,169,0,235,0,0
29,0.6747393784421717,-2.713367600898236,-4.241555955651024,0.7,1,0,15,8,5,163,0
1,0.674124704956727,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
27,0.6737804878048781,-2.1575439398088676,-4.183308746357546,0.46130422698058854,1,3,231,242,45,175,0
23,0.6728461841070024,-3.550661819304614,-5.0,0.49990686940513895,2,2,159,8,118,0,0
10,0.6696498819826908,-3.228020203544501,-5.0,0.18685265674983723,1,1,256,256,95,23,1
17,0.6682484264358772,-2.20553836259218,-5.0,0.19627765027934843,1,3,83,195,102,0,0
7,0.6670682533438237,-1.4914001419697809,-5.0,0.4764460728369371,3,0,8,100,187,22,0
44,0.6661831235247837,-2.8291678370374136,-4.845155370548079,0.6974156076491399,4,0,218,127,113,120,0
30,0.6648800157356413,-0.9315744372028658,-2.7941999817419365,0.7,2,1,231,123,0,49,1
36,0.6600118017309207,-3.0920401376256987,-3.7578621009768565,0.18402712883309147,0,2,208,241,0,134,0
32,0.6577989771833201,-0.4421288368653249,-3.764732955667607,0.7,2,1,148,112,96,127,1
15,0.6563975216365067,-0.7687949780704355,-3.6122699483659217,0.6232323154134829,3,3,8,173,0,88,0
3,0.656372934697089,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
45,0.6555615656963021,-1.57439069255852,-4.670352729368776,0.17495173003941183,1,0,221,0,12,0,0
18,0.654774783634933,-1.2266379545998718,-5.0,0.5611994553287073,3,0,129,66,50,0,1
31,0.6535946105428797,-1.5015938055080773,-2.3111289239579804,0.566836623741622,3,1,190,184,0,128,1
22,0.6525865460267506,-0.8783060594666328,-3.65161227481903,0.6756745142688615,4,1,35,198,24,85,1
26,0.6514801337529504,-2.0575080495399245,-2.9380507697884894,0.41423678132609487,3,1,44,94,0,256,0
6,0.6492304287962234,-0.3,-4.822804888894695,0.7,4,3,236,181,213,238,1
47,0.6447678992918962,-2.999860574386001,-3.402891591246863,0.6691859308464606,3,0,140,44,242,168,1
25,0.6446695515342251,-2.086591835031129,-2.9718513185929862,0.3793529131816076,3,2,201,91,0,14,1
13,0.6342692761605035,-4.0,-2.69199071634307,0.23088868407494706,4,2,249,134,150,112,1
34,0.6340234067663258,-2.8670303793968523,-4.609937455149557,0.7,1,1,125,42,66,194,0
37,0.625,-3.1789332372765715,-2.602707034961607,0.5864849079688226,2,2,40,93,3,48,1
2,0.6245820220298977,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
50,0.6244467938631,-3.2579982304989317,-1.5536690489386156,0.46639582650745864,1,2,101,74,146,256,0
5,0.6142063335955941,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
4,0.6087726199842642,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
35,0.6084529897718333,-3.456609651132695,-4.8626977763121095,0.0,1,2,244,61,42,41,1
42,0.6035724822974036,-2.2355981461192425,-1.0047055630551913,0.667750081018491,3,2,52,256,21,0,0
43,0.6015686467348544,-1.6149600419625871,-4.895350748681033,0.0,1,1,238,171,161,0,1
49,0.6009047993705743,-1.5571812724348417,-4.84255422417931,0.18133228941154828,1,2,234,256,10,0,1
19,0.6003147128245476,-3.8388998345235676,-5.0,0.0,0,0,22,117,256,256,1
33,0.5651308025177026,-1.6167301678985124,-3.992076577641026,0.7,4,0,52,130,12,228,0
11,0.551485051140834,-2.362737459663741,-3.2680555439915473,0.0,1,0,77,256,0,0,1
9,0.5322334775767112,-0.3,-2.10436085267521,0.7,2,2,69,46,146,0,0
20,0.5190179976396537,-0.4820648243688641,-4.440683248498727,0.312309186649427,4,2,141,104,67,256,1
14,0.5,-0.33523606370416825,-2.8574413845049844,0.6454305335476418,3,2,203,143,244,94,0
28,0.5,-0.5095185088591325,-4.197495008240204,0.0038441478426660238,4,2,209,182,160,222,1
24,0.5,-1.3757624479248123,-1.9991952320692112,0.6759225939464896,0,2,34,24,35,120,0
21,0.4751671911880409,-1.5925574506524658,-4.40797920841216,0.7,3,1,11,18,154,0,1
12,0.46552911093627064,-3.913000595167381,-3.661674956471093,0.5987664850766504,1,1,189,256,230,160,0
38,0.4622836349331236,-3.9545536045900893,-2.9761959136976945,0.7,1,1,123,250,66,217,0
41,0.4487116443745083,-4.0,-1.0,0.06064889774945853,4,0,13,59,151,229,0
