trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
20,0.9093933299815653,-1.4306384011857638,-5.0,0.26698158978433945,0,0,256,0,256,0,1
45,0.9041729512317748,-3.6509279212781993,-3.283175564608716,0.10926726611122678,1,0,256,115,89,0,1
15,0.9023881347410759,-2.2443846162920558,-5.0,0.0,0,3,239,60,88,137,0
38,0.9020026814144462,-1.3582290298179829,-4.802317390781372,0.0,2,1,147,21,0,256,0
28,0.9017345399698341,-2.511329139300356,-4.179086896410258,0.03424670010263169,1,2,136,245,100,0,0
35,0.9005027652086476,-2.3910931540881113,-5.0,0.0,0,3,207,0,0,100,0
11,0.8995475113122171,-3.217864366697946,-5.0,0.0,1,3,201,0,183,0,1
44,0.8992290933467404,-4.0,-1.0,0.13416153203413286,2,2,256,227,256,136,1
41,0.8989525724819842,-1.9623087707015214,-5.0,0.31728901263828035,2,2,256,237,196,256,1
7,0.8975280710574829,-1.7154229366472853,-5.0,0.1861472520142407,4,0,106,256,116,243,1
16,0.8956594603653427,-1.3377130460214417,-4.969319921965189,0.03352592695187395,3,3,221,76,13,75,1
42,0.8950058655941009,-2.074131077598946,-3.2658115034293598,0.0652377690584051,0,3,256,0,0,0,0
36,0.8949639684933803,-2.5046213633482957,-4.3159430620328,0.7,0,2,239,256,66,0,1
40,0.8933802580861404,-2.308799293321316,-5.0,0.3057732028130758,4,2,81,216,93,256,0
6,0.8931288754818166,-0.9629872878607668,-5.0,0.5122568572293605,4,0,100,33,256,93,1
12,0.8930115635997989,-4.0,-3.4027275581047354,0.0,4,1,256,256,127,256,1
27,0.8920395508630803,-1.3994843994243187,-3.32036824833266,0.3529090302715451,2,3,64,28,46,256,0
3,0.8915870621752974,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
49,0.891553544494721,-2.774311187803428,-1.0,0.3188732422701145,1,2,256,24,174,0,1
33,0.8911848500083794,-0.3,-4.816308792495578,0.03620986766199137,3,1,256,187,230,256,1
4,0.8900955253896431,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
43,0.889827383945031,-0.3,-5.0,0.5806902467221238,4,1,96,241,0,256,1
46,0.8884782973018267,-1.7170492277224993,-4.595604167027775,0.2805220403328108,1,2,64,122,49,57,0
30,0.8872632813809284,-3.4524220073579,-1.0,0.7,0,0,256,256,0,116,1
1,0.8861236802413273,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
31,0.885436567789509,-2.3996035568782093,-4.431273682905344,0.0,4,1,174,256,131,104,0
14,0.8847494553376906,-1.8378747389473284,-1.0,0.0,4,1,149,11,81,175,1
26,0.8834925423160717,-4.0,-2.1603878023000833,0.5064646086148893,4,2,256,149,34,0,1
25,0.8814814814814814,-0.3,-5.0,0.7,1,0,237,168,157,0,1
22,0.8807943690296631,-2.37843486981695,-1.6354904156237366,0.0,2,0,156,2,52,242,0
50,0.8801072565778448,-0.3,-1.2443181035263726,0.38634996827253837,0,1,256,244,0,256,1
48,0.8800067035361152,-1.5253530306116656,-5.0,0.6238657830887112,3,1,143,36,0,2,0
5,0.879922909334674,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
24,0.8778615719792191,-2.0869450520265587,-5.0,0.6163359800562299,3,1,242,154,0,256,1
13,0.8707055471761354,-0.3,-5.0,0.7,4,1,8,208,187,241,0
37,0.8646556058320765,-2.1690960326908266,-1.2300094001314226,0.02228243810208026,0,1,130,151,47,181,0
10,0.8540807776101893,-0.9186231919128538,-1.4912125452270963,0.0,2,2,42,173,189,141,1
19,0.8538712921065862,-0.7755048488776533,-5.0,0.7,4,0,8,44,256,256,1
2,0.8517680576504105,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
9,0.8441092676386794,-2.9954582320511367,-2.8163654192447938,0.7,1,3,39,20,0,208,0
32,0.8214177978883862,-4.0,-2.2170897480989145,0.13110090403452132,0,1,8,82,213,0,0
17,0.8190548014077426,-3.8579786603328245,-5.0,0.0,4,1,256,167,32,67,0
8,0.7854365677895088,-0.3,-1.0,0.06108913014265252,4,1,150,164,256,206,0
39,0.7576001340707224,-0.8325267023759713,-1.3146037123105176,0.0,1,2,8,0,0,256,0
47,0.7073990279872633,-0.9528710671377891,-5.0,0.08022415016110226,4,2,8,170,256,256,0
34,0.6759343053460701,-1.894202012083611,-1.353045775992153,0.6514632015354678,4,2,256,144,165,256,0
29,0.5548768225238813,-0.3,-1.0,0.11231865207184258,1,2,80,178,184,23,0
21,0.5148315736551031,-3.9910091950063387,-4.8261549797791865,0.7,0,3,8,0,0,0,1
23,0.504181330651919,-0.3,-4.380029732068933,0.0,4,0,200,256,135,32,0
18,0.5,-0.654577739026458,-2.8128776011398537,0.6868869872931812,0,2,230,147,215,76,0
