trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
41,0.864035528741411,-4.0,-1.252187466482598,0.08232756254195002,2,2,126,142,238,188,1
23,0.8638009049773755,-1.5656849416315364,-4.23791760033207,0.7,0,0,27,188,0,217,0
47,0.8626194067370537,-0.3,-4.0033080008667445,0.575719826287129,1,1,71,159,115,124,1
43,0.8617395676219206,-0.5862816056007674,-3.9720719639691007,0.045678678338947225,0,0,80,227,256,248,1
10,0.8616725322607675,-0.3,-3.4107628435864985,0.3101502737793654,3,2,250,98,45,47,1
35,0.8614379084967321,-1.9254591020153358,-3.8238099491829862,0.45015123925729456,2,2,20,206,243,68,0
34,0.8613289760348584,-2.6345122783772115,-5.0,0.7,0,0,256,256,0,164,1
28,0.8611362493715436,-1.2530995785230101,-5.0,0.42916729936568276,0,3,8,256,232,30,1
3,0.860507792860734,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
11,0.860432378079437,-0.7514209707088773,-2.9253391627086978,0.06701169459620203,1,1,196,67,65,34,0
36,0.8588989441930619,-4.0,-4.283793962394428,0.4375083648184052,4,0,231,223,238,251,0
38,0.8584548349254231,-2.3812847188678923,-5.0,0.26926948615757756,4,1,256,91,256,0,1
8,0.85771744595274,-0.5519232387616713,-1.8537223025563714,0.2068869302469177,3,1,255,66,0,94,1
44,0.8571644042232278,-0.3,-2.179688371297021,0.23738795415530883,1,1,247,127,0,82,1
46,0.8571225071225071,-1.3353830835896696,-2.748985257826982,0.601320888322714,1,1,63,70,256,12,1
13,0.8569632981397687,-0.3,-2.683985159795506,0.0,1,3,47,152,0,216,1
18,0.8567286743757331,-0.911209793822179,-4.39232964040292,0.6220855020401019,1,0,44,226,223,237,1
39,0.854256745433216,-0.3,-5.0,0.0,4,3,256,12,0,46,1
27,0.8541310541310543,-0.678456249158093,-1.8448329911785422,0.10774361372319793,2,1,256,109,76,36,1
49,0.8537372213842802,-1.3537098334462816,-5.0,0.0,0,3,8,0,256,156,1
4,0.8528573822691469,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
7,0.8515837104072398,-3.4772186154291758,-2.1273005788194568,0.3084085053187189,3,0,25,63,256,19,1
1,0.8500000000000001,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
48,0.8499916205798559,-4.0,-3.473111016630237,0.5657757597431153,2,2,51,196,256,128,1
45,0.8497905144963969,-2.4198476475776016,-5.0,0.7,4,3,256,148,22,64,1
5,0.8476956594603653,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
42,0.8459694989106754,-3.7427732343884084,-5.0,0.3140561386952726,0,1,184,140,256,38,1
25,0.8442684766214178,-0.3,-3.3435441846004075,0.35970452017775173,3,0,96,202,256,209,1
24,0.8431204960616725,-0.3,-5.0,0.006598521817713878,0,1,57,202,256,85,1
21,0.83815987933635,-3.384398793246501,-2.3003787686589554,0.4912201475805105,2,1,130,99,165,20,1
31,0.8376403552874142,-1.288475160642276,-1.8247489403370225,0.62716862652673,2,2,8,154,163,102,1
32,0.8368191721132897,-0.7212358078282515,-2.9971074330240275,0.33752889977642575,1,2,35,93,61,34,1
9,0.8303502597620245,-2.6451120424166015,-2.008903643512735,0.004825404167736417,4,2,178,207,179,41,1
37,0.8302664655605833,-0.3,-1.6083133539547148,0.2919859190400847,0,0,86,101,45,227,1
29,0.8279369867605162,-0.34063380109126307,-3.8671123481955636,0.2662649285797431,1,3,69,0,256,137,0
16,0.8265460030165913,-4.0,-1.0,0.0,4,0,256,256,256,256,0
2,0.8219373219373219,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
50,0.8167755991285404,-4.0,-2.363704943359897,0.5216382058405559,0,3,162,66,178,146,0
12,0.8113457348751466,-4.0,-4.369035370493297,0.7,1,3,250,236,256,101,1
22,0.8107088989441932,-4.0,-4.554661756598214,0.7,0,1,152,20,0,0,1
26,0.8100888218535277,-4.0,-3.8839673098804717,0.7,0,1,96,65,0,0,0
6,0.8093849505614211,-0.3,-2.6123799734447117,0.0,4,1,211,95,256,139,1
20,0.8069381598793363,-4.0,-1.0,0.032149059205500805,4,0,256,256,46,160,0
40,0.8060667001843473,-2.895423991300187,-2.9123019486399024,0.2286974125104436,4,1,187,130,21,236,0
15,0.800469247528071,-4.0,-1.0,0.0,4,3,8,256,0,256,0
33,0.7827886710239651,-3.962688712912986,-1.2629607700402854,0.6163941063487128,3,3,68,40,162,14,1
19,0.735964471258589,-0.3,-2.0942942513652967,0.3720897745046294,3,3,256,37,74,168,0
30,0.6925255572314396,-0.3,-5.0,0.3911175444546647,3,0,38,228,0,256,0
14,0.5,-0.3,-1.966883891520221,0.6506546395836192,2,0,174,0,56,234,0
17,0.22022792022792023,-4.0,-1.0,0.1461282614246798,4,3,8,0,0,0,1
