trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
28,0.662070324042155,-1.3700086804069067,-4.883902197801257,0.21413567749195933,1,0,43,59,163,186,1
30,0.662070324042155,-1.4565603874686706,-4.368203425016038,0.1547973748218725,1,0,46,0,163,28,1
25,0.6551429790866411,-2.4108221741241342,-4.291673455299442,0.06084410524303617,1,1,8,62,141,77,1
36,0.6510062707245805,-1.6290844316019415,-4.246244417412001,0.22842656406673925,0,0,34,34,192,30,1
1,0.6474605206999573,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
26,0.6434551364128829,-1.5740601103161915,-3.9866875007540026,0.02211720561407542,1,1,45,98,214,124,1
20,0.6434551364128829,-1.1405099475685923,-4.217029133593409,0.43930754262751304,3,1,214,103,81,21,0
35,0.6426015299254736,-0.9418187156264843,-4.334728277139522,0.23832802551289176,1,0,139,35,233,129,1
6,0.6398437243507666,-0.752505974951589,-4.937090755837751,0.34793654414647623,3,1,8,124,69,64,0
7,0.639482583144555,-0.4404252910708766,-4.114233745795871,0.142539170675265,2,1,256,236,57,92,0
44,0.6377425391509899,-1.5226477834799712,-4.494979466857837,0.7,3,1,244,163,158,5,0
40,0.636724777569848,-3.362768184606491,-4.8635925413735,0.06420802071002446,1,0,162,98,0,183,1
37,0.6343937752388457,-2.669328181660827,-4.883885125092408,0.12411124878489657,4,2,111,17,58,100,0
15,0.6343281132013526,-1.1918521781160414,-1.2767905759828406,0.1218934000612219,0,1,252,210,14,6,1
21,0.63275222430152,-0.8445497335482339,-4.091849788157386,0.6586782551099263,4,1,190,256,4,132,0
38,0.6315046455891526,-0.9656097885009043,-4.380840980855641,0.2067699357254806,2,1,131,164,99,107,0
3,0.6301257428017991,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
19,0.6288781640894316,-0.3953371435528492,-4.235472179271266,0.4253604392821775,2,1,102,91,32,4,1
49,0.6281558816770083,-0.8736411997207316,-5.0,0.5164588029257354,3,1,75,52,41,84,0
32,0.6266949013427887,-0.642929222147643,-4.3169741393642544,0.14913809827494542,2,0,8,85,214,35,1
33,0.6263501756459503,-1.7754371417826285,-4.928492516889754,0.11706471503503324,1,0,11,0,178,170,1
12,0.6246757936898781,-2.3196753541986466,-2.799787425698221,0.6436023518064607,1,0,60,38,256,86,0
16,0.6234610459962573,-0.3,-4.247420593257541,0.681829623357397,2,1,185,111,0,175,1
31,0.6215568469089596,-3.952723243697407,-5.0,0.14003940456758,1,0,8,0,151,235,1
13,0.6189303654092386,-0.3,-3.931521024202927,0.4235823797373677,4,3,199,169,78,2,1
45,0.6189303654092386,-0.547604318788296,-3.7712644186587543,0.5973859998074939,3,1,256,158,48,118,0
29,0.6178141107718572,-1.55371792965185,-5.0,0.19947409056939677,1,1,132,239,83,10,1
46,0.6123641616599363,-3.446092597466028,-4.560310336433929,0.22862475849880912,1,0,15,39,25,152,1
14,0.6111001674381956,-0.44666186517894335,-4.944999616953552,0.582112970463925,3,1,21,225,98,0,1
42,0.6102629764601596,-2.782079422948083,-4.28956037250885,0.0,3,0,8,6,211,146,1
11,0.6076364949604386,-0.7372474452136255,-5.0,0.11354401432608142,2,1,47,191,188,17,1
47,0.6047801963294921,-0.5121770043597214,-4.6220492584858555,0.0,1,0,165,63,170,109,1
23,0.6038937588233363,-0.9921469203029813,-4.083537402546186,0.7,1,2,65,98,76,0,1
9,0.6018582356610526,-2.9688336539862554,-4.2785592719108205,0.38361853521526385,4,1,222,50,11,0,0
17,0.5996585574050363,-0.3,-2.1841773856578053,0.6527926594386141,2,1,256,256,63,238,1
39,0.5978528513739781,-2.2242617932505393,-4.2720257252882865,0.5480904993242703,0,3,157,8,256,57,1
18,0.5941101152368758,-3.2880310643407156,-1.630773721905618,0.5934330256406574,2,0,34,45,256,58,1
4,0.5870186151876292,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
8,0.5787287829541351,-0.38137542302979854,-4.503607251550983,0.04755274748096836,2,2,8,45,0,156,1
50,0.5783512262385502,-3.329879731291145,-4.15618265342864,0.13162597351045044,1,1,8,77,193,122,1
5,0.5758232377950687,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
22,0.5757904067763223,-1.3850080935276567,-3.81602015587752,0.18726506384616054,4,1,8,84,39,121,1
48,0.569355527102006,-1.848312437156951,-4.941621985670675,0.4399548071358803,1,0,8,116,76,7,1
2,0.5691585409895269,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
27,0.5598345316655176,-2.7608780304520435,-4.41672787735447,0.5845298071845078,0,1,210,61,101,65,1
43,0.54446961489215,-1.7678733798198842,-4.247857671552657,0.502003959395065,0,1,164,252,256,218,1
10,0.5398404412488919,-0.48777969988203473,-4.513802243712499,0.39925984206828985,4,0,210,256,118,126,1
41,0.5184346170261662,-0.9643550602333906,-4.880396698204903,0.3179239246330229,3,0,102,69,256,219,0
24,0.5093240093240093,-0.8332344423473135,-1.419972122217402,0.40352254041282876,2,1,254,130,0,35,0
34,0.5011655011655012,-0.3,-3.857383061968985,0.28543292033027473,1,0,42,170,205,111,1
