trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
35,0.8638416368232568,-3.2966837694885656,-5.0,0.7,0,0,110,256,0,256,1
36,0.8625381820096905,-2.0647411561232785,-1.7057045924827685,0.07874894991647594,4,0,256,190,0,256,0
39,0.8609187381504109,-1.9380462527108562,-1.565577601683597,0.11396359135891013,4,3,74,256,140,113,0
5,0.8597469454392247,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
24,0.8595823678112492,-1.4222039320670765,-2.627646716616927,0.40436805686247934,4,0,8,195,136,0,1
9,0.8578115125342322,-1.5142589865228118,-2.4850924675702806,0.6566947147433332,0,1,101,182,115,219,1
16,0.8575218559089952,-3.1950318094164722,-3.8111216408602724,0.3529876318363706,0,1,130,256,5,143,1
15,0.857192700653044,-1.9943997802316673,-1.0,0.7,0,0,72,256,105,256,1
6,0.8568635453970929,-2.0402517889761995,-1.566762237971807,0.01780263895335812,3,2,197,128,53,220,0
28,0.8566923846639982,-2.0462545393838205,-1.586099585168951,0.1173781462741843,1,2,256,219,114,256,0
1,0.856626553612808,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
46,0.8558365809985254,-2.959396157776673,-1.809906678266365,0.7,0,0,8,256,225,0,1
14,0.8552836001685276,-1.2988870085194333,-1.0,0.7,0,0,92,256,256,256,1
44,0.8547306193385296,-1.170429330906015,-1.0,0.33643022594122685,0,3,8,256,256,256,1
43,0.8546252896566252,-1.9207176934542334,-1.0,0.5214832618316485,2,0,8,137,256,21,1
30,0.8529926795871076,-1.2861886642071108,-2.7897746176567897,0.5371101173345972,3,1,256,63,103,0,1
20,0.852492363598062,-2.926962110923499,-1.1650177597094817,0.5591619431473309,1,3,164,0,51,110,1
23,0.8520052138192542,-2.1194693704027388,-1.2831099728631328,0.26892996916190537,1,0,8,152,33,0,1
49,0.8512547398356856,-3.4077642172484417,-4.746696886387624,0.7,3,2,190,231,0,151,1
47,0.8500961133347377,-3.3931853672414656,-1.0,0.7,4,1,34,0,244,256,0
19,0.8500105329681902,-2.8875181148476585,-4.093213843596318,0.20145826058600136,1,1,55,256,62,216,0
37,0.8497274594480725,-1.8699937229011008,-2.822373450432656,0.0489141144109386,0,0,256,159,52,256,0
3,0.8495431325047399,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
50,0.8493983041921214,-4.0,-5.0,0.7,0,0,8,256,256,256,1
45,0.8465939014114177,-4.0,-1.0,0.3853341669189437,0,0,22,256,0,256,1
31,0.8459026753739204,-1.32877158008227,-4.830555282351133,0.7,0,3,8,78,2,0,1
2,0.8456591004845165,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
41,0.845527438382136,-1.9247234707769532,-2.3260491877440863,0.0,0,2,108,256,9,208,1
33,0.8436710027385717,-4.0,-1.7471440480214757,0.0,0,1,179,256,0,236,0
40,0.8428941963345269,-3.3297393230986603,-3.9330430928325697,0.0,0,0,193,256,34,96,1
29,0.8425255424478618,-3.27229615395962,-4.267663235225861,0.33215861677998954,2,1,256,217,127,0,0
34,0.8421042237202444,-2.6318596838934663,-5.0,0.37660893355071173,2,0,8,256,42,173,1
32,0.8402082894459658,-4.0,-5.0,0.0,0,0,256,256,0,0,1
18,0.8398133031388244,-4.0,-2.9297110447488395,0.40872200843750506,3,3,248,256,242,157,0
38,0.8398133031388244,-2.6227303100908603,-1.0,0.0,4,1,243,0,129,174,0
4,0.8388126711607331,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
42,0.8374697177164525,-1.6997982190809977,-2.6478742551735373,0.21339855143254713,4,0,60,256,108,256,1
17,0.8354816199705077,-3.4226116712714436,-4.431903619739955,0.0407473477451235,4,1,50,2,27,23,0
21,0.8337436802190858,-3.4817471999587917,-3.072643267788918,0.3048152418222227,3,2,87,0,182,206,1
48,0.8331380345481356,-3.616641759098084,-1.0,0.5286635619088241,0,0,8,0,103,256,0
26,0.8227498946703181,-1.7118377855575533,-4.628959277927571,0.0,1,0,8,81,114,0,0
25,0.8218545923741312,-2.629158090731493,-2.4188895245040265,0.0,2,1,256,119,88,256,1
27,0.8194188434800926,-4.0,-5.0,0.7,2,3,8,237,155,0,0
10,0.5121063303138825,-1.1186495125263112,-5.0,0.7,0,0,8,167,256,179,0
22,0.5006385611965452,-1.875781019691384,-1.0,0.6747920459113816,2,2,238,182,120,256,0
12,0.5,-0.3,-5.0,0.597587411286345,3,0,8,207,256,256,1
8,0.5,-0.3,-2.149907237344207,0.7,0,0,211,76,30,0,0
11,0.5,-0.3,-1.0,0.2697104784664012,0,0,8,229,256,256,1
13,0.5,-0.6407774173391303,-5.0,0.6903601682237341,0,0,109,59,54,0,0
7,0.5,-1.0321369060267962,-1.2233507047051493,0.40595397634971225,1,2,186,22,175,0,0
