trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
45,0.6882376081825334,-0.6835917657135973,-4.926662322048259,0.06392956410289895,2,0,8,106,0,0,0
12,0.6654209284028325,-3.895433220193163,-2.4969982039108674,0.0,1,0,179,133,14,9,0
19,0.6651996459480723,-4.0,-2.5367851085025395,0.14980385425040213,2,0,183,103,40,78,0
30,0.6626180173092053,-4.0,-2.8289660240018515,0.21403619996636047,0,1,169,246,0,2,1
13,0.6619295830055074,-3.2558472560401417,-3.6832349029827642,0.0,4,0,156,135,0,159,0
48,0.6605773013375295,-3.0814412682768215,-5.0,0.08188557322762759,3,3,108,92,0,256,1
20,0.6584382376081827,-3.482073336872028,-3.0671782426932146,0.044173056593431376,3,0,242,70,42,30,0
40,0.6577006294256491,-2.7994326475656006,-4.3899267496634025,0.0864916765090797,1,3,246,128,0,29,1
8,0.6557336742722266,-3.1601623947319855,-1.3627345031193103,0.38797743617923525,2,3,157,92,12,173,1
43,0.655119000786782,-3.1325358558053362,-2.975093893997076,0.6893003936635008,0,0,157,68,0,92,0
27,0.650177025963808,-4.0,-3.4883251463693132,0.006473601146379789,3,0,200,154,34,1,1
39,0.6470544846577497,-2.947610701426189,-1.4706998286550856,0.4992048815842406,2,0,256,105,0,224,0
22,0.6467840283241543,-3.8020150057633955,-2.4735569307339476,0.0,4,3,106,54,0,224,1
34,0.6432680959874115,-2.822959135630805,-2.063647240393338,0.0,2,1,191,228,0,32,1
2,0.6349331235247837,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
3,0.6347118410700237,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
24,0.6339988198269079,-3.148028508823466,-1.0,0.31995156771434546,3,0,226,52,7,118,1
11,0.631515538945712,-3.0555657937639342,-1.1834337589006676,0.0,0,1,150,51,175,69,1
26,0.6309254523996853,-4.0,-3.1344146820236176,0.046991413412754084,3,0,130,195,194,244,1
41,0.6305320613690009,-3.000466056354158,-2.2506277998370217,0.3162146188035217,0,1,250,256,0,116,1
42,0.6261555861526358,-1.8227931204659522,-1.1911355109152928,0.06928306475797423,3,3,214,144,182,14,1
35,0.6222462627852083,-2.377353190215059,-3.0906574574292076,0.0,4,0,159,99,140,183,0
18,0.6221233280881195,-3.943975872825293,-1.272879842574402,0.0,4,2,162,121,29,122,0
6,0.6220987411487018,-3.2573624812189683,-2.392349573068192,0.015258956484330722,4,1,195,102,15,46,0
36,0.6217668174665617,-2.7033463655550336,-4.7704352238034256,0.08103699644698609,2,0,140,256,50,81,1
7,0.6205743509047994,-3.9782243821761485,-2.48218720821477,0.19027961137567978,2,3,71,178,160,43,1
21,0.620500590086546,-4.0,-5.0,0.36198783002619056,2,0,128,127,7,110,1
5,0.6199596774193548,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
4,0.6137145948072384,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
33,0.6131982690794651,-2.7526771441555935,-2.126506758758444,0.3880308130784168,1,3,79,125,57,74,1
1,0.6131736821400472,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
16,0.6077645554681355,-2.0870250528698975,-4.137257447713785,0.13028532406730006,2,0,176,0,177,37,0
44,0.6045436664044059,-3.210977985425443,-2.389221468041715,0.18898584011257782,3,0,8,203,101,13,1
28,0.6039044059795436,-2.413397674477814,-1.1024745101107647,0.3265130685532588,1,3,190,63,122,188,1
17,0.5866566679779701,-3.3021979412077576,-4.995205813507193,0.4133454933073006,4,1,172,112,121,254,1
38,0.5795141620771047,-4.0,-4.567239417048604,0.0,0,1,129,211,220,29,1
9,0.5783339889850512,-3.273513675511479,-3.05249445498073,0.7,1,3,214,42,48,27,1
14,0.5736624704956728,-2.5238363117387297,-4.930754306748692,0.7,3,1,8,256,0,144,1
29,0.5719905586152636,-4.0,-2.6233958763554286,0.28152633174380765,4,0,216,189,236,31,1
46,0.5710808418568056,-3.7473663270964583,-1.0,0.05563524042022012,0,2,99,38,0,255,0
15,0.5475265538945712,-1.4208440297241034,-2.5498076886871766,0.6545479992984718,1,2,177,173,128,33,0
49,0.5349134539732494,-0.33449299291712276,-3.1039704147895275,0.48441393585685527,4,0,256,180,0,256,1
25,0.5200383556254918,-3.9398980501245133,-1.0,0.6020338287328132,1,3,108,204,0,162,1
10,0.5153176632572778,-3.9790292964957445,-1.2324797383923678,0.03763316082205397,3,1,29,17,118,20,0
23,0.5,-1.7730057072045016,-1.0,0.5324394103067879,3,0,29,192,26,256,0
37,0.5,-0.6697487708094898,-1.13123619640837,0.0,0,2,76,88,0,200,1
47,0.5,-0.5714898895559775,-1.0,0.5323455357928764,2,0,88,47,256,0,1
32,0.4785478953579858,-4.0,-3.0439474697202806,0.17613389641727206,0,3,109,90,134,104,0
50,0.47472462627852086,-0.3,-1.0999604136470427,0.04102918138124121,2,0,8,90,84,0,0
31,0.4482690794649882,-4.0,-2.7524019374387434,0.18463727815671496,1,1,165,0,3,21,0
