trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
31,0.8451985922574159,-1.9209734470237234,-4.153125288275679,0.15300309362936254,0,3,38,223,131,113,1
18,0.8451147980559746,-1.4317762538598324,-3.6639231346202914,0.13834832892325388,0,3,35,164,109,111,1
43,0.8443941679235797,-1.274113146785187,-4.419304329410712,0.2575473910958277,0,3,115,190,123,30,1
35,0.8442600972012736,-1.6965144707578759,-4.69867876157262,0.25741002905825927,2,3,184,185,50,164,1
44,0.8441763029998324,-2.407487504332823,-3.7197412369734493,0.2360540489756398,0,3,235,177,137,57,1
46,0.8422406569465393,-1.9927072324539732,-4.944165331606952,0.15408343720294468,1,3,48,156,15,0,1
50,0.8416457181163064,-0.3,-5.0,0.36128186865581635,0,1,106,256,71,24,1
25,0.8415786827551532,-1.5759238447971922,-4.817325207151705,0.06521946945856649,2,1,70,155,241,90,1
21,0.8413440589911179,-2.4857183147011055,-4.877487861739356,0.18876945591763714,2,3,130,119,122,105,1
47,0.8396514161220043,-1.8133843546988118,-3.8691613665711952,0.2089325600060018,4,0,24,191,153,27,1
11,0.8396178984414279,-2.8397477343646864,-1.1935837212348939,0.012902066801521152,1,3,98,53,84,55,1
37,0.8391318920730686,-2.7387888786988377,-5.0,0.17151394227021194,3,0,36,236,46,66,1
41,0.8370286576168928,-0.3619967004604563,-5.0,0.10528956663510647,3,0,214,182,137,57,1
14,0.835964471258589,-3.2755042608215055,-4.688665530636767,0.014322278662255083,4,2,29,85,87,57,1
48,0.8358304005362829,-2.0964929605992975,-5.0,0.30936115533691755,0,0,237,256,236,110,1
33,0.8357968828557064,-2.203233385478298,-4.125181367145486,0.0,1,3,130,153,242,148,1
32,0.8357801240154181,-1.0287390535463676,-4.486340493879164,0.14274969202805793,3,3,64,256,49,20,1
17,0.8346237640355286,-2.105229292185409,-1.4845330350185577,0.060259360783255875,1,3,178,4,101,53,1
34,0.8335679570973689,-2.216576956486173,-5.0,0.10183439398014037,1,2,8,89,137,186,1
24,0.8314395843807609,-2.212483317710479,-1.9782428129208753,0.1765568784673813,2,3,143,52,112,121,1
4,0.8307859896095189,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
10,0.827853192559075,-1.3416706673375822,-1.6219785915132414,0.4035766203078207,1,1,225,195,18,161,1
3,0.8276856041561924,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
36,0.8266800737388973,-3.2670101570526913,-2.5883292761784604,0.0,3,1,203,0,167,136,1
26,0.8264119322942853,-1.7426748416161724,-4.304931002804049,0.19581434941524004,1,1,159,38,17,155,1
42,0.8242165242165241,-2.5735195487979072,-4.533552776137017,0.00552550738859574,4,3,23,198,89,152,1
49,0.8238981062510473,-0.8975433694710286,-5.0,0.0,4,3,127,114,156,124,1
15,0.8224400871459695,-1.7458803536905112,-2.331851319665048,0.0047133699678549084,0,0,194,143,25,42,1
27,0.8215853862912686,-3.136393385305462,-2.718464031547337,0.0,3,3,187,0,135,196,0
20,0.8212502094855038,-2.6452068957951926,-3.6455077955465165,0.11061504829038447,1,3,28,248,76,75,0
1,0.8201776437070556,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
29,0.819741913859561,-1.7308537923641771,-3.4255914026353524,0.43751728756016334,2,3,18,77,218,71,1
9,0.819624601977543,-2.0449478593333597,-1.2699896389382914,0.002975217457118002,2,0,138,198,196,232,1
13,0.8182001005530418,-2.7710814935456822,-1.0447214464069465,0.03410307609839741,1,1,203,231,1,121,1
45,0.8165744930450812,-3.7012709216989106,-5.0,0.24860147983824832,1,3,134,147,172,79,1
40,0.8163398692810457,-3.021850714978698,-1.0,0.24911563501652417,1,1,73,0,157,132,1
5,0.8159879336349926,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
8,0.8146975029327971,-0.4847749615465893,-1.9640901919353175,0.056664145020672824,0,3,77,222,165,88,0
23,0.8138763197586728,-1.2439893134347444,-2.159735897211652,0.1873590706916679,2,3,9,87,199,120,0
28,0.81356628121334,-0.8904939110214811,-1.1188115497060607,0.2845535336958867,0,3,91,141,45,99,1
38,0.8128205128205128,-3.998834098852589,-4.461437177552359,0.6711408766980281,1,2,140,236,160,88,0
39,0.8124518183341712,-3.987711692911253,-1.3379431718265256,0.14485474506313534,0,3,183,221,255,14,0
7,0.8117647058823529,-3.7995811548544767,-4.975108632980926,0.7,4,0,56,23,243,256,1
2,0.8108764873470755,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
6,0.8102145131556897,-1.640499451144863,-1.6581254355658204,0.66621564456291,4,1,13,98,157,159,0
22,0.8055471761354115,-3.9851556939477453,-1.5529885183678962,0.0,2,3,20,254,58,99,1
12,0.8050779286073404,-3.0565005673662253,-3.7014797280399456,0.6868570911516638,2,1,201,253,189,43,1
19,0.8043908161555221,-1.1505775310350215,-1.1047121406329032,0.0,1,2,153,194,109,161,1
30,0.8028406234288588,-1.3119972144682768,-4.2949947402475175,0.23054858614997434,1,0,236,216,17,208,0
16,0.8021451315568963,-0.69490563254565,-1.8169296200080032,0.0,3,2,166,40,246,0,1
