trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
36,0.6331133655077317,-2.6889498496355806,-4.318938675527725,0.1411019217414906,3,0,8,167,166,0,0
11,0.6311763354016875,-2.6298523199735038,-3.1943482044068663,0.15290423393381605,2,0,60,148,155,0,0
50,0.6306182080829968,-2.227997646584271,-2.4989292523946163,0.0,3,0,45,195,20,110,0
19,0.6289438261269248,-0.6830924196042649,-5.0,0.645586294303941,3,1,60,235,0,256,1
44,0.6279260645457829,-0.8806099151741025,-5.0,0.117091780323705,2,2,100,140,135,0,1
43,0.6269083029646412,-2.855361730165891,-5.0,0.051971621522290214,2,0,235,11,8,0,0
9,0.6249384418398504,-1.8685302878873022,-3.853458489125776,0.6245069598480136,2,2,132,44,117,21,1
28,0.6234282149775107,-2.342607953457134,-4.026903949527582,0.4924851502869464,2,0,70,31,79,10,0
37,0.6223776223776224,-3.8627117727696385,-4.837961045887975,0.09166003747638797,3,0,8,189,234,95,1
34,0.6203420992153386,-0.3,-5.0,0.21903130236069326,3,1,54,53,69,213,0
23,0.619980958009127,-1.7792594571782154,-5.0,0.032640131066418526,3,2,182,98,99,24,0
27,0.618766210315506,-0.8287276361722471,-4.833364123829249,0.4118365536545998,1,1,43,121,193,65,1
10,0.6187333792967595,-3.3278742473385665,-5.0,0.17687236969784628,0,1,50,208,117,0,1
15,0.618503562165534,-0.9119291238109324,-3.6556597548060363,0.18249653963061832,4,0,104,2,128,0,1
46,0.6177484487343642,-3.2984631164789278,-4.382567613706028,0.284997531153395,3,0,8,113,89,0,0
14,0.6164680390032502,-3.146611655869547,-3.8405714635423793,0.25318171591439287,1,2,38,256,152,0,0
1,0.6156144325158409,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
33,0.6127909649036409,-2.181991618438544,-5.0,0.3030850858122463,2,3,8,99,122,0,1
42,0.6119373584162316,-1.5674422472589198,-3.6699921369941526,0.5440827152409168,2,2,113,74,119,23,1
17,0.6104927935913852,-3.9746544290118724,-3.9713066771550363,0.6688479092295615,2,2,133,108,183,0,0
32,0.609967497291441,-0.6061853776253785,-5.0,0.14030396525845185,3,2,8,0,139,0,1
31,0.6075380019041992,-0.3,-2.1424074000499878,0.1923941765271251,3,3,36,154,15,178,1
22,0.6050756754982108,-3.3840287979530035,-5.0,0.014034610425364203,3,0,255,159,122,256,1
18,0.6046160412357596,-3.6696240641712317,-3.2355029051672686,0.6662479118198645,3,2,123,207,201,24,0
8,0.5997242194425293,-3.6612675215575656,-2.6741718653001594,0.055918265502460235,1,2,47,201,98,0,1
30,0.5994944023113036,-0.3,-5.0,0.0840933825398753,1,3,220,256,182,0,1
47,0.5974917101677665,-1.743794388653189,-5.0,0.36937067178112526,2,0,251,241,16,0,0
45,0.5903017170622804,-1.9558378973775907,-5.0,0.08809574387781391,2,0,104,70,30,0,1
21,0.5898092517810828,-2.2140092922249366,-4.135906223924693,0.26101391212700725,1,0,14,93,256,15,1
40,0.5884631800124759,-2.2823894797759716,-3.964974135698818,0.0024647957812539527,1,3,43,136,162,0,1
13,0.5869201221313898,-0.6755577196762994,-3.940069260985606,0.42863467171183184,1,2,221,1,8,0,0
2,0.582192455431892,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
6,0.5805344889851932,-0.3730148039414205,-2.909211947985409,0.4580913183740086,2,3,177,66,84,253,1
4,0.5756262516825896,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
3,0.5751666174201384,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
7,0.5652844807774385,-3.413483850841469,-2.4181696247688693,0.40129878768526617,1,2,8,182,33,196,0
5,0.5628221543714501,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
41,0.5605239830591943,-2.9433737575040593,-1.9875067664121104,0.5122102122160176,1,2,8,71,169,0,0
12,0.5574214517876489,-3.592897524113855,-1.463270469897493,0.6853742421962009,2,1,152,182,177,0,1
39,0.5571095571095571,-2.8939130256068877,-3.988450506193125,0.22253045715340675,3,1,8,116,116,151,0
24,0.5563544436783874,-1.920256418266896,-1.0,0.6912865616757864,1,1,136,210,256,256,0
16,0.552349059391313,-4.0,-3.0830602170427426,0.2396178838772658,1,1,243,185,196,192,1
38,0.5512984667914245,-2.174739269198369,-5.0,0.2771065311812532,3,1,8,183,235,0,0
35,0.5369513115991988,-0.3,-1.0,0.6359732012955753,3,1,256,210,10,256,0
20,0.5128533438392593,-2.5050474299729455,-5.0,0.44666561505118685,0,1,8,231,53,182,0
48,0.5011655011655012,-2.0132955760781197,-1.0,0.6675176047450653,4,0,173,41,49,0,0
29,0.5,-0.7087115179063206,-4.202582535045682,0.6730622290824415,0,0,75,149,163,8,0
26,0.5,-0.32565048597298096,-5.0,0.7,4,2,166,249,0,256,1
25,0.5,-0.39831526626196956,-4.2535767600889915,0.17534628598009455,0,0,168,218,0,256,0
49,0.5,-0.7262138196201899,-3.6571755027302526,0.46947112284690773,3,2,189,163,2,0,1
