trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
9,0.6201451131028596,-3.4085449316910528,-3.6902224367135066,0.10964026293066369,0,0,19,143,156,148,0
28,0.618569224203027,-3.442398981170193,-3.088872971995656,0.6673510502923947,3,0,227,144,221,83,0
24,0.6176827866968713,-0.6863515976958827,-5.0,0.0699596329351805,1,2,170,101,0,173,1
6,0.6172231524344199,-4.0,-5.0,0.0,4,3,8,0,0,0,1
44,0.6162382218720247,-2.555110068832262,-1.9949883774707646,0.3009349950380134,4,2,211,253,65,219,1
3,0.6152204602908828,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
13,0.6133490922223316,-0.7752886223459456,-3.6484079973967534,0.5702584620108166,4,0,198,104,124,64,1
32,0.6114777241537804,-0.46112595189617256,-5.0,0.6893429377192798,1,1,158,213,228,228,0
15,0.610427131553892,-3.257653426526831,-3.8745686882987784,0.5458243577961432,1,0,245,111,114,2,1
39,0.6083916083916083,-1.8173670012141754,-3.7232837737171662,0.7,0,3,211,174,240,3,1
21,0.6075051708854525,-2.998719194842171,-4.256781888755211,0.22909505027373409,3,3,126,116,256,174,1
18,0.6070455366230013,-3.6113099194889435,-3.3884235447301965,0.18726072023942694,2,2,26,156,133,121,0
1,0.6069470435667618,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
31,0.6057487113825141,-3.3882336388865446,-5.0,0.25549043878871747,3,0,109,10,69,235,1
37,0.604911520404478,-3.4147798679938672,-3.1197420519101633,0.6630878265541746,3,0,94,253,136,148,1
33,0.6037296037296037,-3.1563786523818185,-3.8611879651513874,0.27593153159779227,3,2,164,211,157,45,0
45,0.603302800485899,-3.571265455566297,-2.1129366711653224,0.5935642758696069,0,1,174,241,183,183,1
8,0.6008733050986572,-1.6807206746570325,-5.0,0.6401247500748984,1,3,141,231,32,64,0
48,0.6007091500049246,-2.308773360098889,-3.4113327064977126,0.43480565875684063,3,2,228,144,122,221,0
4,0.6003808398174596,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
12,0.6001838537049804,-0.3165488968753527,-4.251431442440186,0.4415461768752242,0,1,177,230,63,200,0
36,0.5985423027676547,-0.3358825536955643,-4.402872813167062,0.3972204801329058,2,1,202,104,17,36,1
49,0.5984766407301618,-0.6962355788090626,-5.0,0.013780320313429583,1,1,184,10,23,0,1
20,0.5975902032240059,-1.7104885778683538,-4.147277929389472,0.06579824360921248,2,0,60,151,236,20,0
7,0.5954561870054826,-2.860252703608274,-1.0007768718105892,0.21411738190585378,0,3,88,142,2,92,1
35,0.5935191568994386,-3.385369673778567,-4.958032953021068,0.37198737190528763,2,2,121,254,156,8,1
43,0.5912209855871827,-1.6536565710316098,-3.678327915188006,0.13352683328787887,4,2,183,238,159,252,1
11,0.5909911684559572,-1.13814519270329,-4.265008174060784,0.3747717711934156,0,2,68,0,206,148,1
16,0.587773728618799,-3.088038290562955,-3.3731161247658425,0.1852233937270724,0,0,77,255,103,94,0
22,0.5827177517318363,-2.7108871070988134,-1.344629570964817,0.034608329604840435,3,2,9,83,161,185,1
38,0.5818313142256802,-1.4925265382076818,-3.321495534242726,0.4310892138529023,4,0,235,90,29,52,0
29,0.580649397550806,-1.911905520336064,-5.0,0.2519885482870591,0,2,70,140,79,251,1
42,0.5806165665320594,-3.645387382357096,-4.331362204199811,0.27071677172608627,2,1,186,186,186,4,1
40,0.5802225943071013,-1.9538637982244813,-5.0,0.21606981077910523,0,2,145,73,11,198,1
46,0.5799927771758757,-3.0294879426562833,-1.1091874675483342,0.38921506717181864,3,1,62,255,224,56,1
27,0.57487113825142,-0.3444647576384381,-2.350559855282739,0.0763722223456275,3,0,165,114,181,0,1
47,0.5748711382514199,-2.1379267324598437,-2.4579129369407213,0.651737766352565,4,2,66,256,73,42,1
50,0.573722052595292,-0.7214542210839783,-4.137270453552691,0.6846208383907021,1,2,177,146,172,174,1
2,0.5656456219836502,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
10,0.5656127909649036,-4.0,-5.0,0.2916245149702271,4,1,77,132,256,227,0
34,0.5643652122525361,-3.3864254826609628,-1.1136724553165154,0.3729259375918913,1,0,118,1,227,87,0
14,0.5636100988213665,-2.4553958168146157,-5.0,0.6363561815316698,4,1,59,36,232,195,1
41,0.5634459437276338,-3.91473954330003,-4.028862594007226,0.5353739010252004,0,0,104,98,32,203,0
19,0.5597688696280245,-3.411597927679362,-1.2782527114687916,0.03912582623700404,1,0,47,145,0,182,0
5,0.5581601497094455,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
23,0.5578318395219803,-3.181325176478895,-1.3855356662995164,0.6826746313391766,3,1,237,204,0,54,0
25,0.5484257526511048,-2.0458010935298585,-5.0,0.0805641388205553,0,1,8,172,205,226,0
26,0.5424176762204931,-0.5383001840657906,-1.4262987759580348,0.6352562053076045,4,2,219,7,157,9,1
17,0.5,-0.6721215982862891,-4.288440813797609,0.2638216712325375,3,0,234,116,228,197,0
30,0.5,-0.7870271365013193,-3.623593119056737,0.1383998158881538,3,2,211,82,6,151,1
