trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
44,0.9361424756618095,-1.0523398878169297,-1.3926571650983712,0.6885482392304905,0,3,11,14,132,12,1
7,0.9357587417733763,-0.6058625806415341,-1.6534419474256423,0.012779340441756564,1,3,233,164,0,131,0
30,0.9346916461658151,-0.677979824709273,-4.426962396052609,0.04660906838595994,4,0,230,191,161,223,1
39,0.9326941272945184,-1.6604205705925779,-2.3275249258205353,0.1511223443481519,4,0,32,243,61,245,1
45,0.93241026934965,-3.9069847640493,-1.305179624151593,0.23478391330505427,0,0,14,7,123,234,1
3,0.9322105174625203,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
28,0.9298555478458336,-0.88341269365917,-4.995625101587887,0.07527310570849759,4,0,62,39,126,229,1
1,0.9290565402973149,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
8,0.9278475157173195,-4.0,-1.0,0.0,4,3,256,0,183,256,1
46,0.9271851805126264,-0.37710122744408014,-4.645618487915168,0.5555679360352503,0,3,256,237,109,157,1
14,0.9267751634811499,-0.9859937772999179,-4.7433463061909364,0.32706283036377504,1,3,82,0,256,36,1
13,0.9264597657646292,-4.0,-1.0,0.5622599044498777,0,0,256,256,93,256,1
5,0.9264177127357598,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
4,0.9262600138774996,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
31,0.9260287222187178,-2.1477766509061134,-5.0,0.7,4,0,256,0,0,232,0
11,0.9257974305599362,-0.3,-5.0,0.7,0,0,256,256,108,256,1
35,0.9255451123867197,-1.9413180209857255,-4.883141697545501,0.38046750213317987,0,1,236,48,214,255,1
42,0.9255135726150676,-0.39710233423973973,-1.0650659376005378,0.02917186275703784,4,3,242,25,82,4,1
36,0.9250194495258521,-3.4792013609201113,-1.9198949468216084,0.5790053965776056,3,3,233,138,256,233,1
10,0.9245884059799407,-0.3,-1.0,0.0,4,3,8,256,256,256,1
41,0.9242099287201162,-3.6435986300285057,-1.259887023138178,0.0378744496067117,4,3,119,249,112,199,1
48,0.9240732563762905,-1.0443344194706996,-4.743551499682435,0.05718401710338827,4,0,26,14,57,242,1
19,0.9238945310035955,-1.8884914969169864,-5.0,0.0,4,3,224,0,116,0,1
26,0.9231480897411637,-1.4070275508827788,-3.5106140626487807,0.5526349966067317,2,0,8,167,0,93,1
33,0.9226960196808176,-1.4461293947796339,-2.174814239283933,0.0096444686345499,1,1,256,40,256,38,1
25,0.9218339325889947,-3.6145953834471496,-4.2159122002111,0.6840034137931749,0,0,225,168,204,19,1
23,0.9216867469879519,-0.40529521562314486,-1.4843490859078559,0.011335787152806276,3,3,38,129,141,249,1
21,0.9216446939590824,-4.0,-5.0,0.7,4,0,256,256,256,0,1
40,0.9197943606888286,-3.2279308825215542,-3.976443874778914,0.03941473322556946,4,0,211,244,50,61,1
50,0.9194579364578734,-3.2021183792351877,-3.418520672531831,0.6894832479715011,2,3,208,1,71,16,1
47,0.9188376542820497,-3.64384788058055,-1.3566109741829186,0.6925662452415576,4,0,33,204,115,40,1
18,0.9186063626232679,-2.6550539838558302,-5.0,0.0,4,0,256,0,0,256,1
17,0.9160936941483211,-4.0,-1.0,0.7,0,0,8,0,157,0,1
2,0.9145587585945878,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
43,0.9145272188229359,-1.1771475479240814,-3.133669465950052,0.008903071341010772,0,1,233,202,256,220,1
32,0.9145167055657185,-2.0973928485112245,-1.0,0.7,4,0,256,256,180,256,1
9,0.9144220862507622,-4.0,-5.0,0.7,4,0,8,0,35,207,0
24,0.9131920351563321,-0.45302032603017084,-1.7963570855077005,0.09874303222610863,0,1,64,128,256,236,1
12,0.9125612397232911,-0.3,-5.0,0.0,4,3,8,256,209,0,1
29,0.9072310183140941,-4.0,-5.0,0.0,0,0,8,25,90,0,1
34,0.902615698395677,-0.5086394202496263,-4.900743225349044,0.1316179671643061,4,2,253,98,139,79,1
20,0.9015486027881159,-4.0,-1.0,0.7,0,3,256,0,49,256,1
15,0.8932063331861477,-0.3,-5.0,0.1763327293109428,0,0,256,0,27,0,0
37,0.8882335625223408,-3.6830831591907964,-4.747222675444203,0.6922293709357521,4,3,150,60,222,250,1
27,0.8859521857061755,-0.36891110721300935,-2.1152585419353325,0.6962924396017147,2,0,46,256,3,60,1
38,0.874944805399609,-0.750247616502699,-2.150240122417446,0.003986948981832807,1,2,178,5,0,29,0
16,0.8680165688933745,-4.0,-1.0,0.7,4,3,8,256,5,256,0
22,0.8533610883323872,-3.893989121509074,-2.8397249859061993,0.0,0,3,35,19,84,178,0
49,0.8287916062154377,-0.6703431883730673,-1.0707569476766605,0.2733766500353121,1,0,13,243,160,240,1
6,0.5,-0.3,-3.2110516265633082,0.13039846283710946,3,0,208,47,256,132,0
