trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
28,0.7269123033828917,-3.5386144708734375,-5.0,0.1586474454491841,2,0,89,242,256,0,1
39,0.7167636285283344,-3.1272967258507554,-3.948777913118073,0.17286941780353146,4,2,101,223,256,0,1
46,0.7166343460461108,-3.1789334844213175,-2.315013406493078,0.14553841257136363,4,0,98,256,166,0,1
30,0.713747037276449,-4.0,-4.138787490606353,0.19829471175684038,3,2,61,145,256,256,1
26,0.7137254901960783,-3.703981338613231,-1.4635748870463128,0.0,4,0,42,214,0,256,1
19,0.7128636069812541,-3.9474492065340447,-1.0754629774922693,0.09127998526867671,3,0,69,178,0,124,1
41,0.7125188536953242,-4.0,-1.7390702751891611,0.05321077514302086,4,0,48,218,256,256,1
29,0.7118939883645766,-0.9029463652915495,-5.0,0.12795596472234438,2,1,76,25,256,0,1
20,0.7098254686489981,-2.9717656840449855,-3.298567205034377,0.07039518528609273,2,0,10,197,0,256,1
35,0.7080370609782375,-4.0,-4.711027279770503,0.10744573386372047,2,0,60,231,215,205,1
47,0.7072613660848955,-2.468212010734641,-2.8254346269803565,0.0,4,1,43,76,209,152,1
9,0.7050204697263521,-3.4723118648191544,-4.473326599548237,0.09544020130624457,4,1,157,84,191,68,1
16,0.7047834518422754,-2.5605766410099955,-3.11233825573716,0.18164849327262203,4,1,48,235,45,103,1
32,0.7047619047619048,-3.523785785812164,-1.7606129187285924,0.15948397347556045,3,0,66,178,149,175,1
44,0.7040077569489335,-4.0,-3.3840809385932538,0.16572908689873786,0,2,51,199,0,256,1
43,0.7014436543848309,-2.975775974092807,-1.0558262507910796,0.0,1,1,40,37,0,256,1
11,0.6989441930618402,-2.9389847623517587,-1.9972192732657703,0.0,4,1,75,111,130,46,1
12,0.6983624218918336,-3.6980575151654485,-2.6420911252672923,0.0644713756175526,0,0,68,31,36,0,1
23,0.6978237448825685,-3.342163119865496,-1.1599429880781207,0.1259530220254288,4,1,156,179,0,165,1
48,0.6929756517991812,-4.0,-4.5107385436832494,0.0,4,2,188,92,3,143,1
3,0.6911872441284206,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
13,0.689226459814695,-4.0,-5.0,0.0,4,0,8,256,256,91,1
14,0.6891402714932127,-2.837176499220439,-2.627362927940863,0.011506507474378314,2,0,256,187,113,13,1
18,0.6888601594483948,-1.7045515635112745,-4.382222315547004,0.18220114654814276,4,0,229,119,109,56,1
37,0.6871579400991166,-1.0311574455474855,-3.4853457353399673,0.0,4,3,8,13,63,256,1
45,0.6866192630898513,-4.0,-2.8393821778301502,0.04711732419426917,3,2,117,171,64,33,1
40,0.6834087481146305,-0.7617279814579812,-5.0,0.0,4,1,234,44,194,117,1
24,0.6807800043094161,-3.6400729141060713,-5.0,0.0,4,2,132,248,256,225,1
4,0.6806076276664511,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
50,0.6789485024779143,-4.0,-5.0,0.0,0,2,8,254,0,256,0
42,0.6748761042878689,-1.375414910770374,-4.51152743970809,0.0,4,3,256,212,54,0,0
21,0.6709114414996767,-0.37311973984638813,-4.114359032540557,0.0,3,3,205,223,0,88,0
27,0.6617108381814264,-1.4780175942713467,-2.8885372556186555,0.0,2,1,65,29,256,0,1
33,0.6427709545356605,-1.3152679587011846,-3.3308200208958105,0.0,4,0,256,186,52,93,1
34,0.6388062917474683,-0.9768048439807817,-3.3864689207722702,0.04970028947620644,3,0,136,241,109,233,1
17,0.6220318896789485,-1.2089548702086406,-1.0356451611016788,0.12097889178679985,2,3,8,94,108,107,1
38,0.6178194354664943,-1.5074519633766559,-3.15502601252044,0.7,2,0,202,141,11,210,1
22,0.5922538246067658,-1.1085610834253625,-1.6617319328519504,0.0,4,3,170,151,256,146,0
5,0.5918336565395388,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
2,0.5908424908424909,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
15,0.586188321482439,-0.31334934249735324,-2.855848670790607,0.7,3,0,35,118,37,0,1
1,0.5838181426416721,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
25,0.5831717302305538,-4.0,-5.0,0.06458767438837534,4,0,8,256,0,0,1
7,0.5573367808661926,-2.4627150828312847,-4.929686868414157,0.4846595096577893,3,1,70,24,169,109,1
10,0.5438698556345615,-2.308557476435445,-4.786434456849317,0.529612492648192,1,1,137,32,176,145,1
36,0.5312109459168283,-3.921620357534485,-5.0,0.1612477736741614,4,0,110,51,169,193,0
6,0.5292824822236587,-2.4267992807774634,-3.4057464488238938,0.5626806480541028,1,1,163,223,256,171,0
49,0.5,-0.3,-4.3471560410530765,0.7,0,2,8,55,217,0,0
8,0.49674639086403793,-3.221654956524219,-1.3963120114220389,0.2866240981524575,2,0,155,230,0,84,0
31,0.49409609997845294,-4.0,-5.0,0.16616281344502112,1,1,210,215,256,0,1
