trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
37,0.6647705235940531,-3.1013287593399435,-2.237375108923467,0.0,3,0,256,256,0,256,1
17,0.6645119586296057,-3.0455383091156745,-5.0,0.028886241294760306,4,3,256,87,209,165,0
47,0.6629174746821805,-2.6627879725985557,-3.1805409109526304,0.15529572855478144,4,3,238,191,168,79,0
7,0.6595561301443654,-2.65635118427647,-4.639042801895184,0.2955193589627627,3,3,182,0,156,166,0
33,0.6583279465632408,-3.196277130982211,-4.553055090202625,0.12369153742046106,3,0,256,256,18,84,1
22,0.6582417582417582,-2.800685070863577,-5.0,0.043384099511228943,3,3,116,93,223,146,0
34,0.657142857142857,-2.3354320302052014,-5.0,0.02655378599915828,4,3,65,18,130,256,0
35,0.654664942900237,-1.621255730006446,-5.0,0.18394054089642334,4,3,175,68,161,95,0
15,0.6545141133376429,-3.611592564867946,-4.134029274501333,0.006733349204603682,3,1,20,224,51,173,1
45,0.6527472527472528,-3.955844293007662,-3.632710555198311,0.0,3,0,49,93,11,94,1
40,0.6501616031027795,-2.9545106155184815,-3.1121883758951805,0.0,3,0,256,256,0,179,1
42,0.6493212669683257,-2.8990450852417986,-5.0,0.23618003968365398,4,3,42,76,150,155,1
20,0.645162680456798,-1.7847578849924761,-5.0,0.0884604107685009,3,3,256,147,98,248,0
18,0.6449903038138332,-3.628301293676707,-4.792368075285168,0.0,4,0,256,19,111,187,0
41,0.644343891402715,-2.85816035695079,-1.740359383880742,0.0,4,3,198,25,70,135,1
26,0.6433096315449256,-2.617934613924735,-1.0,0.0,3,0,8,52,0,46,1
43,0.641025641025641,-2.6369983765762024,-5.0,0.0,3,3,256,101,145,234,1
9,0.6407024348200818,-2.464724724905242,-2.7392799964115295,0.13395644311144528,3,2,200,0,129,184,0
39,0.639862098685628,-3.625338889119337,-1.296569595964074,0.20763646418613182,3,0,256,229,0,200,1
29,0.636328377504848,-1.5509168196756495,-5.0,0.0,3,2,250,0,256,4,0
14,0.6353803059685413,-1.3495610000177378,-5.0,0.6090552546234154,2,2,247,110,2,156,1
4,0.6321482439129498,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
46,0.6313079077784959,-3.593958520763824,-4.4924992790893254,0.0,2,0,113,251,256,216,1
30,0.6267614738202973,-2.154226915123319,-5.0,0.10373813534891485,4,2,174,164,241,203,0
48,0.6241542770954536,-2.6637878936328616,-4.932716370526077,0.19321500109672912,3,3,9,21,247,227,0
23,0.6205128205128205,-0.6518846426280334,-3.2561583332614354,0.0,4,3,101,195,80,204,1
24,0.6177332471450119,-2.7727353619882615,-5.0,0.09168395409628072,3,1,207,99,0,256,0
31,0.6175824175824176,-0.7533338386115478,-2.9060234772491964,0.0,4,3,207,0,244,220,1
28,0.617065287653523,-3.9638054673097747,-3.2858050248572415,0.0,3,3,8,175,201,32,1
3,0.6159879336349925,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
13,0.6146735617323853,-2.21532971795604,-5.0,0.6961924404409485,3,2,245,246,207,189,0
1,0.6114199525964232,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
16,0.6110751993104935,-1.5850520244735637,-5.0,0.6953273817750675,1,3,18,223,138,171,1
21,0.6105149752208576,-4.0,-5.0,0.22577227495077634,4,2,256,26,35,26,1
49,0.6090282266752856,-4.0,-1.3181318822153694,0.7,0,0,8,156,85,203,0
2,0.6049773755656109,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
27,0.5934927817280758,-1.2362854896295286,-5.0,0.0,2,3,195,66,0,182,1
6,0.5913596207713855,-3.5137741834355065,-3.4041670917802653,0.23944210107207148,2,3,99,256,246,12,0
25,0.5899375134669251,-3.9311585998702157,-5.0,0.0,4,2,8,45,164,112,1
11,0.5874595992243051,-1.7529959464051164,-2.446666400772236,0.4440687007756574,3,1,16,29,186,157,0
36,0.586640810170222,-4.0,-4.892314378016341,0.5693657755247721,2,3,207,96,166,37,0
10,0.5862314156431804,-3.0198126121445243,-3.5971287818088618,0.3377793697634752,1,3,163,15,103,6,0
32,0.5856711915535445,-4.0,-4.016270291399212,0.0,4,3,132,233,256,170,0
12,0.5823744882568412,-2.176297550322608,-1.352443441855502,0.6615888865098543,4,3,169,0,160,141,0
38,0.5823313940960999,-1.2486781065118646,-3.0548819224929633,0.0,2,0,256,256,0,60,1
44,0.5813833225597931,-2.9859992774494124,-5.0,0.10086334948539696,4,1,218,131,142,29,0
5,0.5793148028442145,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
8,0.5782159017453135,-0.3,-5.0,0.7,4,3,8,0,256,0,1
19,0.5,-1.194669691631038,-5.0,0.027190434487210483,0,2,256,131,10,147,0
50,0.5,-0.3,-4.4244304688250615,0.7,0,0,175,195,168,169,0
