trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
18,0.6896737588652483,-3.0020352898039295,-4.3160232367793885,0.0,0,1,72,68,4,256,0
23,0.6852765957446808,-1.363898752224309,-4.583138707780075,0.09354214035902757,4,3,37,153,0,233,0
26,0.685049645390071,-1.7070273369031788,-4.442521485293714,0.0,0,3,106,35,0,205,0
45,0.6838014184397163,-1.7140059115632833,-5.0,0.2933425540317866,4,2,154,192,0,0,0
47,0.6835177304964539,-3.129411223642666,-5.0,0.0,3,2,134,69,137,187,0
31,0.6803404255319149,-2.0963396334716187,-5.0,0.0,1,3,168,235,67,39,0
41,0.6801418439716312,-2.9834587193669773,-5.0,0.0,1,0,49,76,225,5,0
27,0.6790070921985816,-2.057264806666818,-1.6217381809437503,0.24043879856429065,1,1,134,216,49,52,0
13,0.6782127659574468,-1.9143685612276284,-2.7236876779221904,0.36535653380538763,0,3,10,89,0,157,0
7,0.6780709219858156,-1.601456989951219,-2.5236587608766374,0.0,1,3,180,202,15,211,0
35,0.6779999999999999,-1.7434188956226806,-1.0,0.7,4,1,76,184,256,23,1
22,0.6772198581560284,-2.7387301387815626,-5.0,0.12272954607048876,2,0,151,18,0,173,0
49,0.676340425531915,-1.7072708086802892,-5.0,0.29966911701215354,1,3,93,0,0,226,0
28,0.67554609929078,-2.578092954487974,-5.0,0.0,3,0,55,0,53,111,0
40,0.6742127659574468,-2.0524205098202084,-3.662119953817627,0.4530157581127591,1,2,166,17,0,13,0
46,0.6736737588652482,-2.1636904296151647,-1.0,0.7,1,1,151,35,256,188,1
29,0.6715177304964539,-2.69477037193357,-4.0658482367735465,0.0,3,0,87,190,17,131,0
5,0.6708368794326243,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
9,0.6704964539007093,-1.2507239311257572,-2.101124972960416,0.6085713818473528,0,3,12,93,0,256,0
17,0.6697021276595745,-1.36241152203948,-5.0,0.4190926214805657,3,1,145,36,0,25,0
21,0.6696170212765957,-2.089795969358274,-3.2860212197036667,0.31277183299945405,1,1,185,79,27,166,0
16,0.6657588652482269,-2.2647638909582213,-4.7925073021402795,0.4858059676351942,0,0,159,82,48,115,0
30,0.6652624113475177,-1.5207877895211919,-1.0,0.3514644114063995,3,2,182,21,0,194,0
38,0.6630496453900709,-3.51807870975392,-5.0,0.0,0,1,18,241,256,204,0
15,0.6563829787234042,-1.8558786469484572,-1.0,0.6269174652672537,4,2,95,165,1,16,0
33,0.6513475177304964,-2.574696224729087,-4.500577570158061,0.29731708944199237,0,2,24,113,97,127,0
48,0.6400283687943262,-4.0,-1.0,0.0,1,1,171,256,256,82,1
3,0.6305248226950354,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
25,0.6238581560283688,-2.967736354831868,-5.0,0.32517060863722924,4,1,27,216,29,185,0
36,0.6177872340425531,-1.6617799027032514,-5.0,0.7,2,0,230,191,256,209,1
43,0.6123120567375887,-1.950194837307246,-3.2591565799998046,0.5150661783110809,4,1,126,0,147,57,1
37,0.6085390070921985,-2.0951096962643962,-1.0,0.0,4,0,73,18,256,36,1
1,0.6080567375886525,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
2,0.6018156028368794,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
12,0.5648510638297872,-3.3434214623901886,-4.784224283865375,0.560011655316446,0,0,155,169,233,0,1
42,0.5478014184397163,-1.187750740160666,-1.0,0.7,3,1,175,196,203,0,1
10,0.507290780141844,-0.3,-5.0,0.1472938743403944,0,0,142,203,256,256,1
32,0.5,-0.3,-5.0,0.7,1,0,83,57,0,59,1
4,0.5,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
50,0.5,-1.438128095733755,-1.0,0.5801377751712875,1,2,249,128,0,0,0
6,0.5,-1.1253592629484461,-5.0,0.7,0,2,238,17,254,15,0
14,0.5,-2.0158264618287682,-1.0795917781903999,0.4789425524039772,4,2,18,10,256,256,0
34,0.5,-0.654807228894887,-4.528074191804092,0.0,0,2,140,50,0,115,0
11,0.439886524822695,-2.911232070015487,-4.663424116562684,0.7,2,0,152,108,86,256,1
24,0.4189645390070922,-1.166531877452658,-4.500350810282483,0.652261590749013,1,1,134,210,59,31,0
19,0.39083687943262413,-4.0,-4.942923580110727,0.14126158980904308,3,1,198,117,0,11,0
39,0.36927659574468086,-4.0,-1.0,0.5799119758661264,0,2,89,53,256,219,0
20,0.34190070921985816,-2.6264466611190564,-1.2127518503814745,0.6330576815694137,0,2,68,223,0,225,0
8,0.3379574468085107,-0.9263353819388453,-1.0,0.0,4,0,143,0,256,0,0
44,0.33727659574468083,-2.2790466851607816,-1.1086654304825623,0.7,3,2,220,68,256,0,0
