trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
18,0.933009525011039,-1.7852575543875968,-1.8483067446835095,0.10829348268672337,1,2,192,216,70,40,1
9,0.9329254189533002,-2.0038888464124875,-1.5124061062694802,0.41765019729407926,3,2,242,133,209,17,1
49,0.9311591917407851,-1.5588875383814238,-3.736307306341478,0.7,1,2,8,128,18,256,1
25,0.9289303812107067,-1.2856782677977532,-1.4487385756369884,0.08248552529154117,1,0,165,130,2,5,1
1,0.9279947013183625,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
17,0.9273113395992346,-1.7658571301518324,-1.3354364433559471,0.20607834988500853,3,1,163,12,222,74,1
20,0.9268592695388885,-1.6068512982267045,-1.33526296163702,0.49707692668233494,2,3,187,225,204,1,1
13,0.9262074475914128,-0.9015530336302979,-2.3495592703014943,0.6723839480383544,4,0,70,24,140,255,1
30,0.9261128282764566,-2.048662074191541,-2.414519974791324,0.684138525812079,3,3,239,253,79,19,1
12,0.9248302108959398,-1.591724492411347,-1.5628768975122371,0.3162562979702225,0,2,38,168,103,256,0
8,0.9244727601505498,-1.153761556711634,-3.7593951120163567,0.20991884070860928,3,0,232,47,189,98,1
22,0.9238209382030741,-1.7544662299173606,-1.0067531561973966,0.437781757021718,2,3,239,72,187,79,1
40,0.9237158056309005,-0.3,-1.7556718740025392,0.14044714454691415,0,3,75,256,0,97,1
24,0.9235265670009882,-3.0199825684137327,-2.249218308809802,0.15771502132071868,0,0,254,1,231,5,1
28,0.9234109211715975,-1.8959367347551952,-4.618875247403617,0.04464609837741506,2,3,252,111,184,33,1
41,0.922769612481339,-0.3,-2.9205009427602966,0.0,1,3,256,256,205,0,1
44,0.9224437015076011,-4.0,-5.0,0.7,3,0,62,132,245,132,1
47,0.9217393132740387,-0.3,-2.338773920526524,0.40647436277238375,4,3,48,172,225,256,1
46,0.9213292962425619,-1.6629738452781284,-4.792221542541161,0.5599530589515628,0,3,42,88,112,0,1
15,0.9209718454971718,-2.033743890968934,-1.4695170069152677,0.6657823744076529,4,1,219,104,2,171,0
19,0.9204461826363044,-2.371716318497749,-1.8488129225254335,0.606833742875279,1,1,138,160,169,181,1
48,0.9204251561218697,-4.0,-1.7709786628187225,0.11474610673490176,0,0,46,191,239,256,0
5,0.9199625728043063,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
2,0.9198784667465676,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
45,0.9195315292583949,-0.3,-2.730391837758092,0.7,1,0,113,239,231,25,1
39,0.9194263966862214,-0.3,-3.3001670037757256,0.535834003074495,0,3,67,256,0,0,1
10,0.9191162555983095,-2.1247969524525194,-4.459274173299703,0.24513069367980195,1,0,201,62,139,16,0
38,0.9189848398830927,-4.0,-5.0,0.7,4,2,218,0,0,37,0
23,0.9184486637650077,-2.214615768194414,-2.1149093633128206,0.6596442897173231,4,0,220,3,46,10,1
50,0.9183435311928342,-3.5304526743274023,-3.112409598705841,0.7,4,3,256,132,223,0,1
14,0.9171239933556214,-0.36290615928136827,-4.9777165793931095,0.5931817394747916,4,3,252,81,145,34,1
42,0.9167665426102316,-0.33106064152077996,-3.846962755238189,0.7,3,1,256,141,86,256,1
27,0.9167139763241448,-3.3811607097257497,-2.4289961935481332,0.13090056778585846,1,2,10,233,223,54,0
11,0.9164196051220589,-1.885577472831967,-4.061541543221135,0.35008962174654285,1,1,54,48,235,60,1
26,0.9163985786076243,-2.770518629191984,-1.6084776943868038,0.09715843221215399,3,1,189,176,106,159,1
4,0.9157782964318005,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
37,0.9155470047730188,-4.0,-2.0678767425131763,0.4351401384732992,4,2,256,256,0,0,1
21,0.9155049517441494,-1.125712003856838,-1.9390134516454935,0.6841540023151871,2,3,116,222,189,38,1
36,0.9153998191719759,-0.3,-5.0,0.5535275398785999,4,3,256,124,0,208,0
3,0.9149372358544124,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
6,0.9145797851090225,-2.500752278908756,-4.420588690927024,0.3202830603764748,4,1,32,86,81,59,1
32,0.9138648836182426,-4.0,-5.0,0.0,0,3,8,256,256,0,0
16,0.9132866544712882,-3.241493253937374,-1.456382049864235,0.513172911530495,3,3,188,225,245,229,0
7,0.9130238230408545,-0.8327350101322999,-3.1753662424295817,0.3731004216176221,3,1,89,210,114,178,1
43,0.9049916945267983,-1.0998207546459122,-4.003315846660535,0.0,2,1,256,113,227,256,1
29,0.9033305998864569,-3.545216562300962,-2.0692294681473182,0.4257970681878268,2,1,159,107,155,3,0
34,0.8845434092390505,-0.3,-1.0,0.0,0,0,8,143,164,0,1
33,0.8594903172901028,-0.3,-5.0,0.0,0,0,256,256,256,0,0
31,0.5,-0.7140143279815416,-1.1159226170844425,0.6956076678949162,1,0,13,31,152,205,0
35,0.5,-0.3,-1.0,0.7,0,3,8,256,256,0,1
