trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
29,0.8901049223070292,-0.3,-5.0,0.0,3,3,128,44,2,28,1
31,0.8793919132025484,-1.0026020364691002,-4.251455193599588,0.275235714251232,3,1,70,40,166,106,1
33,0.8711390062869278,-0.3,-4.469547898290797,0.647550305610111,2,3,246,51,32,34,1
25,0.8677379675771147,-0.3,-4.549133843072434,0.20365792056669052,1,0,8,227,54,0,1
30,0.8673962867175509,-1.704627265583273,-5.0,0.6407532614192168,2,0,211,86,243,87,1
1,0.8669547299144221,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
8,0.8662503416808596,-0.3,-5.0,0.0,4,3,256,0,0,256,1
28,0.8629807186862634,-2.752748715803041,-3.7862964150073926,0.11044578373218022,4,2,54,256,52,92,1
3,0.8608255009567064,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
14,0.8608202443280978,-1.2296748579840187,-3.6857314741591614,0.7,4,0,8,256,256,179,1
18,0.8582497529384553,-0.3,-5.0,0.7,1,1,129,256,0,244,1
50,0.8580394877941084,-0.3,-5.0,0.3873816900615254,1,3,127,34,6,256,1
20,0.8577240900775878,-0.3,-5.0,0.0,0,0,256,256,52,256,1
39,0.8572720200172418,-1.511650872858787,-5.0,0.002800978655755082,4,1,248,238,17,0,1
40,0.8572404802455899,-2.162256407565863,-5.0,0.23332551875871954,1,3,91,37,160,0,1
48,0.857219453731155,-1.5660360587167084,-5.0,0.46989814871405833,2,2,162,127,104,28,1
13,0.8567043041275048,-0.3,-5.0,0.3968910362050192,0,0,249,28,0,14,1
49,0.8539813705082108,-3.6713490431988944,-4.361856658821825,0.12595752954011297,2,2,197,156,94,227,1
38,0.8539077777076894,-4.0,-5.0,0.09571841516120178,4,0,48,225,75,0,1
22,0.8537290523349945,-0.3,-2.857004025866398,0.0,2,3,194,33,122,256,1
15,0.8514266490043946,-1.1171460298796596,-4.20975820576723,0.09917875161011144,4,3,256,0,0,256,1
42,0.8495447759624888,-4.0,-3.639031276765711,0.25713367627424366,0,0,200,66,248,100,1
12,0.8495237494480541,-0.3,-5.0,0.2582761923481219,0,1,206,73,232,66,1
47,0.8462330999390231,-0.3,-4.113519917257685,0.4448315306948148,3,0,171,46,0,95,1
41,0.8456233310204168,-4.0,-1.0,0.5339806868608388,2,0,213,256,77,256,1
45,0.8451922874745055,-0.3,-2.506483401078389,0.6081740588454302,2,3,165,51,0,124,1
4,0.845034588616245,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
7,0.8429529636872096,-4.0,-4.6024520607635635,0.0,4,3,256,0,0,256,1
32,0.8398620660653083,-4.0,-4.248422195594436,0.0,1,3,203,173,107,118,1
34,0.8375491494774912,-4.0,-5.0,0.44588096594330145,3,0,133,152,193,43,1
37,0.8364032044407999,-1.7256845614519585,-5.0,0.26577529757961826,3,0,129,112,174,256,1
43,0.8360930633528879,-0.3,-1.8948723016897833,0.6509661552931223,1,3,73,15,171,96,1
16,0.8320822557244686,-0.3,-5.0,0.7,4,3,256,0,0,0,1
10,0.8047162471877036,-0.3,-5.0,0.0,4,0,8,0,141,244,1
17,0.8022876847704956,-0.3,-1.0,0.0,2,3,17,243,0,102,0
19,0.800936731218066,-0.3,-3.4715238801210364,0.3863580257760945,0,0,173,0,0,0,1
23,0.8002901658991989,-0.3,-5.0,0.0,4,3,256,134,0,256,1
46,0.7980193023402511,-0.3,-5.0,0.6588375852863199,3,2,39,37,52,0,1
35,0.7959376774112155,-0.3,-5.0,0.028739279303417367,4,3,180,73,203,256,1
21,0.7916903214954057,-4.0,-4.929236991578956,0.665437017036089,3,0,8,0,256,155,1
5,0.7896875459955004,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
27,0.7870539750625538,-2.8812031926457324,-4.577407401514405,0.39834419479117716,2,1,75,175,133,159,1
44,0.7755734981812064,-3.715834198653593,-3.1716758852598073,0.36609540031345145,0,3,33,25,237,37,1
11,0.7682667844151476,-0.3,-1.4297261470346596,0.33813266999500147,2,3,191,217,256,91,1
2,0.7630416955781238,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
9,0.7274543198973906,-4.0,-1.0,0.517406692481719,2,1,237,210,229,1,0
24,0.714649172606657,-0.3,-2.087244512138262,0.0,3,0,31,118,70,80,1
6,0.6135116381757396,-0.3,-5.0,0.0,4,0,256,0,256,256,0
36,0.5993082276750983,-4.0,-5.0,0.6849691026133838,1,3,29,106,49,0,1
26,0.5,-0.3,-4.280536389385,0.6866173476711197,1,0,80,182,121,256,1
