trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
43,0.8890986542743731,-1.1720729080810695,-5.0,0.43401169298289904,1,0,66,48,173,89,1
3,0.8890848235896158,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
7,0.8800395557584056,-1.4778156675600749,-2.4205657806590897,0.366095078527762,3,0,45,0,256,76,1
40,0.8774808790783231,-2.676286089783627,-5.0,0.0,0,0,87,80,20,0,1
4,0.8755169218428004,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
44,0.8749913558220268,-0.3,-5.0,0.0,0,0,28,225,134,0,1
15,0.8740370385737797,-2.095845086827487,-1.7438512595137294,0.028698740553015804,2,0,196,0,92,9,1
1,0.8739678851499938,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
47,0.8737880862481501,-2.7621568421694223,-5.0,0.0,0,0,162,214,256,179,1
6,0.8722528802401007,-0.4916482512487561,-3.476972832179383,0.2745522802197388,3,3,215,256,256,27,1
49,0.872211388185829,-3.901012464499621,-4.771133882633839,0.03695493847967804,2,2,253,178,45,36,0
38,0.8704687219064215,-4.0,-4.209839372421319,0.0,2,0,44,256,64,199,0
32,0.8703719071131211,-0.3,-1.2615277713860822,0.0,0,3,256,0,26,0,0
28,0.8702750923198207,-4.0,-5.0,0.2028866771753963,0,0,19,0,159,116,1
14,0.8699016638313762,-4.0,-2.056985060858293,0.08598798757484927,1,0,256,0,147,89,0
12,0.8697910183533186,-1.3165481711832672,-5.0,0.5362913927873331,4,2,8,194,256,210,1
18,0.8693622671258454,-2.1598556232842236,-4.843775988128316,0.0,0,3,256,0,0,102,0
46,0.8692931137020593,-1.2161308238933661,-3.562182501012218,0.0,1,3,57,1,41,118,1
5,0.8691824682240018,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
45,0.8689335158983721,-3.6890008902262723,-1.2768694950162498,0.26478538329367785,4,1,211,21,127,133,1
41,0.8682973043995408,-4.0,-1.0,0.25408663048483826,4,0,104,0,0,65,1
9,0.8682419816605119,-3.586266315155501,-1.2981950147905708,0.589590560213877,2,0,221,6,231,172,1
13,0.8678547224873102,-4.0,-2.4971039309244616,0.649997341043345,0,0,57,27,256,180,1
27,0.8678132304330387,-0.9692246596370655,-1.5113722439198973,0.0,0,3,232,231,75,223,1
26,0.8677164156397382,-4.0,-5.0,0.030523886379136247,0,1,8,159,57,0,1
10,0.8676887542702238,-2.6335334733824816,-3.9458534548902344,0.5138951298823129,2,3,53,146,68,215,0
34,0.86578011977373,-3.46892282997183,-3.880415782576562,0.5864978374778519,2,0,24,12,197,231,0
8,0.8650885855358699,-3.8536515458434804,-4.193308819381492,0.29810083802114934,3,3,124,64,184,3,1
50,0.865033262796841,-1.6825542452278204,-1.9523437522501026,0.13902255110140635,4,0,89,127,197,153,1
35,0.8642172523961662,-2.7657039078633385,-1.2161754127432558,0.6930092902180577,0,2,189,110,91,68,0
48,0.86414809897238,-2.593029439575113,-5.0,0.0,4,0,192,243,256,4,0
36,0.863664025005878,-0.3,-1.0,0.7,0,0,256,0,0,0,0
20,0.863594871582092,-4.0,-4.970141365847233,0.7,4,0,8,256,256,256,0
42,0.8632214430936476,-4.0,-5.0,0.13688056582264044,4,0,8,0,56,256,1
16,0.8630001521375323,-4.0,-1.0,0.0,0,0,256,0,0,0,0
2,0.8624745861167585,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
30,0.8608563960001658,-4.0,-5.0,0.0,0,3,8,0,87,229,1
39,0.8595563116329888,-0.3,-5.0,0.7,0,0,73,256,256,105,1
21,0.859487158209203,-0.3,-5.0,0.0,4,0,8,0,256,0,1
23,0.8576753385060093,-0.9964868508454638,-2.708772280176811,0.05859982204398185,4,0,208,115,112,175,0
22,0.8557667040095155,-0.3,-1.0,0.7,0,0,8,256,0,0,1
33,0.8542453286862233,-4.0,-1.0,0.7,0,0,256,256,90,0,0
25,0.8505110438017787,-0.8197639511197723,-2.802854543091943,0.7,4,2,256,241,31,240,1
24,0.8472055101448074,-4.0,-5.0,0.37871538556499595,2,1,96,232,0,256,0
29,0.8469427271344204,-4.0,-5.0,0.7,0,1,256,256,201,0,1
37,0.844729817573268,-4.0,-5.0,0.7,4,3,8,0,224,256,1
17,0.838920929975243,-2.7563936651868275,-4.0888033276698525,0.7,4,0,8,256,256,256,0
31,0.8305257043276213,-4.0,-1.7163939754263695,0.6290108115952908,0,3,154,224,121,172,0
19,0.8181403261275466,-0.6860083321849331,-2.4036201142947657,0.5412683675399627,2,3,180,254,140,67,1
11,0.5031948881789138,-0.3028556727757139,-2.9882224848695484,0.305215240559528,2,3,72,49,222,69,0
