trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
17,0.8851321516432221,-1.674522262346259,-5.0,0.23810420153331932,4,2,256,24,24,32,1
15,0.8834079774595766,-2.118061715199983,-3.904766930057503,0.10229603136433701,1,3,255,30,122,256,1
11,0.8813473790449757,-2.3075012334436016,-3.875257693306819,0.06509076417898232,2,3,181,210,256,237,1
29,0.8798334700056772,-1.7937227652261618,-5.0,0.7,3,3,256,256,146,0,1
46,0.8794234529742004,-1.5103783385878682,-5.0,0.11630249425427383,0,0,8,0,0,256,1
49,0.8789188166277676,-2.9694590089132307,-1.0,0.0,4,0,25,256,0,233,1
45,0.8786139321684645,-4.0,-1.0,1.9428902930940238e-17,1,2,60,131,168,256,1
39,0.8783300742235961,-2.9504480569684333,-5.0,0.0,4,0,8,0,0,256,1
16,0.8771525894152526,-3.3840167122900358,-5.0,0.0,0,1,38,86,178,207,1
32,0.8764692276961248,-1.1414074264960292,-5.0,0.0,0,3,256,0,256,3,1
7,0.8756491936331715,-3.4104899498465775,-3.780514039015443,0.1892206536443082,3,2,256,114,67,189,0
34,0.8754704682604765,-3.521846921416333,-5.0,0.34486014235420864,4,0,256,0,0,61,1
30,0.8746083811686537,-3.1629820268851194,-1.0,0.6302530217508643,0,0,256,0,213,231,1
33,0.8742509304232637,-4.0,-5.0,0.0,0,1,256,81,145,162,1
41,0.8741563111083077,-2.6932674008493995,-1.0,0.0,1,3,256,0,237,256,1
38,0.8734414096175277,-1.2705490673027189,-5.0,0.0,4,3,72,0,256,256,1
3,0.8727159948695306,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
12,0.8727159948695304,-3.2881755835001982,-3.031892037845194,0.7,4,2,253,233,256,182,1
36,0.8707395025126685,-2.277956646075604,-1.0,0.0,2,1,8,0,256,0,1
20,0.8705397506255389,-0.8301478021181765,-5.0,0.7,4,0,256,4,0,0,1
26,0.8702979457095397,-2.529747031206791,-5.0,0.10355490552368858,0,2,256,0,0,0,1
6,0.8702874324523224,-2.8367753471699992,-4.998898129491965,0.12976801941384863,4,2,29,223,116,200,0
14,0.8702874324523224,-2.3567758949690214,-3.736531644959837,0.0022053110859159056,4,2,104,182,201,81,0
40,0.8701087070796273,-4.0,-5.0,0.2074054616322501,3,0,84,34,55,256,1
1,0.8692991862738914,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
47,0.8689417355285015,-3.486915365570023,-1.0,0.0,3,0,8,64,0,256,1
42,0.8679745158645051,-1.7855073588819286,-1.0,0.0,0,3,256,0,256,256,1
28,0.8673752602031162,-4.0,-1.0,0.7,4,0,256,256,228,0,1
4,0.8666498454551189,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
50,0.861140898673227,-1.8371618533286314,-5.0,0.0,2,0,8,256,0,119,1
10,0.860636262326794,-1.3088530324837162,-2.3236635492239954,0.6632456232615525,3,1,119,119,60,61,1
43,0.859164406316365,-2.993964017400801,-5.0,0.44775483548239264,4,3,87,0,249,0,1
24,0.8541285561092538,-3.0666431912697583,-4.4914573977775865,0.0,4,3,8,256,255,0,0
35,0.8539288042221241,-4.0,-5.0,0.530753012711728,0,0,256,101,208,204,0
22,0.8494396433903152,-0.3263972983825383,-2.6755984980385588,0.28858675889734164,1,3,8,80,12,218,1
44,0.8486406358417965,-3.198132839987996,-5.0,0.027550465828814125,3,2,8,169,31,0,0
27,0.84838831766858,-2.1424205267271894,-5.0,0.7,4,1,256,256,256,256,1
48,0.8399146323513951,-4.0,-5.0,0.5684425610430057,2,2,14,65,256,256,1
21,0.828560314556656,-4.0,-5.0,0.7,4,3,256,0,256,256,0
31,0.8262789377404908,-0.3,-1.0,0.4739902073838064,0,1,256,114,93,138,1
2,0.8255430097352763,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
5,0.809005656132383,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
19,0.8047057339304864,-2.7007293474362064,-1.0,0.0,4,0,8,256,0,0,0
13,0.8034020900355348,-1.4616639495593735,-1.0,0.3711539892741684,3,0,57,243,40,0,0
9,0.8022140919699742,-3.9392440652363447,-1.7618842623300548,0.42227884043625413,1,3,249,2,220,96,0
8,0.8008473685317186,-2.289046721541831,-4.989247397807878,0.6248179172471222,2,1,254,96,111,242,0
37,0.7998906621249396,-2.7122987401621472,-1.0,0.7,1,3,256,11,0,256,0
25,0.7973254273639059,-2.894198945276666,-3.5112906341154613,0.0,4,1,17,256,73,256,0
23,0.5358817468828192,-0.3,-5.0,0.0,4,3,256,78,256,0,0
18,0.5,-0.351014482945359,-4.669161214136945,0.0,0,2,203,84,91,173,0
