trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
42,0.6808877397112691,-1.8727650440998724,-4.909225868560133,0.16409403250664978,2,0,233,57,0,256,1
47,0.674876104287869,-1.9033380693488176,-5.0,0.16273036990278142,1,0,48,142,115,60,1
36,0.6678733031674208,-2.503479516348341,-4.055896375082457,0.21836736152782468,0,0,74,256,0,220,1
23,0.6673561732385263,-4.0,-1.0,0.0,2,0,256,256,256,0,1
46,0.6663003663003663,-1.853473768828418,-5.0,0.12127724980272683,1,0,226,122,125,34,1
27,0.6633484162895927,-3.293337322035774,-3.9081708986452073,0.08887009744694059,1,0,153,256,24,256,1
32,0.6624434389140272,-4.0,-1.11019311289895,0.0,3,0,223,174,256,256,1
17,0.655440637793579,-3.555345968388269,-4.454784673747814,0.03655204680047812,2,2,84,78,211,0,1
49,0.6504201680672269,-1.8663852104641596,-5.0,0.15881555970870684,0,3,115,95,0,168,1
30,0.6464555052790347,-4.0,-2.6087422465539327,0.19561664205832227,3,0,215,173,0,256,1
48,0.6460892049127344,-3.3817628749539894,-2.5896878845757008,0.060310741076686734,4,3,50,158,256,245,1
18,0.6438698556345614,-4.0,-3.466416357968199,0.0,2,2,22,0,256,0,1
34,0.642792501616031,-4.0,-1.0,0.0,0,3,256,256,240,256,1
33,0.6413703943115708,-4.0,-4.657778159264469,0.0,0,0,132,195,111,109,1
29,0.6413488472312002,-3.350752314970188,-3.7470688538997776,0.0,0,2,9,231,0,256,1
26,0.6392156862745098,-2.5205325763641864,-1.0898894475945773,0.14849326283360995,1,3,120,256,208,0,1
15,0.6380521439344968,-3.003507671912336,-1.0,0.08236671437837381,1,0,219,246,231,0,1
31,0.6373410902822668,-2.466237755544836,-4.1794828510643685,0.0,4,2,256,108,256,0,1
45,0.6332255979314803,-4.0,-3.8607676105916724,0.0,2,2,219,46,185,256,1
50,0.629541047188106,-3.2041697658811747,-4.019898440837909,0.059193587804498356,1,1,168,228,204,130,1
38,0.6276879982762336,-4.0,-1.0519203037542701,0.0,4,3,106,256,256,0,1
25,0.6271708683473389,-2.496905733767826,-1.8914819327728414,0.0,1,0,245,256,186,0,1
41,0.624240465416936,-4.0,-1.6100296787987278,0.20662957868510964,1,0,23,256,0,190,1
28,0.6239172592113769,-4.0,-1.7004639339949392,0.0497536248092242,2,3,181,256,112,62,1
40,0.6096099978452919,-3.770455083844836,-4.5592127589450495,0.35661830272288336,0,1,163,160,0,256,1
6,0.609006679594915,-1.4326568193100204,-4.870525863977919,0.4207991668039914,4,3,170,122,256,216,0
20,0.6076492135315665,-2.4255472949979007,-4.650404622995003,0.3340370995942552,4,3,256,129,208,256,0
14,0.6042447748330102,-1.8016318195495429,-5.0,0.5230887394317906,0,3,197,45,18,48,1
4,0.6005171299288946,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
21,0.5996660202542555,-3.3049389314943056,-3.083653505567,0.3971022801546997,1,0,124,33,253,0,1
24,0.599504417151476,-1.2218427195211516,-2.863667497595893,0.16085748893238044,2,2,21,256,143,233,1
2,0.5929110105580693,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
8,0.590390002154708,-4.0,-1.0,0.46664672017349834,4,3,165,256,148,0,1
1,0.5890540831717301,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
11,0.5879982762335703,-3.90551391727213,-2.2003080852294126,0.043764920699831775,3,0,238,211,256,0,0
39,0.5867485455720749,-2.8329525932971347,-1.9212700559481362,0.0,4,0,100,256,0,28,1
7,0.5866408101702218,-0.3,-2.365229774857465,0.29873086878922694,0,3,234,91,90,17,1
22,0.5856280973928033,-1.7142112766161048,-4.708217196712039,0.0,3,1,60,214,126,0,0
10,0.585197155785391,-3.985600388074387,-1.8154065108986304,0.05020345644795845,1,2,144,55,0,256,0
16,0.5847446670976083,-2.56313479811719,-1.0,0.6536433862579786,4,0,172,52,77,256,1
35,0.5843783667313079,-4.0,-2.1020986704113684,0.6556732537914725,2,0,126,191,256,157,0
5,0.5841736694677871,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
12,0.5786037491919845,-0.42259040676728077,-3.1122724701009874,0.4155305971780417,1,3,117,5,256,66,0
37,0.5755871579400992,-3.609011116345338,-4.882481385302577,0.1220162304819743,0,0,186,0,0,11,1
3,0.5754363283775048,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
9,0.5071859513035983,-0.3,-5.0,0.44907651406627824,3,1,15,161,241,256,1
43,0.5,-0.3,-4.360342834452516,0.29511930887943333,3,0,55,238,0,256,1
19,0.5,-1.8720760085626762,-1.0,0.0,0,2,57,201,256,256,0
13,0.461096746390864,-3.4758468110153924,-3.7408795660894776,0.6629545837154295,2,3,79,48,0,199,0
44,0.43113553113553116,-1.936657603374008,-1.9342605332898302,0.0,4,0,256,47,10,249,1
