trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
46,0.6616892911010558,-3.3494809630669877,-5.0,0.0,1,1,233,256,256,70,1
44,0.6610859728506787,-4.0,-4.965219176816412,0.0,1,2,78,256,231,180,1
40,0.6601594483947425,-3.603198913382684,-4.1869279546396525,0.0,0,3,100,248,246,208,1
45,0.6590605472958415,-4.0,-5.0,0.0,0,3,16,256,230,173,1
42,0.6576599870717518,-3.589861997042894,-4.225152776604388,0.0,0,3,162,256,255,191,1
23,0.6541693600517129,-2.9778302864669186,-5.0,0.21055881550391553,4,2,127,254,143,219,1
48,0.6493859082094376,-4.0,-4.715391306412321,0.0,1,2,11,256,249,115,1
41,0.6450980392156863,-3.445524094823547,-4.164665784843036,0.012870569828902617,0,3,39,65,252,109,1
7,0.6450764921353157,-2.7128145820738028,-4.518347686607458,0.0,0,2,245,256,241,43,1
32,0.6446240034475329,-4.0,-5.0,0.0,4,1,212,161,147,171,1
33,0.6435466494290024,-0.5365422270373337,-5.0,0.2357235783985856,4,1,187,106,118,242,1
18,0.6413919413919413,-4.0,-5.0,0.014763833319758281,2,2,256,217,187,14,1
6,0.6399267399267399,-2.1490064682701453,-4.304721696320457,0.19423212686933816,1,2,52,243,235,0,1
36,0.6385908209437621,-3.5287250389526044,-3.7245109794909634,0.2816260415405942,4,0,162,224,0,195,0
17,0.6361775479422538,-1.7947340515084673,-4.064195373024019,0.21690243695711206,4,1,87,235,1,172,1
27,0.6327515621633268,-1.9496433430776228,-4.004254454440838,0.045958031762380454,3,2,124,256,16,49,1
34,0.6314802844214609,-4.0,-5.0,0.08191028060010377,4,2,169,82,67,242,1
15,0.6299935358758888,-0.49427510234048366,-4.434950223083347,0.0,1,1,216,46,256,0,1
11,0.6288084464555053,-0.5426505570442086,-5.0,0.0,3,0,141,53,185,0,1
35,0.6270631329454858,-2.3358251986233576,-4.219953216363993,0.0,0,3,116,135,227,51,0
14,0.6270200387847447,-2.7055828569569265,-2.5859031229003344,0.0,1,3,209,95,256,6,1
21,0.6258564964447317,-3.153075310723614,-5.0,0.20829888928930834,2,3,182,130,178,169,1
4,0.6222150398620987,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
30,0.6218918336565395,-1.7741845367030455,-5.0,0.19505655005752007,4,1,196,77,250,256,1
25,0.6212238741650506,-1.8730459088556946,-2.496218935592889,0.18642308782161038,4,2,36,81,23,38,1
37,0.6176470588235294,-4.0,-3.175565381033792,0.2303876189922715,4,2,166,185,74,256,1
22,0.6175824175824176,-1.1148976360005651,-5.0,0.0,4,1,256,172,256,82,1
47,0.6169144580909286,-1.7460625643522212,-5.0,0.0,4,0,153,256,130,177,1
31,0.6134669252316312,-0.717408093131997,-4.64068574310052,0.19768198869229645,2,3,113,256,183,195,1
28,0.6099762982115924,-0.6548175758226189,-5.0,0.024503794386933578,0,2,46,256,0,212,1
13,0.6060331825037707,-0.8779321087299432,-3.5954890151736736,0.0,3,3,12,242,256,0,0
38,0.60582848524025,-0.8573175496939665,-3.652317636867221,0.16125283650275843,1,0,248,0,0,219,1
24,0.6047403576815341,-1.3619305537263164,-5.0,0.5803075664160124,4,2,118,251,114,256,1
10,0.6013790131437191,-3.8605758859993706,-4.851310315258112,0.1224337469033788,0,1,252,93,40,253,1
19,0.5987071751777635,-4.0,-5.0,0.2036123642935591,3,0,256,112,22,39,0
16,0.5966386554621848,-0.5163344774557523,-5.0,0.13034258224024586,0,0,229,256,249,29,1
1,0.5958845076492135,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
29,0.5931480284421461,-2.642382362664299,-2.7556011996914944,0.15251279831476913,2,2,240,256,201,86,1
20,0.5929110105580694,-2.173971750512105,-2.48234799430256,0.2181278930203068,0,3,9,196,222,195,1
50,0.5925770308123249,-3.5115315793834876,-1.0,0.7,1,1,256,256,256,4,0
9,0.5921460892049127,-0.6860434475321502,-1.5589085393326818,0.6828249936454593,2,1,171,1,187,119,0
26,0.5913165266106443,-0.7137714218508924,-5.0,0.23931065027850346,2,2,199,32,3,45,1
8,0.5881814264167206,-3.8340064830975034,-1.3383222495836495,0.7,3,0,224,256,178,48,0
5,0.5859297565179918,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
2,0.5857358327946564,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
43,0.5843352725705667,-1.0609235262187937,-4.088205400910882,0.0,0,2,159,256,222,71,1
12,0.5825253178194355,-2.339840180855516,-4.58476612793872,0.1461242023515439,2,0,48,255,74,111,1
3,0.5806938159879337,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
39,0.5486102133160956,-0.3,-5.0,0.0,4,2,114,184,148,65,0
49,0.41751777634130577,-4.0,-5.0,0.0,0,1,27,57,151,202,0
