trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
22,0.9380033221892807,-3.0699221954143763,-1.7262152599408007,0.5151342858048168,0,1,256,41,175,199,1
31,0.937772030530499,-0.3,-5.0,0.0,0,0,8,256,0,0,1
4,0.936216068462331,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
45,0.9352803885699867,-0.6333810511088998,-3.894530688665733,0.13350909985360626,1,0,83,6,108,41,1
28,0.9352383355411173,-0.3,-1.0,0.0,0,3,256,0,256,0,1
30,0.9349019113101622,-0.3,-5.0,0.7,0,0,256,0,0,256,1
21,0.9347389558232932,-0.3,-1.0,0.0,0,0,256,77,108,0,0
47,0.9345339473075548,-3.0677863829670087,-2.512343939196329,0.5681069646001147,2,2,8,112,219,256,1
24,0.9344708677642507,-2.0451258182543572,-4.923467360859743,0.07429308731445082,4,0,256,163,66,21,1
37,0.9344498412498161,-4.0,-1.0,0.01257650167944225,4,0,256,196,172,0,0
17,0.9344288147353814,-3.100884235063208,-2.8614652693659823,0.7,4,0,256,256,29,256,1
35,0.934271115877121,-0.3,-1.0,0.0,0,0,256,230,141,0,0
12,0.9341659833049476,-4.0,-1.0,0.0,4,0,256,256,157,0,0
50,0.9333459492419942,-0.3,-2.1979706695823027,0.10419688793177778,3,3,15,0,40,256,0
23,0.9332723564414728,-0.3,-1.0,0.0,3,3,256,0,34,32,0
2,0.9332723564414727,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
16,0.933267099812864,-4.0,-4.013832095224503,0.0,4,0,256,141,174,0,0
32,0.932893879181648,-2.858628831957951,-1.561814631784527,0.2156332649662748,0,1,256,0,50,115,0
5,0.9328097731239093,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
8,0.9327782333522574,-3.1316029637436587,-1.0844793855147734,0.21885159920548553,4,2,215,94,1,54,1
29,0.9327572068378225,-4.0,-1.233116618809683,0.0,0,3,8,256,96,256,1
43,0.9322105174625203,-0.938024393894632,-3.7521455611422088,0.07887260246056448,0,1,194,246,40,256,0
3,0.9320423053470426,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
39,0.9320212788326079,-0.642822757322683,-1.819259882642787,0.554246988511319,2,1,196,253,126,158,0
1,0.9318530667171302,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
7,0.9318320402026956,-2.007790868238484,-1.0766438323299585,0.09591822690576716,0,0,99,0,101,119,0
33,0.9317269076305221,-0.8392455983351912,-4.657031714336259,0.7,3,0,8,0,152,137,1
9,0.9314009966567842,-1.8169772595103475,-2.391511783764889,0.5953614381464518,3,2,182,256,149,9,1
26,0.9313536869993061,-0.3,-1.0,0.16502043708140304,0,3,256,0,68,256,0
48,0.9311591917407851,-2.297143225380614,-1.5240607791284506,0.10429623828744602,1,2,155,0,40,0,0
46,0.9303969805925272,-0.7825990478683478,-4.571273233486466,0.022907449398068058,4,2,256,77,187,0,1
44,0.930076326247398,-3.7884954709280256,-3.8743530542831452,0.3193429846274665,1,3,245,256,162,0,1
15,0.9299817069324419,-1.3469004821331647,-1.9198331951335033,0.14998175610073214,0,3,53,256,256,212,1
42,0.9299396539035725,-2.8269337969688153,-1.1465155076220075,0.49515194679724894,3,3,123,0,52,109,0
41,0.9292247524127926,-0.3667512421092378,-3.1922402939117065,0.41773327544467886,1,3,207,0,231,46,1
14,0.929040770411489,-3.0913832011353213,-3.949803271457871,0.14366301438039555,2,0,8,11,0,80,0
18,0.9276687903446247,-1.149482847876203,-1.2770832735256228,0.0,4,3,256,0,118,256,1
10,0.9267646502239324,-2.8802330493718515,-3.3498514686528895,0.0,4,0,234,246,189,97,0
13,0.9224226749931665,-3.937825958585713,-1.007234050707976,0.44278581801129047,3,2,8,45,202,189,1
27,0.9179440274185748,-3.6364194086641244,-5.0,0.017328169152064823,0,0,256,256,205,0,1
25,0.9171765596417081,-4.0,-3.3436520001027636,0.0,4,1,256,129,148,109,0
34,0.9144956790512836,-1.1210634360812293,-3.9612221752954295,0.0,2,0,8,0,26,11,1
20,0.9128871506970291,-4.0,-4.081759184239321,0.19514882431195918,1,1,8,29,72,256,0
40,0.9107739859963414,-4.0,-5.0,0.7,0,3,8,0,0,256,0
6,0.8995090308879499,-1.3208176816893866,-4.437660675004412,0.6312035371583837,1,2,51,256,193,167,0
38,0.8828770579701003,-4.0,-2.020410149888795,0.7,1,1,101,256,41,235,1
49,0.879512815660548,-4.0,-1.5242129323167655,0.0,0,3,8,0,134,9,0
36,0.8548014045711643,-0.3,-1.0,0.0,0,3,256,135,138,256,1
19,0.786228684370992,-0.3,-1.0,0.0,4,0,256,256,24,0,0
11,0.5,-1.3193714257886175,-3.067026464761992,0.30197474846823774,2,2,63,10,256,62,0
