trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
3,0.8993460754010807,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
9,0.895745284804138,-0.6730796338072276,-1.8653037570085211,0.319646700431191,1,2,152,32,1,38,1
43,0.8884122878950356,-1.6789811163611854,-4.869633409883526,0.1049105764138291,2,3,213,117,197,176,1
1,0.8869614583990412,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
30,0.8867196534830422,-0.3,-4.897470104919677,0.15645245014540377,3,0,183,99,256,179,1
44,0.8849429130133099,-1.1431582080737344,-1.5364152827732278,0.06328406487714809,1,3,226,133,144,1,1
24,0.8816102104754096,-1.7094341149497403,-3.7835576824098602,0.1842541828545811,2,2,192,15,65,228,1
19,0.8769948905569924,-1.0891619436137927,-4.781530020176039,0.26132859240511364,2,1,194,59,0,256,1
13,0.8759225383208225,-0.4035345736125149,-2.5462822681806423,0.3398088238587637,3,0,117,144,2,19,1
29,0.8758279190058664,-0.3,-5.0,0.4619844482830435,1,3,129,0,105,253,1
47,0.8720326331504026,-2.535107241875971,-1.4916415615317975,0.5963015876143006,0,0,212,31,65,15,1
4,0.8709813074286676,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
22,0.870487184339452,-2.158961282798204,-5.0,0.0,2,0,132,112,0,256,1
35,0.8692150802161526,-1.6663749275565838,-1.9262545871801797,0.0,2,0,91,86,256,241,1
45,0.8675014192897244,-2.7526724566113163,-2.5734732771158217,0.49919131753410906,3,2,195,45,211,183,1
27,0.8669757564288567,-2.202076121326655,-3.583667780723239,0.0,4,1,8,0,0,48,1
15,0.8666708719695536,-1.9945598330492023,-5.0,0.6379543220232586,2,2,67,64,241,251,1
11,0.8663291911099896,-0.9593749614095382,-2.5619916138457004,0.7,2,1,213,55,122,29,1
25,0.8630437982295676,-1.1965822130954358,-4.445037098588852,0.1673969278906341,0,2,256,0,63,0,1
8,0.8623288967387878,-1.5395398167634031,-3.823700121611067,0.6172967712893354,0,0,203,238,256,176,1
48,0.8617822073634853,-1.7478924121031323,-3.369805352681235,0.6499665916133026,4,3,32,59,209,181,1
50,0.8604365104396644,-0.7330045763370916,-5.0,0.15586192907461882,3,1,167,0,235,232,1
40,0.860005466893753,-3.3245488847404596,-2.871237381856544,0.2750859874237123,3,0,256,138,201,243,1
33,0.8594482642612334,-2.2173276207707455,-5.0,0.7,0,0,8,89,189,111,1
23,0.8587964423137575,-3.3225091962636033,-5.0,0.108885180002633,3,0,8,52,0,256,1
37,0.8584705313400198,-2.689103398402819,-4.376209672259192,0.6253084836593289,4,0,70,137,16,53,1
49,0.8580394877941084,-1.5375849399380583,-3.8678388766942895,0.3357645558234953,1,3,188,125,177,17,1
26,0.8579028154502828,-4.0,-2.0640968404863456,0.5420017201409342,1,0,162,106,256,34,1
32,0.8571248344161988,-2.7326277680578044,-4.880854647383553,0.1568189433792704,4,0,216,132,24,162,1
38,0.8569671355579387,-2.382979745337735,-3.921834993141463,0.14949750448448715,2,2,143,25,111,41,1
16,0.8518787190647407,-3.0880426454194483,-3.3729755980691367,0.18522331572329442,0,0,77,256,103,94,0
31,0.8492504047604028,-3.1582625829889888,-5.0,0.0,1,3,256,256,104,152,0
41,0.8491662987026641,-2.70769197147552,-2.596132198910743,0.07314436391487049,1,1,178,111,182,162,1
39,0.8481675392670157,-3.8642599577731884,-3.288518293008458,0.024791263823722556,3,2,110,39,215,89,1
6,0.8450345886162451,-1.480454756197798,-5.0,0.0,4,3,201,0,256,244,0
28,0.8348682688870666,-4.0,-5.0,0.0,1,1,256,0,0,121,1
18,0.8321032822389034,-1.3959613563489364,-3.345871104521763,0.0,4,3,171,256,208,143,0
46,0.8291805967324797,-1.4605373257556327,-3.91915365516353,0.005749356720704078,0,1,111,97,100,184,1
14,0.8268676801446625,-2.316393094234061,-1.0,0.29937216575221953,0,3,190,22,141,63,1
5,0.8136945688513215,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
7,0.7795107130091046,-3.8487233785181125,-5.0,0.6106783883837779,2,1,166,200,256,255,1
12,0.768061775899409,-0.3,-5.0,0.7,0,0,8,0,256,160,1
21,0.7541054269433756,-0.3,-4.184279571784115,0.0,0,0,256,67,0,215,1
2,0.6783153556634918,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
42,0.6720704808763851,-3.5958501008248986,-3.448574387765418,0.39740852387567904,1,1,222,126,65,58,1
10,0.6489728547698648,-0.3,-3.45771407287626,0.3596106787035606,4,2,145,217,224,47,1
36,0.5403814209718455,-2.628856888427787,-1.4592616876924227,0.0,0,0,140,76,0,25,0
17,0.5,-0.8291101870429936,-2.9983620028296225,0.6928667205363523,0,2,20,13,96,104,0
34,0.5,-0.3,-5.0,0.7,2,0,8,125,0,90,1
20,0.5,-1.801193864056375,-1.0240633244224449,0.23558550756495023,4,0,217,190,39,256,0
