trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
41,0.6840443869855635,-2.7085456645626973,-4.437484504751759,0.13212801064930552,4,2,256,1,147,122,1
47,0.6759857789269554,-3.0705134984738134,-3.8405125114967147,0.0,4,3,256,0,87,113,1
42,0.6755548373195431,-2.3302454821363288,-5.0,0.11549478134849085,4,2,256,57,1,255,1
46,0.6721503986209868,-2.05818141648863,-5.0,0.17114434346773644,4,2,48,0,18,0,1
18,0.6699310493428141,-2.6392924016273795,-5.0,0.2785383263193838,4,2,142,0,193,234,1
43,0.6692415427709545,-2.6076968671211507,-4.355847833627595,0.06694476650204992,4,3,256,0,174,197,1
23,0.667840982546865,-3.0358198371023652,-3.9473541980280444,0.08431875444398053,4,2,256,142,78,22,1
49,0.6671083818142642,-2.826007467372023,-3.732420108939906,0.0,4,3,128,86,50,0,1
45,0.6664619694031458,-2.9405571289082424,-3.257192587275372,0.0,4,2,25,0,44,207,1
48,0.6647597500538677,-3.197415403398309,-3.6477872697648834,0.0,4,3,256,0,83,236,1
39,0.663035983624219,-2.7774892144648167,-4.437632371392655,0.25111667965818335,4,2,212,64,83,0,1
36,0.6575845722904546,-3.94970020547893,-1.9855892781715538,0.0,2,2,70,165,155,211,1
40,0.6557099762982117,-3.4036083692651737,-3.536312771600594,0.0,2,2,256,26,163,16,1
34,0.6538353803059685,-0.3,-4.999913886450026,0.16277958731256992,4,1,126,43,256,0,1
25,0.6532536091359622,-3.051789729922191,-5.0,0.11807644967039016,4,2,155,0,91,245,1
44,0.6520254255548373,-2.726750190952611,-4.4575265536288615,0.04650835049722676,3,2,256,76,39,233,1
6,0.6509480715363068,-2.4815314791778147,-4.493036916326716,0.0,4,2,81,183,0,256,0
21,0.6490519284636932,-2.530797565768985,-3.9943025424631493,0.09265580217204895,4,2,8,226,234,252,1
22,0.6481684981684982,-2.3166477981849507,-3.07396131699296,0.20266814117041446,2,2,93,0,183,250,1
27,0.6446347769877182,-4.0,-2.851012994269845,0.09870679634038558,4,2,256,38,0,7,1
11,0.6420922215039861,-2.4369397082824964,-4.962125003811043,0.5072033222058788,3,2,184,254,178,171,1
4,0.6410364145658263,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
9,0.6388170652876535,-4.0,-5.0,0.0,4,2,8,256,45,256,1
29,0.6384292178409826,-4.0,-1.0,0.12349046083544028,0,0,8,23,165,221,1
19,0.630952380952381,-4.0,-1.0,0.25265815260371277,0,1,26,256,233,80,1
17,0.6304567981038569,-3.0028276177524007,-3.5563980406352544,0.664250797598987,0,2,153,251,175,7,0
37,0.6265352294764059,-2.1480326928741134,-2.5876960298874563,0.02443591716651241,2,2,123,50,211,229,1
5,0.6198125404007757,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
32,0.6191338073691015,-0.3,-3.8767840239101106,0.10782375969884722,4,3,250,39,256,18,1
30,0.6180133591898298,-0.3,-2.970352671142274,0.687931735728542,4,1,35,183,0,0,1
38,0.6122279681103211,-4.0,-1.3430898652388508,0.17834163028373767,2,1,174,188,0,169,1
16,0.6038461538461538,-0.9288306690421582,-4.271641828908936,0.10876305745639389,3,2,171,92,162,239,1
14,0.6015082956259428,-3.437815104224297,-1.3788371500762007,0.09970088028088647,4,2,97,256,6,196,0
35,0.6006140917905625,-2.0988858669537,-5.0,0.7,4,3,256,0,256,256,1
1,0.5977483301012713,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
7,0.5923938806291748,-0.3,-1.0,0.0,0,0,8,0,0,0,1
13,0.5831825037707391,-0.6480428233497757,-3.788582458193029,0.12043091401716721,0,2,226,96,16,256,1
2,0.5826438267614739,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
31,0.5811786252962723,-4.0,-3.958513508562389,0.09223219704141472,1,1,100,108,0,0,1
15,0.5774294333117862,-1.8742183389012768,-5.0,0.1266311395005874,4,1,33,14,24,204,0
28,0.5726244343891402,-4.0,-2.295819409023259,0.3275163648657584,4,1,256,0,19,136,1
20,0.5632730015082956,-4.0,-5.0,0.6639458823707788,0,2,17,0,17,141,0
10,0.5610536522301228,-0.3,-1.0,0.3802301879070834,4,2,256,0,211,0,0
8,0.5555375996552467,-0.3,-1.0,0.0,4,0,8,0,0,0,1
26,0.5539969834087481,-2.8293944152991406,-1.0,0.4107986734890329,4,2,213,144,154,59,1
3,0.5043417366946779,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
33,0.5016268045679811,-4.0,-3.186775075826949,0.43572212275589206,1,1,45,53,256,135,1
12,0.5,-0.3,-3.9283569014799453,0.27239541238411114,4,3,256,51,256,85,0
24,0.5,-0.3,-1.0,0.44183703619130554,0,1,239,256,205,78,0
50,0.4705020469726352,-4.0,-4.882549794261434,0.0,3,1,256,256,193,0,0
