trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
50,0.8900391408378628,-1.7693512600266614,-5.0,0.07582852430652415,4,0,143,0,256,215,1
35,0.8872868345711795,-2.385618715819067,-5.0,0.5752286263825208,3,0,79,256,256,0,1
3,0.8871900197778791,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
36,0.8866229617028338,-2.083439689561292,-5.0,0.13919074797816489,2,3,8,256,0,71,1
4,0.8859867502040025,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
19,0.8850877556947845,-0.3,-4.352456607341174,0.3711016110815948,4,1,256,0,256,0,1
46,0.8843547294026527,-1.1097278169150004,-5.0,0.23551648780289478,3,0,256,0,256,0,1
6,0.8842855759788668,-1.8501385941106223,-4.66713854615515,0.5226656056967216,2,2,179,11,73,98,1
26,0.8837600099580929,-4.0,-5.0,0.37040274270263196,4,0,256,256,256,256,1
44,0.8835525496867349,-2.552598105950195,-5.0,0.18832133382105165,4,1,256,256,256,0,1
8,0.8834280735239202,-4.0,-5.0,0.24631706597717837,4,2,169,220,184,190,1
49,0.8820035129939282,-2.704530715587567,-5.0,0.0,4,3,256,256,0,0,0
11,0.8815332697121834,-1.6722218458838318,-1.0,0.0,2,1,256,32,118,185,1
27,0.8815056083426691,-1.3764981821065803,-4.668644461662502,0.04690394233919629,4,0,195,256,256,256,1
45,0.8809178042404879,-1.0951716802835816,-5.0,0.7,0,0,8,0,256,0,1
38,0.8807864127352945,-0.3,-5.0,0.1375805631060378,0,1,8,256,164,3,0
24,0.8804406456163645,-0.3,-5.0,0.1888558932424827,4,3,8,69,0,22,1
47,0.8784905190655989,-1.7225726519313316,-5.0,0.0,0,3,8,256,241,0,1
20,0.8782415667399692,-2.577600818473379,-4.106193534404367,0.004469946406517601,0,2,231,30,57,42,0
13,0.8780479371533684,-2.233657596149496,-5.0,0.0,3,1,130,234,224,207,1
1,0.8758626889617304,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
30,0.8748945410287262,-3.2462576000743084,-4.020822661211575,0.262006586125902,2,3,256,256,0,256,1
29,0.8743413136384381,-0.3,-3.916220412005816,0.7,1,3,256,256,20,256,1
12,0.8732071974883474,-2.0500167825907067,-1.9404877744764244,0.31513242225897775,0,2,8,256,256,86,1
10,0.8727646155761172,-3.362243584176899,-3.4981407151422133,0.5822112315371105,1,2,49,139,0,256,1
34,0.8721975575010716,-1.5947936493576251,-1.0,0.7,3,3,256,256,99,256,1
37,0.8721284040772859,-1.204420491601741,-5.0,0.0,0,3,256,256,161,142,0
7,0.8721007427077715,-1.4773541678056845,-1.8219396948176425,0.36591478093147417,3,0,45,0,256,76,1
41,0.872003927914471,-0.3,-5.0,0.07806581218805703,2,3,256,0,0,0,0
16,0.8713262243613682,-0.3,-2.23460802918291,0.0,4,1,8,190,255,110,0
18,0.8708836424491376,-4.0,-5.0,0.7,0,0,256,256,0,256,1
17,0.8708559810796233,-0.3,-5.0,0.0,0,2,256,0,0,41,1
15,0.8702474309503063,-2.2868283712878528,-1.7674282321163242,0.0043610803215492055,0,0,23,56,26,23,0
33,0.8690994841154585,-2.828100253349257,-5.0,0.1054400310174074,1,2,8,256,8,0,0
48,0.8689335158983722,-3.0947343005617496,-5.0,0.7,4,3,52,256,177,240,1
5,0.8687537169965285,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
40,0.8673153257817794,-4.0,-1.0,0.2966285697203552,0,3,256,256,0,130,1
43,0.8661397175774173,-0.3,-1.0,0.6092241826884189,3,0,234,0,256,0,1
31,0.8652545537529562,-2.3614939893827938,-1.0,0.0,0,0,199,0,112,179,0
23,0.8644938660913101,-4.0,-5.0,0.13944220494397638,3,3,256,223,256,256,0
2,0.8634427340497628,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
32,0.8634150726802484,-4.0,-5.0,0.0,0,3,8,256,0,0,0
42,0.860718089152594,-0.3,-5.0,0.33787019692990167,4,3,8,256,0,256,1
21,0.8599020787519189,-3.893718987522556,-2.2266715827481147,0.699999999734228,1,2,27,147,83,256,0
39,0.8500131391505193,-4.0,-5.0,0.3282842174761571,1,1,8,0,0,42,0
9,0.8465831293307331,-3.98682181531141,-3.6583529353490203,0.5612342643859839,3,1,254,194,6,241,0
28,0.8462097008422886,-3.29057075346347,-5.0,0.2888018338238775,4,3,8,0,11,172,1
25,0.534106468611261,-4.0,-5.0,0.0,4,3,8,0,0,0,1
14,0.5,-0.5751237253948043,-1.0,0.7,3,3,8,114,189,143,0
22,0.5,-0.8723745310915456,-5.0,0.6213998243743192,3,2,217,191,60,222,0
