trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
25,0.6599432624113476,-2.818037579962602,-4.64245516271632,0.07543634798950276,2,2,233,5,79,0,1
30,0.6510070921985815,-4.0,-5.0,0.0,4,2,256,0,0,0,1
10,0.6506099290780142,-0.7234135566121647,-3.0198482704831235,0.49483659930764334,0,1,61,127,85,2,1
8,0.6433475177304964,-1.7420247290042283,-3.5337263072090153,2.0252475042555804e-05,3,0,238,0,131,41,1
50,0.6411631205673758,-4.0,-3.276121456927611,0.0,0,0,256,8,0,256,1
4,0.6409645390070923,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
14,0.6403971631205674,-1.1690073302226356,-3.1602934163151675,0.0,0,3,39,0,213,0,1
43,0.6384397163120566,-1.5127494460736837,-3.128387651057053,0.0,3,3,8,103,199,0,1
45,0.6367375886524823,-4.0,-1.0,0.3706138033370287,1,0,256,0,35,0,1
12,0.6358865248226951,-0.3,-2.370329874067714,0.09510190495122052,3,1,8,0,9,1,1
49,0.6350638297872341,-2.7282619003161512,-1.4718863641924353,0.0,1,1,256,196,0,0,1
34,0.6346382978723404,-2.1728751956550614,-5.0,0.0,1,1,219,15,207,0,1
28,0.6324255319148935,-4.0,-5.0,0.0,2,0,29,0,147,0,1
1,0.6323404255319149,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
23,0.6319716312056738,-1.7060214534819798,-5.0,0.45019788572618247,3,1,172,148,221,0,1
38,0.6313475177304965,-4.0,-5.0,0.0,3,0,256,227,116,0,1
42,0.6302411347517731,-3.3473358580514034,-3.51307129556296,0.0,2,3,256,77,21,0,1
27,0.6262127659574468,-2.8512745757721873,-4.5107028920778625,0.05057309273861263,1,1,64,1,109,0,1
19,0.6228936170212765,-2.513731608340423,-2.040934282901226,0.0,3,0,211,41,139,0,1
40,0.6196028368794326,-2.7349896791476005,-5.0,0.13566830612539638,2,3,8,0,40,0,1
47,0.6192907801418439,-2.6345179973415664,-4.709041069728484,0.0,2,3,207,131,175,130,1
39,0.6188085106382979,-2.892267808677331,-5.0,0.0,0,3,8,0,256,0,1
18,0.6187801418439716,-0.3,-3.0654830569489073,0.6966136761157108,2,1,8,214,138,0,1
35,0.6140141843971632,-0.592454046971493,-5.0,0.0,1,3,54,123,217,0,0
33,0.6086241134751773,-2.2696206076616745,-1.0,0.5028268051418975,2,0,242,145,72,256,1
41,0.6025248226950355,-0.6877575786398231,-3.514409820889453,0.4280523452216634,3,2,162,0,80,0,1
22,0.5996879432624114,-0.6598105130621539,-1.7010233528320566,0.0,4,0,256,0,78,0,1
24,0.5965815602836879,-1.0552264624922478,-1.208837228364903,0.0,4,1,8,27,143,0,1
20,0.592822695035461,-0.7930644313931761,-2.2628219587996914,0.35693401486017906,1,2,8,13,92,0,1
2,0.588936170212766,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
9,0.5881985815602837,-2.428667572303289,-3.399348185444385,0.0,2,0,16,41,107,187,1
17,0.5869787234042554,-1.3781887689347716,-1.8983879681938416,0.21383204363120395,2,2,198,0,89,0,1
7,0.5845248226950354,-1.5517217582006295,-3.281085693045201,0.603620025296653,1,1,96,237,95,25,1
5,0.578950354609929,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
48,0.5716879432624113,-0.9719616905053798,-3.0474622526827924,0.44612885674416924,3,1,54,87,137,182,1
31,0.5659574468085107,-0.6727217858142316,-5.0,0.3887062426054923,2,2,8,155,243,0,1
13,0.5638297872340426,-4.0,-4.912409049934212,0.48964363763869545,2,3,8,6,92,0,1
6,0.5612482269503546,-0.37495841729833446,-3.0376599897805203,0.33964437059788405,4,2,98,26,22,105,1
16,0.5581560283687943,-1.5178316430764647,-1.8101110601267743,0.17123393367868567,1,3,256,0,223,240,1
29,0.5516312056737589,-0.3,-1.0,0.0,4,2,233,0,146,256,0
21,0.5484964539007093,-0.31576798434813247,-3.3075386323255382,0.0,3,3,251,256,76,256,0
44,0.5473758865248228,-1.2375260594695972,-3.0107887879670683,0.0,3,2,8,161,22,0,0
36,0.5396595744680852,-2.8161264933013026,-1.0,0.7,1,3,48,256,226,256,1
3,0.5319858156028369,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
46,0.5153758865248227,-3.6819646239528825,-4.776167416292625,0.07828067288509816,3,3,8,0,224,0,1
26,0.5151063829787235,-0.667966831962906,-1.0,0.7,2,1,115,256,69,256,0
37,0.5,-0.3,-1.0,0.5337297909936142,0,0,93,159,233,0,1
15,0.5,-0.3,-4.89893819415272,0.0,3,0,256,133,0,9,1
32,0.49473758865248224,-3.4542872956308432,-5.0,0.293990065928112,0,1,70,256,169,0,0
11,0.4139290780141843,-4.0,-4.631268138273485,0.49873309517165876,2,2,24,43,133,0,0
