trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
29,0.6466666666666667,-3.052663164010279,-2.766719988293754,0.5438925261842503,0,2,10,256,37,256,0
7,0.635872340425532,-3.490502157531434,-2.5067728898043953,0.10163394921161888,4,0,240,76,113,20,0
15,0.6340425531914894,-4.0,-2.5183931946272704,0.7,4,0,256,155,0,0,0
11,0.632113475177305,-2.639852136847321,-4.21408006439394,0.46331554985071655,0,2,205,102,151,13,1
23,0.6314326241134752,-3.2739574830915292,-1.766128372136079,0.36985327691974246,0,2,94,0,150,81,1
2,0.6296170212765958,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
36,0.6290496453900709,-3.5690142533435525,-4.162266970033199,0.6528617686191422,0,2,253,0,249,135,0
6,0.627631205673759,-3.9928903658594583,-3.6328477280306766,0.024236866819878647,1,2,114,16,113,202,1
10,0.6273475177304966,-3.3258631703669153,-4.361446945161969,0.055464089983579455,1,0,121,117,59,242,0
30,0.6243120567375886,-2.8770768103573117,-3.880583097169768,0.1725773975759077,1,2,42,256,76,256,0
45,0.6243120567375886,-0.4805842353068992,-3.858818149033466,0.2322146566550376,1,1,88,172,0,68,1
46,0.6205390070921986,-2.040658094533193,-4.789407110194291,0.3611248636405845,0,3,210,5,184,142,1
47,0.6195744680851063,-1.3379205657173152,-4.30519238923178,0.31300940238814096,1,3,256,256,7,65,1
12,0.6185531914893617,-3.3482372624391905,-3.375169797640079,0.7,1,0,60,104,106,118,1
42,0.617645390070922,-3.3846974297626593,-4.177949512517919,0.5028044627088287,0,2,146,4,88,40,1
33,0.6167092198581561,-2.7193142096090783,-5.0,0.10705853029504016,1,2,157,109,141,62,1
49,0.6150354609929077,-2.818223033243261,-2.376198082934871,0.7,2,1,256,0,153,0,1
19,0.6144113475177305,-2.3834812438956066,-4.580526967004211,0.1659631692780718,3,1,121,12,2,38,1
3,0.6133900709219857,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
13,0.6128510638297873,-4.0,-5.0,0.7,4,0,256,256,99,0,0
28,0.6123971631205675,-3.7404129439819678,-1.426014825138484,0.0,0,0,122,176,161,0,1
24,0.6118014184397162,-2.136592304012722,-3.1310612798412953,0.3672543899345313,2,3,64,256,101,256,1
34,0.6095460992907802,-1.0849940101789537,-3.5998644576719645,0.272041516099315,0,3,8,256,55,256,0
27,0.6093333333333333,-4.0,-2.3060149067801263,0.04643170800484659,0,3,11,155,43,150,1
14,0.6069219858156029,-2.92589090348409,-3.170448936754438,0.0,4,1,182,71,169,6,1
44,0.6037446808510638,-3.7857710575991077,-2.3713467956644148,0.45356111296453067,0,0,184,181,129,253,1
18,0.6005106382978722,-2.7517291991572472,-5.0,0.5090270704851302,0,2,73,0,236,256,1
40,0.5968936170212765,-2.0892285980595746,-3.142819777230475,0.17190565979645853,4,1,124,114,42,14,0
5,0.5964397163120567,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
1,0.5948085106382979,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
48,0.5942553191489361,-1.6826210663689345,-4.001090925668087,0.041812126657850654,4,1,43,61,117,81,0
25,0.593758865248227,-0.8257770387827112,-1.9165207056008722,0.0,1,3,75,70,99,0,1
20,0.5925673758865249,-3.8074469398522206,-1.0,0.13418488946807833,3,2,187,256,244,256,1
4,0.5920567375886525,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
38,0.5900992907801419,-1.9450951035199537,-2.7304666607385557,0.5620577076593755,4,1,14,142,186,242,0
21,0.5897872340425532,-4.0,-1.0,0.5039890367983406,1,2,8,0,0,256,1
22,0.5878297872340426,-2.006306328472319,-5.0,0.046829382935293526,2,0,95,0,72,208,0
26,0.5864964539007093,-4.0,-1.4196190454393296,0.7,4,1,171,0,171,0,0
41,0.5754326241134752,-3.010198898934825,-2.6250003164048263,0.64011819303781,0,1,8,30,0,139,0
32,0.5752765957446808,-4.0,-5.0,0.4619902079473155,0,0,8,235,126,256,0
43,0.5744822695035461,-3.5352180365340664,-2.40720810435475,0.6829549267957165,0,3,8,176,0,256,0
9,0.5640141843971631,-3.9464806206242096,-1.5033997905874799,0.7,1,0,160,148,256,47,0
17,0.5623829787234043,-3.811169023206228,-1.0,0.7,4,1,229,192,0,256,0
39,0.5496312056737589,-4.0,-2.7860913807524197,0.0955674481687299,4,3,8,26,172,81,1
31,0.5419148936170213,-0.7555177519362495,-1.0,0.0,0,1,72,139,197,256,0
8,0.5317163120567375,-0.3005535378448694,-2.4084073628732314,0.05226395440293131,3,3,69,75,246,31,0
35,0.5192056737588653,-4.0,-2.9278197178323775,0.6990018087138498,1,1,35,87,0,256,0
37,0.5,-0.44239820480505143,-1.7856599836920255,0.7,0,2,231,219,121,99,0
50,0.5,-0.3,-3.2733977889051724,0.7,0,2,191,76,172,51,1
16,0.42809929078014186,-4.0,-2.911455464667801,0.6300149487078438,0,1,256,11,76,81,0
