trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
32,0.8832502786013162,-4.0,-1.8855146485494783,0.0,1,0,8,218,0,107,1
6,0.8780146765070755,-1.4090677500552715,-4.015603509694736,0.027708610668128568,2,2,250,0,89,71,1
40,0.8771736159296873,-0.3,-4.163662999932461,0.0,0,1,256,218,0,0,0
47,0.876385121638386,-0.9149615097470924,-5.0,0.0,2,1,8,251,0,38,0
39,0.8760802371790828,-4.0,-5.0,0.0,0,0,11,77,0,256,1
36,0.8759751046069095,-4.0,-5.0,0.0,0,0,49,179,0,168,1
8,0.8758594587775185,-2.854082520335931,-2.2152947386102464,0.5828265554620847,0,0,255,0,240,125,1
21,0.8757017599192581,-2.456875350139768,-4.965587825479318,0.09327048409629411,1,0,250,9,68,191,1
31,0.8728947202422256,-4.0,-4.558090407557667,0.0,0,0,8,256,0,0,1
26,0.8724847032107488,-2.072118438046848,-3.3165803728073193,0.3230975487314296,1,0,156,101,256,207,0
18,0.8723585441241406,-1.8810581645451192,-2.0064659173743196,0.07277078589162254,2,1,252,3,77,248,1
35,0.8723585441241405,-4.0,-5.0,0.0,0,0,256,104,256,0,1
17,0.8719064740637944,-2.206178986117937,-3.641409177564741,0.1729703727205405,1,3,19,0,68,33,1
22,0.8718223680060556,-1.8213809688656637,-4.91177734828676,0.11845648456153793,3,1,236,19,71,13,1
4,0.8707184759982338,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
43,0.8706238566832776,-2.439398548394089,-3.224620907640018,0.19525683881312994,0,1,124,256,1,186,1
25,0.8706238566832776,-1.8140763058865401,-4.624018877381761,0.51052439482169,1,2,227,32,80,26,1
19,0.8703610252528438,-2.076675817427213,-1.3870526561531538,0.69575694582915,0,0,117,3,198,225,1
7,0.8701297335940622,-3.128655897895035,-4.462915955809049,0.20015113356332107,3,3,256,0,225,256,1
46,0.8696881767909332,-2.6340174447670472,-5.0,0.0,3,0,8,143,256,223,1
24,0.8696250972476292,-2.8840625097459327,-2.5856043865836575,0.25826060814043816,2,1,152,256,0,169,1
34,0.8694253453604998,-3.772792946293924,-3.472367231960059,0.34147849056656654,3,0,106,153,0,256,1
27,0.8692255934733699,-4.0,-4.736279805039181,0.4195792512283356,0,0,256,48,209,0,1
3,0.8680691351794614,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
50,0.8679009230639837,-3.344198619083875,-1.73594766041948,0.0,3,0,126,71,0,156,1
14,0.8650202905864295,-4.0,-5.0,0.5063155511771756,0,0,193,0,242,67,1
41,0.8643159023528669,-4.0,-5.0,0.0,1,1,85,68,169,34,1
11,0.8642265396665194,-3.3170747551201343,-1.1884123309418007,0.6544783385677225,0,3,256,48,47,0,1
44,0.864137176980172,-3.1652574935234634,-2.8416081294137503,0.0,2,3,256,90,101,160,0
20,0.8631384175445236,-0.961645370312413,-4.991411603842691,0.1209036289433849,2,3,213,3,196,142,0
48,0.860604722555142,-3.744304092641156,-5.0,0.7,3,3,256,0,119,200,1
12,0.8594167244895814,-0.3,-2.2068702008349805,0.3260681441796989,1,0,256,0,256,200,1
28,0.858743876027671,-4.0,-1.0,0.35107431860653443,3,3,256,44,256,144,1
29,0.8579343552219348,-2.996897618224927,-5.0,0.0,0,0,256,159,256,0,1
33,0.8574244622468933,-4.0,-5.0,0.7,3,0,198,107,256,0,0
1,0.8568514897285477,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
30,0.8558369604070735,-3.9318943126505115,-5.0,0.7,0,0,236,76,154,256,1
10,0.8546857587417734,-0.9141234200203137,-1.8983068405735972,0.1759287770201461,4,1,8,0,99,0,0
2,0.8540549633087323,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
15,0.8481622826384071,-3.9689275670870385,-1.9248393421252357,0.6286119878525164,2,3,242,2,6,7,0
5,0.8448663765007675,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
16,0.8445614920414642,-1.9666384038827598,-2.2388674135941278,0.0072790150438967974,1,0,19,256,58,127,1
37,0.8363769212977564,-0.9873450727973561,-1.171521291102402,0.0,0,1,256,62,256,249,0
13,0.8253695409911899,-0.3,-2.9936164831641667,0.5466048588426834,1,3,256,256,82,68,0
9,0.8232721461763284,-3.3480236926197104,-3.4261244238722535,0.043342984006163654,1,1,8,256,243,34,0
45,0.6157509619630354,-4.0,-4.184777736087899,0.3172054859637117,4,1,241,161,215,49,0
42,0.6008168800857883,-4.0,-2.404694159019393,0.3683757738700357,0,3,8,121,0,0,0
23,0.5644988330284489,-3.841195257699896,-4.299670438824261,0.4861858827204161,3,1,195,247,255,247,1
38,0.5,-0.3,-1.4881538873142968,0.0,0,0,15,160,256,256,0
49,0.5,-0.3,-1.5771763981849305,0.3124838979892126,4,0,256,97,239,33,0
