trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
29,0.8804958052103702,-4.0,-3.9606576023772186,0.0,4,0,256,256,256,0,1
42,0.8764797409533421,-2.5673915877327578,-1.5620924772156184,0.11282213223836095,1,0,247,92,256,41,1
4,0.8763746083811688,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
44,0.8760066443785613,-2.3104020151608724,-4.096420753760351,0.1312463780312625,2,2,156,20,256,69,1
31,0.8759120250636052,-4.0,-3.4159133447968704,0.0,3,0,203,256,256,0,0
12,0.8742824701949157,-1.9447442811254319,-4.848079110149829,0.3747026482841301,0,0,115,256,129,0,0
14,0.8741142580794381,-3.067066302258167,-5.0,0.03369115082156426,1,1,256,0,253,256,1
30,0.8739250194495258,-1.4691501462854615,-4.400908421568763,0.5442825908749228,1,0,256,242,239,67,1
37,0.8735255156752665,-2.461142997174919,-3.211675162824469,0.6218159249397296,1,0,123,50,197,5,1
39,0.8725582960112701,-2.4721280233237684,-3.280714751444509,0.23421080500094002,1,2,65,84,0,152,1
6,0.8722744380664017,-1.2971778333154917,-4.888112410898564,0.5957929864620994,3,0,145,84,222,112,1
47,0.8720431464076202,-2.267748635067749,-1.8182769997020394,0.5603393365901854,1,3,256,145,256,181,1
36,0.8717382619483169,-2.2468873381971894,-2.909357192640594,0.5230067807040238,2,0,44,24,45,25,1
3,0.8708025820559726,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
28,0.8705712903971908,-0.33179264668163544,-3.3485156721667306,0.7,4,1,141,15,122,48,1
45,0.8699299817069325,-3.030131507256793,-4.67259887230118,0.513181333493794,2,2,256,13,256,165,1
7,0.8695199646754558,-3.4107398632180654,-2.5659520728051537,0.28397597515916534,0,0,170,0,236,256,1
49,0.8668706238566832,-2.476765338015669,-3.394160416454559,0.6980912534944973,1,1,64,79,0,5,1
27,0.8667865177989444,-1.1552721047606918,-2.979562249780316,0.5798110918854205,0,2,47,73,21,46,1
43,0.8642423095523454,-2.6017165586914475,-1.7813833817954325,0.7,1,1,36,229,0,75,1
24,0.8625128787400913,-3.109410322845429,-5.0,0.0,2,2,256,67,97,86,0
17,0.8624445425681785,-0.3,-1.964702957204378,0.0,4,3,256,0,0,256,0
1,0.8623078702243528,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
34,0.8610252528438361,-1.916778795965894,-4.208957784597675,0.7,1,1,175,221,256,223,1
38,0.8607834479278369,-1.2666282106518048,-2.434449312612054,0.32116831107827876,3,0,139,212,50,152,0
40,0.8602998380958389,-0.4366276669882012,-3.623734920509491,0.0,2,1,159,250,0,90,0
50,0.8597216089488846,-3.3943750008530413,-4.428259749590605,0.5585715951629516,2,1,60,241,256,64,1
8,0.8591013267730608,-3.996066069732166,-2.0924522030622805,0.29575847016318974,0,2,224,155,4,124,0
16,0.858822725456801,-4.0,-5.0,0.0,0,2,160,256,0,0,0
33,0.858060514308543,-0.8228125617020066,-5.0,0.5473994456783455,0,3,61,130,0,0,0
11,0.8575138249332408,-3.9981474923874716,-4.473858206326861,0.4623608601851205,0,2,53,171,211,109,1
21,0.8567989234424609,-4.0,-2.3392258278564757,0.473914924206439,4,3,256,57,185,0,1
13,0.8567778969280262,-1.1224787453286909,-1.1693344992067205,0.41517911842597044,2,0,128,0,245,0,1
48,0.8557633676065519,-3.9362547397404906,-2.4526563807842714,0.027874484034022574,2,2,215,222,204,120,0
5,0.8543388212536009,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
19,0.8534557076473435,-0.3,-3.5487320673523794,0.7,4,0,102,0,256,256,1
9,0.8521415504951745,-2.629342279150944,-2.1763813059245867,0.6970596041241244,3,3,170,175,136,251,0
22,0.851742046720915,-0.3,-2.5680603293034476,0.0,4,3,8,0,0,203,0
25,0.8511007380306567,-4.0,-5.0,0.0,2,0,8,256,165,3,0
18,0.8502912172249206,-0.3,-5.0,0.7,0,0,8,0,0,0,0
2,0.8488719275005782,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
10,0.8462804095965011,-0.8147430296801499,-3.1477786764964124,0.30619995770199,3,0,213,32,192,158,0
35,0.8440726255808576,-1.101668660645681,-3.480272000448972,0.0,2,2,243,81,0,241,0
41,0.8360457536954099,-1.5517965003919403,-4.539206176948669,0.5242827449016687,2,1,99,108,131,99,0
20,0.8285813410710907,-0.3,-1.0,0.0,4,0,8,0,256,256,1
46,0.7730030067915643,-2.862105525907028,-4.829790090111053,0.0,1,2,189,126,256,226,1
32,0.6266059000399503,-1.455332305548692,-2.8671051252511583,0.5249213526768458,1,2,8,137,66,205,0
15,0.5548266363884858,-1.7394515602163025,-1.0,0.5449983560560636,2,2,8,256,252,0,0
23,0.5,-0.3,-5.0,0.7,4,0,256,256,256,256,0
26,0.5,-0.3,-1.0,0.7,4,2,256,57,135,0,1
