trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
48,0.6256410256410256,-1.9153750012240134,-4.616188338739844,0.14981620814971763,2,3,151,248,89,84,1
25,0.6234432234432234,-1.8372239808855553,-4.497207474910781,0.2967535191552696,0,3,235,253,197,162,1
18,0.6204481792717087,-1.875202736197128,-2.6361136531095477,0.12979459889255127,0,1,254,256,162,94,1
7,0.6191338073691015,-1.7373307823481285,-2.8404403029801655,0.0,2,3,8,256,0,256,1
36,0.6170006464124111,-1.7031062277457658,-2.7482398735864972,0.3018236272984569,0,3,216,256,236,102,1
43,0.606787330316742,-2.1130722528871635,-4.4294270555374755,0.24241177192073018,4,3,224,256,159,87,1
20,0.6030165912518853,-1.922107133380421,-5.0,0.0,4,1,102,177,174,84,1
31,0.6019607843137255,-1.2548658854946497,-4.042652602634942,0.40544561172880045,0,3,256,221,136,125,1
8,0.5986856280973928,-1.5717090706255772,-3.963889101889108,0.0,0,1,256,256,51,226,1
33,0.5973712561947856,-1.8040605138699006,-4.752885103681043,0.39020150761152894,0,2,247,33,1,126,1
34,0.5964447317388494,-1.9375594352884171,-4.421195183911959,0.5209203595593788,4,3,24,0,117,256,1
24,0.589722042663219,-1.9593847099306,-1.6444758141754727,0.0,3,1,256,242,220,94,0
47,0.5864468864468864,-1.6792878840704795,-4.417710970610157,0.673523307747536,2,2,256,180,256,169,1
1,0.5832794656324067,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
11,0.5825037707390648,-1.4848723661645842,-1.6203657028387952,0.2930280963318509,4,1,121,102,0,211,1
45,0.5805214393449688,-1.221510236395591,-4.571363160694475,0.3251894578843182,3,3,218,244,233,181,0
49,0.5796380090497737,-1.8440911346279383,-2.7359742851305064,0.6866270840622446,4,1,113,176,188,20,1
42,0.5779573367808662,-1.6051823161379652,-3.7533320608041967,0.5285615423090858,2,2,166,205,174,97,1
23,0.5769015298427064,-1.9387498820291174,-1.9095087499321628,0.0,3,2,8,50,139,233,1
12,0.5767291531997414,-1.9665132060756894,-1.7358433630015155,0.39654918742930756,0,2,249,256,163,256,1
35,0.5767183796595562,-2.0044463523149005,-3.6920377530643522,0.5179494523367353,0,0,256,76,51,135,0
50,0.5761042878689938,-1.563021577157567,-2.668582732045254,0.03829774222336304,0,1,256,226,113,0,0
13,0.5755979314802844,-0.9388235869099084,-2.4403591359741053,0.44271608052145606,1,3,8,190,256,256,1
10,0.5744774833010128,-1.6531501033345792,-4.574460231721737,0.4265629782863279,0,1,256,38,256,0,0
40,0.5717733247145012,-1.7773389703889033,-2.970350416179441,0.1749977252730317,1,3,254,256,174,144,0
37,0.5717517776341305,-1.343920792997638,-2.227309884492464,0.18844068443830297,4,0,96,256,177,0,1
41,0.5716440422322776,-0.695217047319344,-2.869560864564405,0.6195385328076848,1,0,109,256,206,159,1
27,0.5712131006248653,-1.7761672780765703,-3.37599982163013,0.6963068551970877,3,2,254,250,249,0,1
26,0.5707390648567119,-1.7508134843349268,-3.1891187113138235,0.4664026306858588,2,2,8,158,96,55,1
4,0.5701572936867055,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
2,0.5691338073691015,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
38,0.5686705451411334,-2.004193403205228,-2.906587094170364,0.5479000807497982,0,3,247,256,21,97,0
30,0.5671837965955614,-3.1488492658646816,-3.0740825315944402,0.1652136167310142,0,3,256,256,88,140,1
19,0.5653307476836889,-1.5049528520061894,-2.439802978389998,0.0,0,2,86,256,0,78,1
3,0.5652230122818358,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
17,0.5634776987718164,-2.0152959957559937,-3.9627539526104725,0.4314960574241904,2,1,225,148,0,256,1
5,0.5628743805214393,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
44,0.5623141564318035,-2.206427253167214,-2.801835516904133,0.4304409579404458,1,1,243,256,206,110,1
28,0.5609351432880845,-1.7549354694527888,-4.321211904705846,0.0,0,0,24,256,0,80,1
22,0.5595992243051067,-2.7375168410204536,-3.4585219844781148,0.0,2,2,8,36,103,216,1
21,0.558198664081017,-1.7745400568554817,-3.709143369347817,0.08865776534454758,2,2,165,123,231,217,1
9,0.539506571859513,-0.3,-5.0,0.0,4,0,256,256,256,0,1
14,0.5005279034690799,-3.11730640975447,-2.6334635384290594,0.7,4,1,37,59,95,78,0
39,0.5,-1.6048700028336293,-1.959827724488886,0.38370367416856455,0,2,239,91,256,136,1
6,0.5,-0.6149739242798691,-3.1899385186575544,0.6242795848368405,2,2,8,256,58,256,0
15,0.5,-1.0967741108405065,-1.1975504161536255,0.0,0,0,8,79,0,256,1
46,0.5,-0.6065719334019035,-2.8570996721863517,0.1314143393029854,1,3,57,255,31,113,0
32,0.5,-0.8652370673968277,-1.8471296510974184,0.22063226161119148,2,2,8,256,61,256,1
29,0.4868131868131868,-1.7146856882531267,-3.6318254459437354,0.22867345938046615,0,1,8,162,69,256,1
16,0.47145011850894203,-3.847929789938931,-1.0,0.3392222299056341,3,3,8,219,175,184,1
