trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
40,0.8162178609462956,-3.3988608683116213,-1.0,0.00015047283516305326,1,0,255,228,187,104,1
10,0.8133964012558261,-2.4425877017288506,-4.859961698899131,0.11365806027372641,3,3,234,52,252,162,1
24,0.8125388988008797,-4.0,-1.0,0.0,4,0,8,0,0,215,1
22,0.8124420840075792,-1.536257523478913,-1.0,0.0,0,3,24,0,143,111,1
42,0.8123729305837932,-1.8556563134938937,-5.0,0.0,0,3,15,107,215,196,1
8,0.8119165179868054,-3.871639339361454,-1.407163350546258,0.0,4,0,33,110,256,204,1
37,0.8106994177281717,-2.0466680037448906,-5.0,0.0,1,3,256,235,256,0,1
48,0.8084311854279905,-1.8141194821802826,-2.9223935127087852,0.0,4,3,155,131,114,76,1
4,0.8080854183090604,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
32,0.8076290057120729,-3.9399002357756934,-1.0,0.0426358832988765,3,0,165,8,23,99,1
23,0.8074906988645006,-4.0,-1.0,0.0,0,2,8,0,256,0,1
3,0.8065502123010109,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
39,0.8064533975077106,-2.696029707946902,-5.0,0.0,4,3,29,165,197,117,0
27,0.806204445182081,-4.0,-1.0,0.0,4,3,256,240,84,256,1
9,0.8060799690192662,-3.3708404053943224,-3.933130963061779,0.6900830019444963,4,0,219,216,254,235,1
30,0.8057065405308217,-4.0,-1.0,0.0,4,3,8,256,201,256,1
29,0.8042266572618011,-1.5316580678037628,-1.0,0.3161657120134678,0,1,8,0,0,256,1
41,0.804157503838015,-2.2803673856195585,-5.0,0.0,1,0,165,256,26,239,1
44,0.804019196990443,-2.0906403735446224,-3.7142085164558565,0.0,0,3,138,241,204,114,1
7,0.8015988271579325,-3.0615326953634563,-1.0396972635578892,0.494317556802824,1,0,12,0,131,256,1
35,0.8013222134627884,-0.9769385369845804,-1.5032475851342415,0.0,4,3,256,202,256,0,1
1,0.8012115679847309,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
21,0.7998284995090106,-0.9304553799948425,-5.0,0.7,4,1,256,0,0,0,0
45,0.7992337800644511,-2.4764158899320905,-3.697250063699636,0.0,0,3,181,42,47,180,0
16,0.7984730924028048,-3.977103552434364,-2.5882789288183075,0.24534430155338421,2,3,41,252,0,70,0
14,0.7969793784490271,-4.0,-5.0,0.6202097432438857,4,0,201,0,235,256,1
38,0.7969240557099982,-1.570802941765323,-2.0115538289947406,0.0,4,3,256,202,250,0,0
33,0.7959973998312656,-2.9803911544544555,-4.914410406728517,0.7,4,3,8,0,62,183,1
26,0.7956239713428211,-1.662427182376903,-5.0,0.7,4,2,168,137,0,0,0
46,0.7952505428543768,-0.3,-5.0,0.7,0,3,60,154,152,160,1
36,0.7941302573890432,-2.991918371272681,-2.733373614546531,0.282984726350397,2,3,256,256,256,75,0
17,0.7941025960195289,-1.62031994993019,-4.008671513456132,0.22160530195133482,2,3,28,57,133,146,0
11,0.7939089664329281,-1.399522804744612,-4.480861030410474,0.6857480934546856,1,0,220,182,1,200,0
15,0.7933142469883683,-3.146366131988335,-5.0,0.12032895225020616,3,3,233,115,241,38,0
25,0.793217432195068,-4.0,-1.0,0.0,4,3,8,212,64,0,0
2,0.7927610195980802,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
19,0.7908593004439649,-1.2787405050371894,-1.0,0.7,3,0,155,241,0,0,0
5,0.7888400204694134,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
6,0.7874707826784504,-3.5137741834355065,-3.4041670917802653,0.23944210107207148,2,3,99,256,246,12,0
43,0.7873117298037426,-2.1872764635120463,-2.8190913594719196,0.10688503890305281,1,1,242,209,181,256,0
28,0.7870904388476273,-2.8360752065606056,-1.0,0.008919093041714917,3,3,255,168,244,67,0
31,0.7869313859729195,-0.7570973116444022,-1.0,0.33005289553683353,0,3,65,256,131,156,1
13,0.7864680580335532,-3.4822863521326757,-5.0,0.6139758471526081,0,3,241,246,0,0,0
18,0.7854929947581706,-4.0,-3.026514999296035,0.0,0,3,8,256,0,256,0
49,0.7709085376817006,-3.3202490171210886,-2.11606800370503,0.0,4,0,246,78,88,208,1
50,0.7623335131322352,-1.1717672782931468,-5.0,0.0,1,0,217,155,96,104,1
47,0.7496922672641522,-0.6145861914158091,-5.0,0.0,2,3,162,52,41,115,1
34,0.5364507696776067,-2.4739430360208914,-1.0,0.13981608744795496,4,3,191,27,240,31,0
12,0.5,-2.1407401212374104,-1.1907595302055798,0.6668373814586128,2,0,138,253,250,234,0
20,0.5,-0.3,-1.0,0.047852716553499264,4,0,8,0,146,40,0
