trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
9,0.613758865248227,-1.1102581279064117,-4.4632452117109995,0.43127195211692376,3,1,195,50,133,200,1
33,0.6070354609929078,-2.2472684877889906,-3.860521455669521,0.3286156650710123,1,3,158,30,65,157,1
40,0.6012482269503546,-2.4690140317060054,-4.600218297015098,0.3679449045317062,3,3,216,36,140,92,1
36,0.5969078014184397,-2.8256584036801113,-3.5984273078529476,0.29327312131533156,2,2,138,230,159,246,1
1,0.5931914893617021,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
21,0.5892482269503546,-1.492854587878314,-5.0,0.3152222124835993,1,1,195,13,169,256,1
34,0.5886524822695035,-3.8127223079066197,-3.4385521099081924,0.27067506802658525,0,1,164,103,199,4,1
31,0.5885957446808511,-3.1187636677500987,-4.30856366110657,0.21127582594279185,2,1,148,135,2,83,0
44,0.5878156028368794,-0.9174132497748446,-2.8988702839746177,0.37242406163797487,2,3,183,242,136,98,0
2,0.5839432624113475,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
29,0.5839148936170213,-1.3679380954560942,-5.0,0.2938528096353855,4,3,162,103,47,239,0
25,0.582936170212766,-2.2909430337350236,-4.815782923401172,0.4046030750525299,0,0,181,11,248,203,0
8,0.5827801418439718,-0.8311326817042719,-4.288958991788874,0.575931432309954,0,0,17,24,237,162,0
50,0.5820567375886524,-1.4605958377339872,-5.0,0.44008373125684497,3,1,203,200,114,171,1
11,0.5818156028368795,-1.1312908679346765,-4.3343408092523745,0.34985825451927777,3,2,221,191,218,2,1
22,0.5817304964539007,-0.9867846381425651,-4.246223574114502,0.05834932680602502,2,1,181,134,77,238,0
28,0.5814609929078014,-3.742129121547627,-4.972328532820724,0.2459971350419019,2,3,217,251,116,178,0
35,0.5808368794326242,-2.127926503780712,-3.41562144823233,0.39272979374679967,1,0,171,0,182,100,1
41,0.580709219858156,-3.634807427744237,-3.537036950998714,0.2903845535623856,0,2,118,29,75,116,1
30,0.5798581560283689,-1.744736270842028,-5.0,0.15952414516000654,1,0,180,136,42,226,1
43,0.5798297872340427,-0.6241717998563949,-5.0,0.43021459932554695,2,1,137,37,138,253,0
13,0.5798297872340425,-1.0803107966337735,-4.681925796900755,0.3785075857212489,4,1,202,46,207,83,0
42,0.5787801418439716,-1.754563601117634,-3.015532468338157,0.45786905047271775,2,1,256,62,136,252,1
45,0.5782978723404256,-3.0854770114464385,-5.0,0.48145513531466383,1,1,207,184,140,109,1
10,0.5780141843971632,-1.0695264141776937,-5.0,0.4042954416547535,0,2,111,222,26,191,1
48,0.5773617021276596,-1.58705890506169,-4.122065360377955,0.01725869937409941,0,3,118,52,0,209,0
27,0.5771631205673761,-2.1768269922405405,-4.469582599216617,0.2609638959372857,3,1,189,157,254,210,0
12,0.5766524822695036,-0.9554608418943102,-4.577780508384397,0.2967403366006025,1,2,99,0,173,256,1
5,0.5765815602836879,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
26,0.5757730496453901,-2.9376469856420933,-4.128071573679994,0.4681701047537204,0,2,21,232,66,41,0
17,0.5756028368794326,-2.84850433210637,-3.677017553278606,0.6389768467364203,3,2,189,165,21,230,0
24,0.5718865248226951,-0.47747790488209096,-4.279041328120113,0.4105332410377,3,1,191,121,60,214,1
32,0.5707517730496454,-0.6972152656687234,-5.0,0.19433781949970347,2,2,131,196,202,75,1
20,0.5699716312056737,-1.2548814694688866,-4.252122699622621,0.7,4,1,183,110,136,31,1
38,0.5695744680851064,-2.601531364725369,-4.187472029872494,0.3173345251306877,2,0,152,35,252,38,1
6,0.5690212765957448,-0.9588689612441361,-1.4430941521615837,0.44895033886183267,3,1,66,151,159,13,1
15,0.5689929078014184,-0.9780174298820423,-4.138649999362909,0.45882274893965463,2,0,132,148,45,143,1
19,0.5686666666666667,-0.5557430738958087,-2.2074639147563864,0.5245075200785781,1,1,211,204,215,256,1
47,0.5677730496453901,-1.222248303558192,-4.205404107215308,0.38641171649446376,4,2,190,24,144,114,1
3,0.5659716312056737,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
4,0.5530212765957446,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
7,0.5507943262411348,-2.1075150036934724,-4.377052821529919,0.5986495996464133,2,1,58,127,91,46,1
49,0.5458014184397164,-0.47123571648938656,-4.177085807303184,0.26781760098376184,2,3,80,120,0,75,0
14,0.5375744680851064,-1.1648643712421398,-5.0,0.6998063237491591,1,3,222,241,117,89,1
37,0.5358014184397164,-2.6888754978772846,-2.7308689545660485,0.3137687058341194,2,0,138,50,227,45,1
46,0.5219007092198582,-0.6172463880778998,-5.0,0.37874365675807525,4,0,226,234,135,229,1
18,0.5,-0.5527546296890273,-4.58269191023555,0.5767897803488993,3,3,200,80,207,86,0
16,0.4896737588652483,-1.1464484227411016,-4.44808402183477,0.4952927234152737,3,1,112,28,112,151,1
39,0.4878581560283688,-3.162825764577125,-3.8078262661067313,0.19929858253975632,0,1,168,20,236,253,0
23,0.4791631205673759,-1.5793338559055998,-5.0,0.683312343879795,4,1,201,24,91,242,1
