trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
19,0.8965337790954394,-0.3,-1.0,0.6041670544418436,0,0,161,246,0,256,1
20,0.8954141172017915,-0.3,-3.416606877760924,0.6371038557511883,0,3,256,157,214,107,1
42,0.8938581551336235,-0.3,-2.1511391060146665,0.0822852591731354,3,3,208,226,241,79,1
48,0.8932168464433651,-1.1303947525018154,-1.7902869016208327,0.0,2,3,58,91,139,196,1
31,0.890189028364768,-2.8398773484481517,-1.0,0.00720273045884346,4,2,62,243,0,256,1
40,0.8900838957925944,-4.0,-4.736601545849627,0.7,0,1,256,250,256,65,0
45,0.8886856325826868,-0.3433915399288243,-2.3697315204803098,0.04541300447369911,2,1,125,45,224,164,1
17,0.882850774827057,-0.3,-1.504443543461591,0.24354034514398043,1,3,59,256,256,96,1
3,0.8798124434912427,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
34,0.8755335478037806,-2.5961704301711226,-3.4652674130103325,0.08473070164956649,4,0,8,213,22,256,0
28,0.8749027523707397,-2.138840387316267,-2.7160730606502046,0.0,4,1,28,75,0,56,0
23,0.8730629323577032,-0.3,-1.7663630683919296,0.06755847150776327,0,3,30,222,256,197,1
12,0.8686263378119808,-0.3,-5.0,0.0,4,0,130,0,256,256,1
27,0.8673647469458987,-0.3,-2.0157733083901874,0.0,2,3,9,158,0,0,1
26,0.866260854938077,-0.4565608627317088,-4.119429339867014,0.7,2,1,165,114,206,0,0
30,0.8651990159591244,-0.5748433383669651,-5.0,0.5444309242742033,0,3,256,186,194,117,1
49,0.8630753380012195,-0.3,-3.8947348778091317,0.4988254188509977,0,3,256,61,196,0,1
16,0.8617611808490506,-1.7194772732553791,-1.0,0.0,4,0,8,152,0,0,1
14,0.8559473496078556,-1.8888177729442157,-3.3461322684241996,0.0,4,0,190,0,0,0,1
4,0.8559368363506381,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
24,0.8558947833217687,-0.3,-3.9716794332090712,0.41779820606105744,2,0,176,0,227,0,1
15,0.8542652284530794,-3.472457596743693,-4.641183059551718,0.49683294700922803,4,0,227,191,238,58,0
38,0.8542442019386446,-0.3,-3.4183921184716595,0.5466798096667578,2,0,218,114,172,231,1
1,0.8530036375869973,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
13,0.8518682058075233,-2.517114383361206,-4.846887305549399,0.10472331130224109,2,3,8,0,75,77,1
44,0.8504173763115289,-3.3979727769302297,-3.6431037258947128,0.3675777761626228,4,0,256,203,231,197,1
50,0.8493660505897938,-3.393718608183237,-4.87883180370394,0.2708406610592183,1,0,138,31,39,45,0
35,0.8492924577892722,-2.0636309512007243,-4.349041239798858,0.1278255162789671,3,0,111,34,41,2,0
33,0.8482516453247546,-3.6245224838555887,-3.2636272807861397,0.6767281720588268,2,3,256,236,196,256,1
18,0.8475157173195399,-4.0,-5.0,0.7,0,3,83,0,256,179,1
5,0.8464749048550222,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
29,0.8444458462120734,-1.5881304668144933,-5.0,0.49109089035022935,1,1,123,65,0,256,1
41,0.8420908765953867,-0.3,-5.0,0.7,0,2,256,0,228,124,1
25,0.8406821001282616,-2.14593468448693,-1.0,0.10805058919043657,3,2,96,70,0,19,1
8,0.8328707500157698,-2.73678908842428,-2.5261777727416046,0.30703825783986843,2,1,72,106,173,57,1
9,0.8325868920709014,-0.3,-5.0,0.0,4,0,256,0,256,0,1
7,0.8294959944490002,-3.8448928553246624,-4.922833061686412,0.610708842890797,2,1,166,200,246,255,1
47,0.8253800542484072,-3.0812271743844475,-4.93026431836043,0.6669468702683657,1,3,91,64,252,73,1
36,0.790954393490191,-2.4763816460476393,-1.3278960449691537,0.2775052550078771,3,0,8,128,17,256,0
2,0.7660484871422863,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
11,0.7550936731218065,-2.7658228776711598,-1.0,0.5328919760182214,1,3,256,0,0,220,0
22,0.7235223616981012,-4.0,-1.0,0.7,0,3,256,256,0,0,1
46,0.6596017578166068,-0.3,-1.0,0.0,4,1,155,249,133,164,1
32,0.5530814356904056,-4.0,-3.546186296974421,0.7,0,3,73,15,256,0,1
21,0.5,-0.3,-1.089481998937972,0.7,0,2,213,256,231,256,1
6,0.5,-0.3,-3.5199920964765097,0.0,3,0,89,190,256,75,0
39,0.5,-0.3,-4.775984503198789,0.43951714612418596,1,2,24,18,235,256,0
37,0.5,-0.3,-4.058980279453197,0.5743516217667937,3,2,8,23,9,0,0
43,0.5,-0.3,-1.0,0.4985776740889386,1,0,51,190,0,256,1
10,0.48361508862675834,-3.355081331034308,-1.0,0.32073235210607093,0,3,8,84,149,210,0
