trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
40,0.8778681382515249,-3.057411233068218,-1.0,0.09883281650632912,4,0,51,137,0,0,1
33,0.8768999903185206,-3.121074590387013,-2.565276333935123,0.45272059462153,2,2,97,183,27,31,1
41,0.8763191015587181,-1.0601116205437098,-3.2176173030748263,0.5038810539624129,1,1,256,210,202,133,1
23,0.8754062763647429,-0.7915357569485657,-3.3569678978890938,0.0,2,3,8,222,104,104,1
26,0.8748807103439691,-3.9797719927450705,-1.0,0.24898099336457205,0,2,181,168,130,184,1
32,0.8746455887030966,-3.426670054973148,-3.0084237330886165,0.5279105955081079,1,2,256,256,7,127,0
37,0.8745902659640679,-1.4833447647048632,-3.2340331968199454,0.5326104333544514,1,1,226,149,80,127,1
47,0.8739678851499937,-2.326481110369253,-3.864071968413203,0.0,2,0,256,245,76,0,0
31,0.8737742555633929,-3.781198538695408,-1.7728113685993474,0.31436422564524974,2,0,256,256,27,242,1
3,0.8735253032377633,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
19,0.8727092928370884,-0.44792305037526114,-3.1639586253696006,0.025290307012015286,2,1,145,167,228,0,0
17,0.8721975575010719,-3.131259698362259,-2.879392233422476,0.24556204579305219,2,3,235,209,85,223,1
22,0.8719347744906849,-3.135559519807903,-3.024490817200509,0.00792315181283551,0,2,244,232,169,62,0
14,0.871312393676611,-2.876587215749673,-1.0,0.5748135385856429,2,2,240,226,132,250,1
18,0.8708974731338948,-1.6995371931991614,-3.139293769766044,0.2648734200066619,1,0,249,243,35,45,1
45,0.8706623514930224,-0.995778471832371,-5.0,0.0,0,3,123,256,55,0,0
50,0.870634690123508,-2.925646070175649,-2.5619318577258117,0.4415261585725358,0,3,215,256,116,194,0
43,0.8702197695807918,-1.896693123938375,-1.0,0.24293640620654164,2,0,256,256,0,256,1
10,0.8695144046581745,-0.3,-5.0,0.0,4,3,8,256,0,0,1
1,0.8686292408337137,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
5,0.8679100452263391,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
20,0.867688754270224,-0.3820391670492582,-3.0924784341341534,0.007557433444633981,1,3,60,2,83,37,1
28,0.8667206063372199,-2.4719010855991717,-1.9582957729387034,0.2862687841548931,0,2,139,256,128,108,0
42,0.8653928606005282,-3.433265926162087,-2.666042600990839,0.3826661024440026,4,3,256,256,0,256,1
30,0.8639544693857794,-3.701334725378637,-1.0,0.0,1,2,256,256,207,7,1
27,0.8634012419954913,-1.840823146553221,-2.4041652714108106,0.0,3,1,256,183,52,32,1
34,0.8631522896698616,-2.410305566940091,-4.1368192054365895,0.0,3,1,256,256,34,25,0
4,0.8617968825636557,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
39,0.8589339308189148,-1.4462455509261747,-5.0,0.7,1,1,23,0,184,87,1
25,0.857509370288923,-0.751767836931664,-4.829886327791263,0.5824734059529502,1,0,76,21,131,163,1
7,0.8567071905730053,-3.2638830992030394,-1.676352213376819,0.11205060489581362,1,3,113,228,158,244,0
11,0.8540102070453508,-4.0,-3.752196568602959,0.7,0,0,256,245,247,256,1
9,0.85381657745875,-1.2872255765954819,-1.0,0.5439549317851332,4,1,151,218,170,254,1
36,0.8528069374714742,-4.0,-2.0879864571994813,0.5329478448843623,0,1,256,256,0,0,0
38,0.851977096386042,-1.1872953674476072,-4.134497788789344,0.0,3,0,256,207,167,152,1
2,0.8516589906366265,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
8,0.8372474171196216,-0.3,-1.0,0.22942309927800134,4,0,256,0,0,0,0
12,0.837102194929671,-0.3,-2.694124625550902,0.7,0,0,8,256,256,256,1
29,0.8289974136619505,-3.6983044627746544,-1.005067389284016,0.4905251719465111,1,0,256,163,136,75,0
49,0.8288383607872426,-0.5051234168476766,-2.268195857601419,0.1282910481211915,0,0,169,256,175,132,1
24,0.8271786786163783,-3.67962120307789,-1.0,0.7,0,1,38,256,146,192,1
15,0.8244816950887239,-1.4007301958242793,-2.191253543812372,0.0,0,2,198,43,93,237,1
35,0.8138182371409208,-3.838224342323074,-1.0,0.7,3,3,113,0,123,73,1
21,0.795644717369957,-3.851036448939266,-3.6994487641386717,0.7,1,1,126,107,115,198,1
46,0.7899257292228539,-0.5213508677456309,-1.0,0.0,3,2,238,256,142,0,0
48,0.7831556090342033,-3.2368439643305535,-1.0,0.35605617295211545,3,2,96,186,50,83,0
13,0.5004080052003375,-4.0,-5.0,0.0,4,3,8,0,0,0,1
6,0.5,-0.320046640569537,-3.6386739662431724,0.1833915511351495,4,0,209,10,41,96,0
16,0.5,-0.3,-5.0,0.5612213346138831,4,2,8,256,130,71,1
44,0.5,-1.095774929476387,-1.0,0.6451993233715803,2,0,256,149,224,202,0
