trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
30,0.6536312056737589,-1.885630683897558,-2.6899988547896228,0.3602224904842715,0,2,48,23,207,210,0
27,0.6456879432624113,-1.9146745887272658,-2.5716106519895936,0.16053642363767148,1,2,60,231,160,73,0
10,0.6426099290780143,-1.876487525197478,-2.3229827210673997,0.0,0,2,59,256,238,0,0
50,0.6380141843971633,-3.8038417602911663,-1.936500161152391,0.0,4,2,115,84,3,51,0
43,0.6360709219858156,-3.2782025299185746,-1.9997650542705747,0.14066477468868005,2,0,102,113,10,211,0
28,0.6346666666666666,-2.4974097909289052,-2.6025210703467487,0.0,0,3,60,165,132,230,0
29,0.6344397163120568,-2.797914441699602,-1.3840478531054585,0.0,3,3,37,27,163,6,1
9,0.6340141843971631,-0.4419960422287579,-4.091982772629433,0.7,2,3,35,0,136,0,1
36,0.6329929078014184,-2.7279972479157015,-2.422511559359992,0.014791490145250552,3,3,10,41,52,175,1
32,0.6323404255319149,-3.3699237409711946,-1.1279281004460944,0.0,1,0,107,16,38,38,1
13,0.6255035460992908,-2.387111202015692,-3.2249019851360363,0.0,2,3,26,0,120,0,0
16,0.6247659574468084,-3.3863444033512073,-2.51225177165884,0.04345398484130511,0,2,84,230,78,110,0
2,0.6234326241134752,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
45,0.6198723404255319,-2.907221051773942,-2.380873932263426,0.3972837126525144,0,0,94,25,219,141,1
46,0.6182978723404257,-1.9531885166001257,-2.907509887780583,0.1342494275429484,0,0,8,73,153,223,1
3,0.6145531914893617,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
48,0.6128936170212765,-2.2488419912902557,-1.4135947242515994,0.43402566694739114,0,1,13,220,15,67,1
38,0.611872340425532,-1.8469502148373689,-3.482589457799615,0.341042017712453,1,2,94,149,67,230,0
40,0.6115460992907802,-0.5747194034119372,-4.688169863824305,0.02002142377343817,0,3,8,136,230,31,1
17,0.610482269503546,-1.384988644611008,-1.2895180508412762,0.3829005140984983,2,3,8,71,205,41,1
49,0.6104113475177305,-3.0560857371246186,-2.801971567344175,0.0,0,1,122,0,234,149,0
8,0.6089078014184397,-3.381152734589918,-3.1504272291772404,0.6230432232849131,3,0,198,0,239,139,1
5,0.6083829787234043,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
33,0.6081418439716313,-1.8759643887265618,-4.509760631997172,0.7,2,0,25,215,237,68,0
1,0.6080567375886525,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
25,0.6020992907801419,-1.6943389455955966,-1.603997031720719,0.5095980700394426,1,3,71,256,253,77,1
26,0.5996028368794326,-2.780789131280142,-4.950296979304792,0.6071469805853903,3,1,70,254,250,50,0
44,0.5984113475177306,-2.539986227580567,-3.9960127144923323,0.22096634635812173,2,1,8,234,73,88,1
7,0.5916312056737588,-2.9605865672095306,-4.982675538559124,0.7,1,1,188,256,220,131,1
20,0.5899148936170213,-0.9694598936042551,-2.576866992091652,0.2655222913440737,1,1,8,16,99,125,1
42,0.5890212765957445,-1.2633168519625992,-4.257995958824817,0.03158293040763203,2,3,20,159,98,256,1
19,0.5874893617021277,-2.0019381572446138,-1.4135024089531063,0.4512455911677388,3,1,115,227,28,200,1
15,0.582,-0.9171668117841967,-4.456827902245083,0.6358710236928545,4,0,83,176,217,63,1
11,0.5758723404255319,-2.979429575116288,-1.7681843845108296,0.0,3,2,193,256,162,256,0
37,0.5755319148936171,-0.9615701450379932,-2.485943981990093,0.031841479216067725,0,2,8,4,194,130,0
39,0.5725248226950354,-1.9269093198921192,-1.0,0.218093580810568,0,2,8,42,93,79,0
6,0.571049645390071,-2.1022644974079965,-4.898680305271945,0.7,0,0,142,256,68,101,0
22,0.5619148936170213,-0.3,-4.6658342209431325,0.5924923665924661,2,0,39,0,7,0,0
21,0.5504397163120568,-3.468014451126284,-2.413504550429975,0.7,2,1,8,206,8,36,1
35,0.5471631205673759,-0.47930628918754836,-3.020664948178172,0.0,1,2,211,100,256,53,0
18,0.542468085106383,-1.5148790063170683,-1.3324626167135252,0.2842173393572809,0,3,256,167,77,220,0
24,0.5406950354609928,-0.3,-4.9903693448153845,0.03217086360980884,2,3,99,4,39,118,0
31,0.5304255319148936,-0.3078197534958882,-2.037325152407617,0.028868685971661916,1,2,49,0,18,4,1
47,0.5292198581560283,-3.1436194694984527,-1.0,0.05841101562293245,0,2,39,13,159,20,0
41,0.5239999999999999,-3.6337024251114274,-1.0,0.10074912771761853,1,1,223,34,172,194,0
34,0.513191489361702,-2.1688358459776502,-1.0,0.3580613158429727,2,3,42,210,239,207,0
4,0.5,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
12,0.5,-0.8129766168535673,-1.0,0.0,0,2,121,0,256,168,1
23,0.5,-0.3,-3.764877158611399,0.6821020455253375,1,2,239,171,231,0,1
14,0.44375886524822694,-3.8008221236261424,-4.1238385972265235,0.20889095740100722,3,1,10,256,47,0,0
